Ortsname;Bundesstaat/Region;Land;Latitude;Longitude;Zeitzone;Löschgrund
Aberdeen, Scotland - READ flaterco.com/pol.html;;Scotland;57,1441;-2,0787;0:00 :Europe/London;Exact match: Aberdeen, Scotland - READ flaterco.com/pol.html
Alert, Nunavut;;Nunavut;82,0500;-62,3167;-05:00 :America/Iqaluit;Exact match: Alert, Nunavut
Argentia, Newfoundland;;Newfoundland;47,3000;-53,9833;-03:30 :America/St_Johns;Exact match: Argentia, Newfoundland
Argentia, Newfoundland (2);;Newfoundland;47,3000;-53,9833;-03:30 :America/St_Johns;Normalized match: Argentia, Newfoundland
Avonmouth, England - READ flaterco.com/pol.html;;England;51,5103;-2,7141;0:00 :Europe/London;Exact match: Avonmouth, England - READ flaterco.com/pol.html
Bamfield, British Columbia;;British Columbia;48,8333;-125,1333;-08:00 :America/Vancouver;Exact match: Bamfield, British Columbia
Bamfield, British Columbia (2);;British Columbia;48,8333;-125,1333;-08:00 :America/Vancouver;Normalized match: Bamfield, British Columbia
Bangor, Northern Ireland - READ flaterco.com/pol.html;;Northern Ireland;54,6650;-5,6690;0:00 :Europe/London;Exact match: Bangor, Northern Ireland - READ flaterco.com/pol.html
Barmouth, Wales - READ flaterco.com/pol.html;;Wales;52,7190;-4,0438;0:00 :Europe/London;Exact match: Barmouth, Wales - READ flaterco.com/pol.html
Bath, Netherlands;;Netherlands;51,4000;4,2167;01:00 :Europe/Amsterdam;Exact match: Bath, Netherlands
Bedford Institute, Nova Scotia;;Nova Scotia;44,6833;-63,6167;-04:00 :America/Halifax;Exact match: Bedford Institute, Nova Scotia
Bella Bella, British Columbia;;British Columbia;52,1667;-128,1333;-08:00 :America/Vancouver;Exact match: Bella Bella, British Columbia
Bella Bella, British Columbia (2);;British Columbia;52,1667;-128,1333;-08:00 :America/Vancouver;Normalized match: Bella Bella, British Columbia
Belledune, New Brunswick;;New Brunswick;47,9000;-65,8500;-04:00 :America/Halifax;Exact match: Belledune, New Brunswick
Bournemouth, England - READ flaterco.com/pol.html;;England;50,7133;-1,8733;0:00 :Europe/London;Exact match: Bournemouth, England - READ flaterco.com/pol.html
Cadzand, Netherlands;;Netherlands;51,3833;3,3833;01:00 :Europe/Amsterdam;Exact match: Cadzand, Netherlands
Campbell River, British Columbia;;British Columbia;50,0167;-125,2333;-08:00 :America/Vancouver;Exact match: Campbell River, British Columbia
Campbell River, British Columbia (2);;British Columbia;50,0167;-125,2333;-08:00 :America/Vancouver;Normalized match: Campbell River, British Columbia
Charlottetown, Prince Edward Island;;Prince Edward Island;46,2167;-63,1333;-04:00 :America/Halifax;Exact match: Charlottetown, Prince Edward Island
Churchill, Manitoba;;Manitoba;58,7833;-94,2000;-06:00 :America/Winnipeg;Exact match: Churchill, Manitoba
Cromer, England - READ flaterco.com/pol.html;;England;52,9339;1,3035;0:00 :Europe/London;Exact match: Cromer, England - READ flaterco.com/pol.html
Delfzijl, Netherlands;;Netherlands;53,3333;6,9333;01:00 :Europe/Amsterdam;Exact match: Delfzijl, Netherlands
Den Helder, Netherlands;;Netherlands;52,9667;4,7500;01:00 :Europe/Amsterdam;Exact match: Den Helder, Netherlands
Den Oever, Netherlands;;Netherlands;52,9333;5,1333;01:00 :Europe/Amsterdam;Exact match: Den Oever, Netherlands
Devonport, England - READ flaterco.com/pol.html;;England;50,3678;-4,1843;0:00 :Europe/London;Exact match: Devonport, England - READ flaterco.com/pol.html
Dover, England - READ flaterco.com/pol.html;;England;51,1165;1,3181;0:00 :Europe/London;Exact match: Dover, England - READ flaterco.com/pol.html
Eemshaven, Netherlands;;Netherlands;53,4500;6,8333;01:00 :Europe/Amsterdam;Exact match: Eemshaven, Netherlands
Euro platform, Netherlands;;Netherlands;52,0000;3,2833;01:00 :Europe/Amsterdam;Exact match: Euro platform, Netherlands
Felixstowe, England - READ flaterco.com/pol.html;;England;51,9563;1,3500;0:00 :Europe/London;Exact match: Felixstowe, England - READ flaterco.com/pol.html
Fishguard, Wales - READ flaterco.com/pol.html;;Wales;52,0128;-4,9826;0:00 :Europe/London;Exact match: Fishguard, Wales - READ flaterco.com/pol.html
Halifax, Nova Scotia;;Nova Scotia;44,6667;-63,5833;-04:00 :America/Halifax;Exact match: Halifax, Nova Scotia
Halifax, Nova Scotia (2);;Nova Scotia;44,6667;-63,5833;-04:00 :America/Halifax;Normalized match: Halifax, Nova Scotia
Hansweert, Netherlands;;Netherlands;51,4500;4,0000;01:00 :Europe/Amsterdam;Exact match: Hansweert, Netherlands
Haringvliet 10, Netherlands;;Netherlands;51,8667;3,8667;01:00 :Europe/Amsterdam;Exact match: Haringvliet 10, Netherlands
Haringvlietsluizen, Netherlands;;Netherlands;51,8333;4,0333;01:00 :Europe/Amsterdam;Exact match: Haringvlietsluizen, Netherlands
Harlingen, Netherlands;;Netherlands;53,1667;5,4167;01:00 :Europe/Amsterdam;Exact match: Harlingen, Netherlands
Heysham, England - READ flaterco.com/pol.html;;England;54,0314;-2,9206;0:00 :Europe/London;Exact match: Heysham, England - READ flaterco.com/pol.html
Hinkley Point, England - READ flaterco.com/pol.html;;England;51,2167;-3,1333;0:00 :Europe/London;Exact match: Hinkley Point, England - READ flaterco.com/pol.html
Hoek van Holland, Netherlands;;Netherlands;51,9833;4,1167;01:00 :Europe/Amsterdam;Exact match: Hoek van Holland, Netherlands
Holyhead, Wales - READ flaterco.com/pol.html;;Wales;53,3137;-4,6193;0:00 :Europe/London;Exact match: Holyhead, Wales - READ flaterco.com/pol.html
Huibertgat, Netherlands;;Netherlands;53,5667;6,4000;01:00 :Europe/Amsterdam;Exact match: Huibertgat, Netherlands
IJmuiden, Netherlands;;Netherlands;52,4667;4,5833;01:00 :Europe/Amsterdam;Exact match: IJmuiden, Netherlands
Ilfracombe, England - READ flaterco.com/pol.html;;England;51,2108;-4,1101;0:00 :Europe/London;Exact match: Ilfracombe, England - READ flaterco.com/pol.html
Immingham, England - READ flaterco.com/pol.html;;England;53,6330;-0,1869;0:00 :Europe/London;Exact match: Immingham, England - READ flaterco.com/pol.html
Kinlochbervie, Scotland - READ flaterco.com/pol.html;;Scotland;58,4563;-5,0495;0:00 :Europe/London;Exact match: Kinlochbervie, Scotland - READ flaterco.com/pol.html
Kornwerderzand, Netherlands;;Netherlands;53,0667;5,3333;01:00 :Europe/Amsterdam;Exact match: Kornwerderzand, Netherlands
Krammersluizen west, Netherlands;;Netherlands;51,6500;4,1500;01:00 :Europe/Amsterdam;Exact match: Krammersluizen west, Netherlands
Lauwersoog, Netherlands;;Netherlands;53,4167;6,2000;01:00 :Europe/Amsterdam;Exact match: Lauwersoog, Netherlands
Leith, Scotland - READ flaterco.com/pol.html;;Scotland;55,9898;-3,1803;0:00 :Europe/London;Exact match: Leith, Scotland - READ flaterco.com/pol.html
Lerwick, Shetland Islands, Scotland - READ flaterco.com/pol.html;Shetland Islands;Scotland;60,1500;-1,1333;0:00 :Europe/London;Exact match: Lerwick, Shetland Islands, Scotland - READ flaterco.com/pol.html
Lichteiland Goeree, Netherlands;;Netherlands;51,9167;3,6667;01:00 :Europe/Amsterdam;Exact match: Lichteiland Goeree, Netherlands
Liverpool (Gladstone Dock), England - READ flaterco.com/pol.html;;England;53,4500;-3,0167;0:00 :Europe/London;Exact match: Liverpool (Gladstone Dock), England - READ flaterco.com/pol.html
Llandudno, Gwynedd, Wales - READ flaterco.com/pol.html;Gwynedd;Wales;53,3319;-3,8250;0:00 :Europe/London;Exact match: Llandudno, Gwynedd, Wales - READ flaterco.com/pol.html
Lower Escuminac, New Brunswick;;New Brunswick;47,0667;-64,8833;-04:00 :America/Halifax;Exact match: Lower Escuminac, New Brunswick
Lowestoft, England - READ flaterco.com/pol.html;;England;52,4725;1,7517;0:00 :Europe/London;Exact match: Lowestoft, England - READ flaterco.com/pol.html
Meetpost Noordwijk, Netherlands;;Netherlands;52,2667;4,3000;01:00 :Europe/Amsterdam;Exact match: Meetpost Noordwijk, Netherlands
Milford Haven, Wales - READ flaterco.com/pol.html;;Wales;51,7059;-5,0505;0:00 :Europe/London;Exact match: Milford Haven, Wales - READ flaterco.com/pol.html
Millport, Scotland - READ flaterco.com/pol.html;;Scotland;55,7495;-4,9049;0:00 :Europe/London;Exact match: Millport, Scotland - READ flaterco.com/pol.html
Moray Firth (sheet pile wall), Scotland - READ flaterco.com/pol.html;;Scotland;57,5947;-3,9847;0:00 :Europe/London;Exact match: Moray Firth (sheet pile wall), Scotland - READ flaterco.com/pol.html
Mumbles, Wales - READ flaterco.com/pol.html;;Wales;51,5667;-3,9667;0:00 :Europe/London;Exact match: Mumbles, Wales - READ flaterco.com/pol.html
Nain, Labrador;;Labrador;56,5333;-61,6833;-04:00 :America/Goose_Bay;Exact match: Nain, Labrador
Nes, Netherlands;;Netherlands;53,4333;5,7833;01:00 :Europe/Amsterdam;Exact match: Nes, Netherlands
New Westminster, British Columbia;;British Columbia;49,1833;-122,9000;-08:00 :America/Vancouver;Exact match: New Westminster, British Columbia
Newhaven, England - READ flaterco.com/pol.html;;England;50,7819;0,0569;0:00 :Europe/London;Exact match: Newhaven, England - READ flaterco.com/pol.html
Newlyn, England - READ flaterco.com/pol.html;;England;50,1024;-5,5417;0:00 :Europe/London;Exact match: Newlyn, England - READ flaterco.com/pol.html
Newport, Gwent, Wales - READ flaterco.com/pol.html;Gwent;Wales;51,5500;-2,9833;0:00 :Europe/London;Exact match: Newport, Gwent, Wales - READ flaterco.com/pol.html
North Sydney, Nova Scotia;;Nova Scotia;46,2167;-60,2500;-04:00 :America/Halifax;Exact match: North Sydney, Nova Scotia
Northshields, England - READ flaterco.com/pol.html;;England;55,0073;-1,4383;0:00 :Europe/London;Exact match: Northshields, England - READ flaterco.com/pol.html
Patricia Bay, British Columbia;;British Columbia;48,6500;-123,4500;-08:00 :America/Vancouver;Exact match: Patricia Bay, British Columbia
Patricia Bay, British Columbia (2);;British Columbia;48,6500;-123,4500;-08:00 :America/Vancouver;Normalized match: Patricia Bay, British Columbia
Petten zuid, Netherlands;;Netherlands;52,7667;4,6500;01:00 :Europe/Amsterdam;Exact match: Petten zuid, Netherlands
Point Atkinson, British Columbia;;British Columbia;49,3333;-123,2500;-08:00 :America/Vancouver;Exact match: Point Atkinson, British Columbia
Point Atkinson, British Columbia (2);;British Columbia;49,3333;-123,2500;-08:00 :America/Vancouver;Normalized match: Point Atkinson, British Columbia
Port Aux Basques, Newfoundland;;Newfoundland;47,5833;-59,1500;-03:30 :America/St_Johns;Exact match: Port Aux Basques, Newfoundland
Port Ellen, Islay, Western Scotland - READ flaterco.com/pol.html;Islay;Western Scotland;55,6277;-6,1888;0:00 :Europe/London;Exact match: Port Ellen, Islay, Western Scotland - READ flaterco.com/pol.html
Port Erin, Isle of Man - READ flaterco.com/pol.html;;Isle of Man;54,0853;-4,7653;0:00 :Europe/London;Exact match: Port Erin, Isle of Man - READ flaterco.com/pol.html
Port Hardy, British Columbia;;British Columbia;50,7167;-127,4833;-08:00 :America/Vancouver;Exact match: Port Hardy, British Columbia
Port Hardy, British Columbia (2);;British Columbia;50,7167;-127,4833;-08:00 :America/Vancouver;Normalized match: Port Hardy, British Columbia
Portpatrick, Scotland - READ flaterco.com/pol.html;;Scotland;54,8424;-5,1189;0:00 :Europe/London;Exact match: Portpatrick, Scotland - READ flaterco.com/pol.html
Portrush, Northern Ireland - READ flaterco.com/pol.html;;Northern Ireland;55,2000;-6,6500;0:00 :Europe/London;Exact match: Portrush, Northern Ireland - READ flaterco.com/pol.html
Portsmouth, England - READ flaterco.com/pol.html;;England;50,8008;-1,1117;0:00 :Europe/London;Exact match: Portsmouth, England - READ flaterco.com/pol.html
Prince Rupert, British Columbia;;British Columbia;54,3167;-130,3333;-08:00 :America/Vancouver;Exact match: Prince Rupert, British Columbia
Prince Rupert, British Columbia (2);;British Columbia;54,3167;-130,3333;-08:00 :America/Vancouver;Normalized match: Prince Rupert, British Columbia
Roompot binnen, Netherlands;;Netherlands;51,6333;3,7000;01:00 :Europe/Amsterdam;Exact match: Roompot binnen, Netherlands
Roompot buiten, Netherlands;;Netherlands;51,6167;3,6667;01:00 :Europe/Amsterdam;Exact match: Roompot buiten, Netherlands
