Ortsname;Bundesstaat/Region;Land;Latitude;Longitude;Zeitzone;Löschgrund
Abbapoola Creek entrance, Stono River, South Carolina;Stono River;South Carolina;32,6767;-80,0067;-5:00 :America/New_York;US State: South Carolina
Aberdeen, Washington;;Washington;46,9667;-123,8533;-08:00 :America/Los_Angeles;US State: Washington
Aberdeen, Washington (3);;Washington;46,9670;-123,8500;-08:00 :America/Los_Angeles;US State: Washington
Admiralty Inlet, Washington Current;;Washington Current;48,0300;-122,6367;-08:00 :America/Los_Angeles;US State: Washington
Akutan Pass, Aleutian Islands, Alaska Current;Aleutian Islands;Alaska Current;54,0217;-166,0517;-9:00 :America/Anchorage;US State: Alaska
Alameda, San Francisco Bay, California;San Francisco Bay;California;37,7717;-122,2983;-8:00 :America/Los_Angeles;US State: California
Alameda, San Francisco Bay, California (2);San Francisco Bay;California;37,7717;-122,2983;-8:00 :America/Los_Angeles;US State: California
Alameda, San Francisco Bay, California (3);San Francisco Bay;California;37,7717;-122,2983;-08:00 :America/Los_Angeles;US State: California
Albany, New York;;New York;42,6500;-73,7467;-05:00 :America/New_York;US State: New York
Alcatraz (North Point), San Francisco Bay, California Current;San Francisco Bay;California Current;37,8267;-122,4167;-8:00 :America/Los_Angeles;US State: California
Alligator Reef Light, Florida;;Florida;24,8500;-80,6183;-05:00 :America/New_York;US State: Florida
Amelia City, South Amelia River, Florida;South Amelia River;Florida;30,5867;-81,4633;-5:00 :America/New_York;US State: Florida
Amelia City, South Amelia River, Florida (2);South Amelia River;Florida;30,5867;-81,4633;-5:00 :America/New_York;US State: Florida
Anacortes, Guemes Channel, Washington;Guemes Channel;Washington;48,5167;-122,6167;-8:00 :America/Los_Angeles;US State: Washington
Anchorage (Knik Arm), Alaska;;Alaska;61,2383;-149,9167;-09:00 :America/Anchorage;US State: Alaska
Anchorage, Alaska;;Alaska;61,2383;-149,8883;-09:00 :America/Anchorage;US State: Alaska
Annapolis, Maryland;;Maryland;38,9850;-76,4867;-05:00 :America/New_York;US State: Maryland
Apalachicola, Apalachicola Bay, Florida;Apalachicola Bay;Florida;29,7267;-84,9817;-05:00 :America/New_York;US State: Florida
