name,fS,fN,rM,rS,rD,wahr_km,alt_pct,neu_pct,entscheidung
"Faro-Olhão, Portugal",0.9,0.8,1.037,0.907,1.059,0.01,3.24,3.4,schreiben
"Vila Real de Santo António, Portugal",0.84,0.8,1.016,0.957,1.024,0.0,2.81,2.8,schreiben
"Ayamonte, Spain",0.84,0.67,1.07,0.842,1.113,0.01,2.91,1.67,schreiben
"Rio Guadalquivir Bar (Chipiona), Spain",0.81,0.8,1.004,0.989,1.006,0.48,2.93,2.94,schreiben
"Corta de los Jerónimos, Spain",0.65,0.73,0.961,1.133,0.942,1.96,16.09,15.97,schreiben
"Arsenal de la Carraca, Spain",0.93,1.15,0.93,1.266,0.894,0.0,4.97,4.65,schreiben
"Corvo, Açores, Portugal",0.77,0.84,0.972,1.086,0.957,0.0,1.86,1.78,schreiben
"Lajes das Flores, Açores, Portugal",0.77,0.84,0.972,1.086,0.957,0.0,1.4,1.19,schreiben
"Santa Cruz das Flores, Açores, Portugal",0.77,0.68,1.038,0.908,1.062,0.0,2.07,1.59,schreiben
"Horta (Faial), Açores, Portugal",0.85,1.0,0.947,1.185,0.919,0.0,2.38,1.59,schreiben
"Santa Cruz da Graciosa, Açores, Portugal",0.92,1.0,0.973,1.082,0.958,0.0,3.06,3.17,schreiben
"Angra do Heroísmo (Terceira), Açores, Portugal",0.85,1.0,0.947,1.185,0.919,0.0,2.05,2.01,schreiben
"Porto Moniz, Madeira, Portugal",0.71,0.61,1.047,0.892,1.076,0.0,3.14,2.62,schreiben
"Porto da Cruz, Madeira, Portugal",0.71,0.61,1.047,0.892,1.076,0.0,3.49,3.01,schreiben
"Machico, Madeira, Portugal",0.64,0.61,1.015,0.961,1.024,0.0,2.78,2.66,schreiben
"Porto Santo, Madeira, Portugal",0.71,0.61,1.047,0.892,1.076,0.0,2.9,2.47,schreiben
"Fora (Ilhéus Selvagens), Portugal",0.71,0.69,1.009,0.976,1.014,,,,schreiben (Gruppenbeleg NP208)
"Santa Cruz de La Palma, Islas Canarias, Spain",0.57,0.53,1.023,0.942,1.036,0.0,3.26,3.13,schreiben
"Puerto de la Estaca (El Hierro), Islas Canarias, Spain",0.67,0.45,1.116,0.778,1.196,0.0,3.68,3.48,schreiben
"San Sebastián de la Gomera, Spain",0.67,0.45,1.116,0.778,1.196,0.0,3.54,3.37,schreiben
"Los Cristianos (Tenerife), Islas Canarias, Spain",0.67,0.3,1.209,0.683,1.381,0.0,6.06,4.24,schreiben
"Santa Cruz de Tenerife, Islas Canarias, Spain",0.75,0.45,1.146,0.739,1.25,0.0,3.38,1.57,schreiben
"Puerto del Rosario (Fuerteventura), Islas Canarias, Spain",0.67,0.45,1.116,0.778,1.196,0.0,4.95,3.67,schreiben
"Arrecife (Lanzarote), Islas Canarias, Spain",0.96,0.45,1.203,0.684,1.362,0.0,5.2,3.22,schreiben
"Ponta do Sol (Santo Antão), Cape Verde",0.68,0.83,0.934,1.246,0.901,,,,schreiben (Gruppenbeleg NP208)
"Tarrafal de Monte Trigo (Santo Antão), Cape Verde",0.68,0.66,1.01,0.974,1.015,,,,schreiben (Gruppenbeleg NP208)
"Santa Lucia, Cape Verde",0.68,0.66,1.01,0.974,1.015,,,,schreiben (Gruppenbeleg NP208)
"Preguiça (São Nicolau), Cape Verde",0.68,0.66,1.01,0.974,1.015,,,,schreiben (Gruppenbeleg NP208)
"Sal Rei (Boa Vista), Cape Verde",0.84,0.66,1.074,0.838,1.12,,,,schreiben (Gruppenbeleg NP208)
"Cidade do Maio (Maio), Cape Verde",0.84,1.0,0.942,1.205,0.913,,,,schreiben (Gruppenbeleg NP208)
"Praia (Santiago), Cape Verde",0.92,1.0,0.973,1.084,0.958,0.0,6.16,5.94,schreiben
"Tarrafal (Santiago), Cape Verde",0.84,1.0,0.942,1.205,0.913,,,,schreiben (Gruppenbeleg NP208)
"Fajã de Água (Brava), Cape Verde",0.84,0.66,1.074,0.838,1.12,,,,schreiben (Gruppenbeleg NP208)
"Cap Spartel, Morocco",0.71,0.77,0.974,1.078,0.959,,,,schreiben (Gruppenbeleg NP208)
"Asilah, Morocco",0.78,0.45,1.155,0.731,1.268,,,,schreiben (Gruppenbeleg NP208)
"Larache, Morocco",0.82,0.69,1.053,0.88,1.086,0.0,1.94,1.72,schreiben
"Mehdya, Morocco",0.96,0.92,1.013,0.965,1.021,0.0,2.02,1.83,schreiben
"Kénitra, Morocco",0.86,1.0,0.951,1.166,0.925,,,,schreiben (Gruppenbeleg NP208)
"Mohammédia, Morocco",0.96,1.0,0.987,1.037,0.98,0.0,1.24,1.37,schreiben
"Jorf Lasfar, Morocco",0.96,1.0,0.987,1.037,0.98,0.0,1.27,1.38,schreiben
"Safi, Morocco",0.93,1.0,0.977,1.07,0.964,0.0,1.79,1.88,schreiben
"Souira Guedima, Morocco",0.96,0.92,1.013,0.965,1.021,,,,schreiben (Gruppenbeleg NP208)
"Essaouira, Morocco",0.93,0.92,1.003,0.991,1.005,0.0,1.69,1.66,schreiben
"Sidi Ifni, Morocco",0.93,0.92,1.003,0.991,1.005,0.0,2.49,2.46,schreiben
"Port de Tan-Tan (El Ouatia), Morocco",1.07,0.92,1.046,0.892,1.075,0.0,2.22,2.03,schreiben
"El Marsa (Laayoune), Western Sahara",0.71,0.69,1.009,0.976,1.014,0.0,1.56,1.49,schreiben
"La Güera, Mauritania",0.42,0.3,1.099,0.805,1.167,,,,schreiben (Gruppenbeleg NP208)
"Cap Blanc, Mauritania",1.16,1.17,0.997,1.008,0.996,,,,schreiben (Gruppenbeleg NP208)
"Cap Sainte-Anne, Mauritania",1.24,1.51,0.935,1.241,0.902,,,,schreiben (Gruppenbeleg NP208)
"Ile d'Arguin, Mauritania",1.16,0.83,1.101,0.796,1.166,,,,schreiben (Gruppenbeleg NP208)
"Cap Timiris (Mamghar), Mauritania",1.08,1.17,0.974,1.08,0.96,,,,schreiben (Gruppenbeleg NP208)
"Mansour-Ferrat, Mauritania",1.16,1.34,0.953,1.161,0.928,,,,schreiben (Gruppenbeleg NP208)
M'Bour Senegal,1.16,1.17,0.997,1.008,0.996,,,,schreiben (Gruppenbeleg NP208)
"Pointe de Sangomar, Senegal",0.84,1.0,0.942,1.205,0.913,,,,schreiben (Gruppenbeleg NP208)
"Foundiougne (Fundiun), Senegal",0.68,0.49,1.099,0.798,1.162,,,,schreiben (Gruppenbeleg NP208)
"Fatick, Senegal",0.2,0.05,1.31,0.608,1.6,,,,schreiben (Gruppenbeleg NP208)
"Gambia Fairway, Gambia",0.62,0.69,0.963,1.131,0.947,,,,schreiben (Gruppenbeleg NP208)
"Buniada Point, Gambia",0.58,0.62,0.978,1.074,0.967,,,,schreiben (Gruppenbeleg NP208)
"Dog Island, Gambia",0.62,0.54,1.045,0.884,1.069,,,,schreiben (Gruppenbeleg NP208)
"James Island, Gambia",0.65,0.46,1.108,0.773,1.171,,,,schreiben (Gruppenbeleg NP208)
"Tendaba, Gambia",0.54,0.62,0.953,1.173,0.931,,,,schreiben (Gruppenbeleg NP208)
"Balingho, Gambia",0.46,0.62,0.897,1.519,0.852,,,,schreiben (Gruppenbeleg NP208)
"Kaur, Gambia",0.35,0.54,0.846,2.239,0.787,,,,schreiben (Gruppenbeleg NP208)
"Kuntaur, Gambia",0.46,0.69,0.857,2.004,0.8,,,,schreiben (Gruppenbeleg NP208)
"Janjanbureh, Gambia",0.35,0.46,0.904,1.481,0.864,,,,schreiben (Gruppenbeleg NP208)
"Bansang, Gambia",0.31,0.46,0.86,1.985,0.805,,,,schreiben (Gruppenbeleg NP208)
"Ziguinchor, Senegal",0.23,0.16,1.11,0.777,1.179,,,,schreiben (Gruppenbeleg NP208)
"Varela, Guinea-Bissau",0.65,0.69,0.98,1.066,0.97,,,,schreiben (Gruppenbeleg NP208)
"Ponta Biombo, Guinea-Bissau",1.46,1.61,0.967,1.115,0.951,,,,schreiben (Gruppenbeleg NP208)
"Jabadá, Guinea-Bissau",2.04,2.38,0.947,1.202,0.923,,,,schreiben (Gruppenbeleg NP208)
"Porto Gole, Guinea-Bissau",2.42,3.0,0.926,1.316,0.893,,,,schreiben (Gruppenbeleg NP208)
"Uana Porto, Guinea-Bissau",2.04,3.0,0.864,1.899,0.81,,,,schreiben (Gruppenbeleg NP208)
"Bambadinca (Rio Geba), Guinea-Bissau",1.31,1.69,0.912,1.413,0.873,,,,schreiben (Gruppenbeleg NP208)
"Sanincha, Guinea-Bissau",2.0,2.15,0.976,1.082,0.964,,,,schreiben (Gruppenbeleg NP208)
"Ilha João Vieira, Guinea-Bissau",1.38,1.54,0.963,1.13,0.945,,,,schreiben (Gruppenbeleg NP208)
"Cacine, Guinea-Bissau",1.96,2.07,0.982,1.06,0.973,,,,schreiben (Gruppenbeleg NP208)
"Rio Nunez Approaches, Guinea",1.34,1.27,1.018,0.949,1.027,,,,schreiben (Gruppenbeleg NP208)
"Pointe Malouine, Guinea",1.5,1.72,0.953,1.177,0.932,,,,schreiben (Gruppenbeleg NP208)
"Kanfarandé (Rio Nuñez), Guinea",1.62,1.95,0.936,1.265,0.908,,,,schreiben (Gruppenbeleg NP208)
"Taboria, Guinea",1.1,1.28,0.95,1.179,0.924,,,,schreiben (Gruppenbeleg NP208)
"Dubréka, Guinea",1.53,1.55,0.996,1.012,0.994,,,,schreiben (Gruppenbeleg NP208)
"Bôlintan (Île Tana), Guinea",1.17,1.28,0.97,1.096,0.955,,,,schreiben (Gruppenbeleg NP208)
"Yelibuya Sound, Sierra Leone",1.07,1.14,0.979,1.065,0.968,,,,schreiben (Gruppenbeleg NP208)
"Pepel, Sierra Leone",1.12,1.15,0.991,1.028,0.987,,,,schreiben (Gruppenbeleg NP208)
"Jui, Sierra Leone",1.04,1.0,1.013,0.963,1.02,,,,schreiben (Gruppenbeleg NP208)
"Shenge Point, Sierra Leone",0.92,1.0,0.972,1.095,0.958,,,,schreiben (Gruppenbeleg NP208)
"Titibul Creek, Sierra Leone",0.85,0.77,1.033,0.913,1.049,,,,schreiben (Gruppenbeleg NP208)
"Falcon Point, Sierra Leone",0.88,0.85,1.011,0.968,1.017,,,,schreiben (Gruppenbeleg NP208)
"Governor Hill Point, Sierra Leone",1.0,0.92,1.027,0.925,1.042,,,,schreiben (Gruppenbeleg NP208)
"Bonthe, Sierra Leone",0.62,0.69,0.963,1.131,0.947,,,,schreiben (Gruppenbeleg NP208)
"Shebar Entrance, Sierra Leone",0.31,0.05,1.39,0.541,1.722,,,,schreiben (Gruppenbeleg NP208)
"Gallinas River, Sierra Leone",0.35,0.05,1.404,0.534,1.75,,,,schreiben (Gruppenbeleg NP208)
"Robertsport (Cape Mount), Liberia",0.23,0.05,1.351,0.564,1.643,,,,schreiben (Gruppenbeleg NP208)
"Greenville (Sinoe Bay), Liberia",0.35,0.31,1.04,0.896,1.061,,,,schreiben (Gruppenbeleg NP208)
"King Williams Point, Liberia",0.39,0.16,1.243,0.633,1.418,,,,schreiben (Gruppenbeleg NP208)
"Subbubo Point (Chankali), Liberia",0.39,0.16,1.243,0.633,1.418,,,,schreiben (Gruppenbeleg NP208)
"Tabou, Ivory Coast",0.92,0.67,1.095,0.805,1.157,,,,schreiben (Gruppenbeleg NP208)
"San Pedro, Ivory Coast",0.77,1.0,0.912,1.369,0.87,0.0,5.11,4.59,schreiben
