DHN-Nr,Name,Bundesstaat,2024,2025,2026,Harmonics erzeugt
1,BARRA NORTE - ARCO LAMOSO,Amapá,Ja,Ja,Ja,"Barra Norte - Arco Lamoso, Amapa, Brazil"
2,IGARAPÉ GRANDE DO CURUÁ,Amapá,Ja,Ja,Ja,"Igarape Grande do Curua, Amapa, Brazil"
3,PORTO DE SANTANA - CIA DOCAS DE SANTANA,Amapá,Ja,Ja,Ja,"Porto de Santana, Amapa, Brazil"
4,FUNDEADOURO DE SALINÓPOLIS,Pará,Ja,Ja,Ja,
5,ILHA DOS GUARÁS,Pará,Ja,Ja,Ja,
6,ILHA DO MOSQUEIRO,Pará,Ja,Ja,Ja,
7,PORTO DE BELÉM,Pará,Ja,Ja,Ja,"Belem, Para, Brazil"
8,PORTO DE VILA DO CONDE,Pará,Ja,Ja,Ja,
9,ATRACADOURO DE BREVES,Pará,Ja,Ja,Ja,
10,SÃO LUÍS,Maranhão,Ja,Ja,Ja,"Sao Luis, Maranhao, Brazil"
11,TERMINAL DA PONTA DA MADEIRA,Maranhão,Ja,Ja,Ja,"Terminal da Ponta da Madeira, Maranhao, Brazil"
12,PORTO DE ITAQUI,Maranhão,Ja,Ja,Ja,"Porto de Itaqui, Maranhao, Brazil"
13,TERMINAL DA ALUMAR,Maranhão,Ja,Ja,Ja,"Terminal da Alumar, Maranhao, Brazil"
14,PORTO DE TUTÓIA,Maranhão,Ja,Ja,Ja,"Porto de Tutoia, Maranhao, Brazil"
15,PORTO DE LUÍS CORREIA,Piauí,Ja,Ja,Ja,"Luis Correia, Piaui, Brazil"
16,TERMINAL PORTUÁRIO DO PECÉM,Ceará,Ja,Ja,Ja,"Terminal Portuario do Pecem, Ceara, Brazil"
17,PORTO DE MUCURIPE - FORTALEZA,Ceará,Ja,Ja,Ja,"Porto de Mucuripe, Ceara, Brazil"
18,PORTO DE AREIA BRANCA - TERMISA,Rio Grande do Norte,Ja,Ja,Ja,"Porto de Areia Branca - TERMISA, Rio Grande do Norte, Brazil"
20,PORTO DE MACAU,Rio Grande do Norte,Ja,Ja,Ja,"Porto de Macau, Rio Grande do Norte, Brazil"
21,PORTO DE GUAMARÉ,Rio Grande do Norte,Ja,Ja,Ja,"Porto de Guamare, Rio Grande do Norte, Brazil"
22,PORTO DE NATAL,Rio Grande do Norte,Ja,Ja,Ja,"Porto de Natal, Rio Grande do Norte, Brazil"
23,PORTO DE CABEDELO,Paraíba,Ja,Ja,Ja,"Porto de Cabedelo, Paraiba, Brazil"
24,ARQUIPÉLAGO DE FERNANDO DE NORONHA (BAÍA DE SANTO ANTÔNIO),Pernambuco,Ja,Ja,Ja,"Fernando de Noronha, Pernambuco, Brazil"
25,PORTO DE SUAPE,Pernambuco,Ja,Ja,Ja,"Porto de Suape, Pernambuco, Brazil"
26,PORTO DE MACEIÓ,Alagoas,Ja,Ja,Ja,"Porto de Maceio, Alagoas, Brazil"
27,TERMINAL MARÍTIMO INÁCIO BARBOSA,Sergipe,Ja,Ja,Ja,"Terminal Maritimo Inacio Barbosa, Sergipe, Brazil"
28,CAPITANIA DOS PORTOS DE SERGIPE,Sergipe,Ja,Ja,Ja,"Capitania dos Portos de Sergipe, Sergipe, Brazil"
29,PORTO DE MADRE DE DEUS,Bahia,Ja,Ja,Ja,"Porto de Madre de Deus, Bahia, Brazil"
30,PORTO DE ARATU - BASE NAVAL,Bahia,Ja,Ja,Ja,"Porto de Aratu - Base Naval, Bahia, Brazil"
31,PORTO DE SALVADOR,Bahia,Ja,Ja,Ja,"Porto de Salvador, Bahia, Brazil"
32,PORTO DE ILHÉUS - MALHADO,Bahia,Ja,Ja,Ja,"Porto de Ilheus - Malhado, Bahia, Brazil"
