datei,name,fehler_prozent,begruendung
harmonics/noaa/harmonics_noaa_amtt.txt,"Pikyulik Island, Payne River, Canada",20.3,"Auch an der ihm guenstigsten CHS-Tafel 20.3 % des Hubs, gegen 0.1 % von ""Île Pikiyulik, Québec, Canada"" (harmonics_utide_tidetables.txt) in 396 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Frobisher Bay, Canada",17.8,"Auch an der ihm guenstigsten CHS-Tafel 17.8 % des Hubs, gegen 0.2 % von ""Frobisher's Farthest, Nunavut, Canada"" (harmonics_utide_tidetables.txt) in 479 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Yuculta, Cordero Channel, Canada",16.9,"Auch an der ihm guenstigsten CHS-Tafel 16.9 % des Hubs, gegen 0.2 % von ""Big Bay, Stuart Island, British Columbia, Canada"" (harmonics_utide_tidetables.txt) in 791 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Wainwright Basin, British Columbia, Canada",13.5,"Auch an der ihm guenstigsten CHS-Tafel 13.5 % des Hubs, gegen 0.5 % von ""Wainwright Basin, British Columbia, Canada"" (harmonics_utide_tidetables.txt) in 0 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"St. Mary Harbour, St. Mary Bay, Canada",12.0,"Auch an der ihm guenstigsten CHS-Tafel 12.0 % des Hubs, gegen 0.4 % von ""St. Mary's, Newfoundland, Canada"" (harmonics_utide_tidetables.txt) in 389 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Square Island Harbour, Canada",12.0,"Auch an der ihm guenstigsten CHS-Tafel 12.0 % des Hubs, gegen 0.4 % von ""White Bear Arm, Labrador, Canada"" (harmonics_utide_tidetables.txt) in 892 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/classic/harmonics-2004-06-14_mod.txt,"East Narrows, Skidegate Channel, British Columbia, Canada",11.4,"Auch an der ihm guenstigsten CHS-Tafel 11.4 % des Hubs, gegen 0.2 % von ""Trounce Inlet, British Columbia, Canada"" (harmonics_utide_tidetables.txt) in 0 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Goose Bay, Canada",10.8,"Auch an der ihm guenstigsten CHS-Tafel 10.8 % des Hubs, gegen 0.5 % von ""Terrington Basin, Labrador, Canada"" (harmonics_utide_tidetables.txt) in 644 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/classic/harmonics-2004-06-14_mod.txt,"East Narrows Dolphin, British Columbia, Canada",10.6,"Auch an der ihm guenstigsten CHS-Tafel 10.6 % des Hubs, gegen 0.2 % von ""Trounce Inlet, British Columbia, Canada"" (harmonics_utide_tidetables.txt) in 0 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Chateau Bay, Canada",10.4,"Auch an der ihm guenstigsten CHS-Tafel 10.4 % des Hubs, gegen 0.7 % von ""Henley Harbour, Labrador, Canada"" (harmonics-2004-06-14_mod.txt) in 1720 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Exploits Lower Harbour, Canada",10.0,"Auch an der ihm guenstigsten CHS-Tafel 10.0 % des Hubs, gegen 0.2 % von ""Exploits Island, Newfoundland, Canada"" (harmonics_utide_tidetables.txt) in 1750 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Port Kennedy, Bellot Strait, Canada",9.9,"Auch an der ihm guenstigsten CHS-Tafel 9.9 % des Hubs, gegen 0.6 % von ""Fort Ross, Nunavut, Canada"" (harmonics_utide_tidetables.txt) in 1119 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Southwest Point, Canada",8.9,"Auch an der ihm guenstigsten CHS-Tafel 8.9 % des Hubs, gegen 0.3 % von ""Pointe du Sud-Ouest, Québec, Canada"" (harmonics_utide_tidetables.txt) in 913 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Mortier Bay, Canada",8.5,"Auch an der ihm guenstigsten CHS-Tafel 8.5 % des Hubs, gegen 0.7 % von ""Marystown, Newfoundland, Canada"" (harmonics_utide_tidetables.txt) in 184 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Amherst Harbour, Magdalen Islands, Canada",8.3,"Auch an der ihm guenstigsten CHS-Tafel 8.3 % des Hubs, gegen 1.3 % von ""Havre-Aubert, Québec, Canada"" (harmonics_utide_tidetables.txt) in 446 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Ellis Bay, Canada",8.0,"Auch an der ihm guenstigsten CHS-Tafel 8.0 % des Hubs, gegen 0.5 % von ""Port-Menier, Québec, Canada"" (harmonics_utide_tidetables.txt) in 1297 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Ship Cove, Bay d'Espoir, Canada",7.8,"Auch an der ihm guenstigsten CHS-Tafel 7.8 % des Hubs, gegen 0.4 % von ""St. Alban's, Newfoundland, Canada"" (harmonics_utide_tidetables.txt) in 425 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Father Point, Canada",6.4,"Auch an der ihm guenstigsten CHS-Tafel 6.4 % des Hubs, gegen 0.4 % von ""Pointe-au-Père, Québec, Canada"" (harmonics_utide_tidetables.txt) in 550 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Old Bic Harbour, Canada",6.4,"Auch an der ihm guenstigsten CHS-Tafel 6.4 % des Hubs, gegen 0.3 % von ""Le Bic, Québec, Canada"" (harmonics_utide_tidetables.txt) in 1268 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Esperanza Inlet, Canada",6.3,"Auch an der ihm guenstigsten CHS-Tafel 6.3 % des Hubs, gegen 0.1 % von ""Ceepeecee, British Columbia, Canada"" (harmonics_utide_tidetables.txt) in 813 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Becher Bay, British Columbia, Canada",6.1,"Auch an der ihm guenstigsten CHS-Tafel 6.1 % des Hubs, gegen 0.2 % von ""Becher Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt) in 0 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Whitehaven Harbour, Canada",6.1,"Auch an der ihm guenstigsten CHS-Tafel 6.1 % des Hubs, gegen 1.0 % von ""Whitehead, Nova Scotia, Canada"" (harmonics_utide_tidetables.txt) in 1185 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/ticon/harmonics_ticon4_worldwide.txt,"Rothesay, New Brunswick, Canada",5.3,"Auch an der ihm guenstigsten CHS-Tafel 5.3 % des Hubs, gegen 1.4 % von ""Kennebecasis Bay, New Brunswick, Canada"" (harmonics_utide_tidetables.txt) in 5 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Grindstone (Ray .4), New Brunswick, Canada",5.2,"Auch an der ihm guenstigsten CHS-Tafel 5.2 % des Hubs, gegen 0.1 % von ""Grindstone Island, New Brunswick, Canada"" (harmonics_utide_tidetables.txt) in 0 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Revillon Wharf, Ontario, Canada",5.0,"Auch an der ihm guenstigsten CHS-Tafel 5.0 % des Hubs, gegen 0.6 % von ""Moosonee, Ontario, Canada"" (harmonics_utide_tidetables.txt) in 969 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Nymphe Cove, British Columbia, Canada",4.6,"Auch an der ihm guenstigsten CHS-Tafel 4.6 % des Hubs, gegen 0.6 % von ""Seymour Narrows, British Columbia, Canada"" (harmonics_utide_tidetables.txt) in 340 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/noaa/harmonics_noaa_amtt.txt,"Parry Passage, Canada",4.4,"Auch an der ihm guenstigsten CHS-Tafel 4.4 % des Hubs, gegen 0.3 % von ""Henslung Cove, British Columbia, Canada"" (harmonics_utide_tidetables.txt) in 1488 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
harmonics/classic/harmonics-2004-06-14_mod.txt,"North Galiano, British Columbia, Canada",4.3,"Auch an der ihm guenstigsten CHS-Tafel 4.3 % des Hubs, gegen 0.1 % von ""Porlier Pass, British Columbia, Canada"" (harmonics_utide_tidetables.txt) in 1852 m Entfernung. Nicht reparierbar, nirgends selbst der beste Satz."
