datei,name,fehler_prozent,begruendung
harmonics/noaa/harmonics_noaa_amtt.txt,"Clearwater Fiord, Cumberland Sound, Canada",21.2,"An der Tafel Clearwater Fiord: 21.2 % des Hubs von 6.43 m gegen 0.1 % von ""Clearwater Fiord, Nunavut, Canada"" (harmonics_utide_tidetables.txt), 735 m entfernt. Faktor 303.4, Kurvenabweichung 44 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Kangiqsujuaq, Québec, Canada",8.5,"An der Tafel Kangiqsujuaq: 8.5 % des Hubs von 8.42 m gegen 0.0 % von ""Kangiqsujuaq, Québec, Canada"" (harmonics_utide_tidetables.txt), 2 m entfernt. Faktor 189.2, Kurvenabweichung 18 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Cowichan Bay, Canada",19.0,"An der Tafel Cowichan Bay: 19.0 % des Hubs von 3.64 m gegen 0.1 % von ""Cowichan Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 1075 m entfernt. Faktor 141.3, Kurvenabweichung 35 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Cape Dyer, Baffin Island, Canada",17.7,"An der Tafel Cape Dyer: 17.7 % des Hubs von 2.50 m gegen 0.1 % von ""Cape Dyer, Nunavut, Canada"" (harmonics_utide_tidetables.txt), 984 m entfernt. Faktor 138.7, Kurvenabweichung 40 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Campbellton, Canada",14.9,"An der Tafel Campbellton: 14.9 % des Hubs von 2.90 m gegen 0.1 % von ""Campbellton, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 606 m entfernt. Faktor 134.7, Kurvenabweichung 31 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Pender Harbor, Malaspina Strait, Canada",14.6,"An der Tafel ḵalpilin: 14.6 % des Hubs von 4.96 m gegen 0.1 % von ""Pender Harbour (Garden Bay), British Columbia, Canada"" (harmonics_utide_tidetables.txt), 99 m entfernt. Faktor 111.7, Kurvenabweichung 31 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Gowlland Harbor, Discovery Passage, Canada",17.6,"An der Tafel Gowlland Hbr.: 17.6 % des Hubs von 3.67 m gegen 0.2 % von ""Gowlland Hbr., British Columbia, Canada"" (harmonics_utide_tidetables.txt), 1179 m entfernt. Faktor 107.5, Kurvenabweichung 33 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Kumeon Bay, B.C., Canada",4.9,"An der Tafel Kumeon Bay: 4.9 % des Hubs von 6.61 m gegen 0.1 % von ""Kumeon Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 595 m entfernt. Faktor 88.1, Kurvenabweichung 10 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Tracadie, Canada",18.6,"An der Tafel Tracadie: 18.6 % des Hubs von 1.18 m gegen 0.3 % von ""Tracadie, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 907 m entfernt. Faktor 70.7, Kurvenabweichung 42 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Miscou Harbour, Canada",18.2,"An der Tafel Miscou: 18.2 % des Hubs von 1.84 m gegen 0.3 % von ""Miscou Harbour, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 548 m entfernt. Faktor 64.2, Kurvenabweichung 34 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Beechy Island, Barrow Strait, Canada",8.0,"An der Tafel Beechey Island: 8.0 % des Hubs von 2.51 m gegen 0.1 % von ""Beechy Island (Barrow Strait), Nunavut, Canada"" (harmonics_utide_tidetables.txt), 4 m entfernt. Faktor 60.6, Kurvenabweichung 36 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Squamish, Howe Sound, Canada",17.6,"An der Tafel Squamish Inner: 17.6 % des Hubs von 4.93 m gegen 0.3 % von ""Squamish Yacht Club, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 1549 m entfernt. Faktor 60.3, Kurvenabweichung 32 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Chemainus, Stuart Channel, Canada",17.5,"An der Tafel Chemainus: 17.5 % des Hubs von 4.04 m gegen 0.3 % von ""Chemainus, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 1444 m entfernt. Faktor 60.1, Kurvenabweichung 34 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Owen Bay, Okisollo Channel, Canada",12.3,"An der Tafel Owen Bay: 12.3 % des Hubs von 4.34 m gegen 0.2 % von ""Owen Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 843 m entfernt. Faktor 54.4, Kurvenabweichung 23 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Dalhousie, Canada",15.0,"An der Tafel Dalhousie: 15.0 % des Hubs von 2.97 m gegen 0.3 % von ""Dalhousie, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 1008 m entfernt. Faktor 54.3, Kurvenabweichung 31 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Port Marnham, Canada",10.6,"An der Tafel Port Marnham: 10.6 % des Hubs von 1.43 m gegen 0.2 % von ""Port Marnham, Labrador, Canada"" (harmonics_utide_tidetables.txt), 31 m entfernt. Faktor 52.3, Kurvenabweichung 20 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Fogo Harbour, Canada",13.0,"An der Tafel Fogo: 13.0 % des Hubs von 1.37 m gegen 0.3 % von ""Fogo, Newfoundland, Canada"" (harmonics_utide_tidetables.txt), 1603 m entfernt. Faktor 49.7, Kurvenabweichung 24 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Paspebiac, Canada",14.4,"An der Tafel Paspébiac: 14.4 % des Hubs von 2.19 m gegen 0.3 % von ""Paspébiac, Québec, Canada"" (harmonics_utide_tidetables.txt), 1804 m entfernt. Faktor 47.9, Kurvenabweichung 33 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Belliveau Village, New Brunswick, Canada",1.4,"An der Tafel Belliveau Village: 1.4 % des Hubs von 14.32 m gegen 0.0 % von ""Belliveau Village, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 46.0, Kurvenabweichung 0 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Caraquet Harbour, Canada",12.0,"An der Tafel Caraquet: 12.0 % des Hubs von 2.04 m gegen 0.3 % von ""Caraquet, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 614 m entfernt. Faktor 45.3, Kurvenabweichung 34 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Mill Bay, Nass River, B.C., Canada",5.3,"An der Tafel Mill Bay: 5.3 % des Hubs von 6.51 m gegen 0.1 % von ""Mill Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 880 m entfernt. Faktor 43.0, Kurvenabweichung 10 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Fulford Harbor, Saltspring Island, Canada",18.8,"An der Tafel Fulford Harbour: 18.8 % des Hubs von 3.54 m gegen 0.4 % von ""Fulford Harbour, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 266 m entfernt. Faktor 42.4, Kurvenabweichung 36 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Harbour Grace, Conception Bay, Canada",12.7,"An der Tafel Harbour Grace: 12.7 % des Hubs von 1.21 m gegen 0.3 % von ""Harbour Grace, Newfoundland, Canada"" (harmonics_utide_tidetables.txt), 1529 m entfernt. Faktor 41.5, Kurvenabweichung 23 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Kivitoo, Baffin Island, Canada",10.0,"An der Tafel Kivitoo: 10.0 % des Hubs von 1.18 m gegen 0.2 % von ""Kivitoo, Nunavut, Canada"" (harmonics_utide_tidetables.txt), 392 m entfernt. Faktor 40.7, Kurvenabweichung 16 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Ste. Anne des Monts, Canada",8.6,"An der Tafel Sainte-Anne-des-Monts: 8.6 % des Hubs von 3.37 m gegen 0.2 % von ""Sainte-Anne-des-Monts, Québec, Canada"" (harmonics_utide_tidetables.txt), 200 m entfernt. Faktor 40.4, Kurvenabweichung 20 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Battle Harbour, Canada",8.9,"An der Tafel Battle Harbour: 8.9 % des Hubs von 1.26 m gegen 0.2 % von ""Battle Harbour, Labrador, Canada"" (harmonics_utide_tidetables.txt), 1337 m entfernt. Faktor 40.4, Kurvenabweichung 17 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Pointe aux Orignaux, Canada",5.0,"An der Tafel Pointe-aux-Orignaux: 5.0 % des Hubs von 5.71 m gegen 0.1 % von ""Pointe-aux-Orignaux (Rivière-Ouelle), Québec, Canada"" (harmonics_utide_tidetables.txt), 697 m entfernt. Faktor 40.1, Kurvenabweichung 14 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Comox, Baynes Sound, Canada",17.2,"An der Tafel Comox: 17.2 % des Hubs von 5.07 m gegen 0.4 % von ""Comox, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 892 m entfernt. Faktor 39.7, Kurvenabweichung 32 %."
harmonics/utide/harmonics_utide_tidetables.txt,"Sand Point, Nova Scotia, Canada",26.1,"An der Tafel Sand Point: 26.1 % des Hubs von 1.89 m gegen 0.7 % von ""Sand Point, Nova Scotia, Canada"" (harmonics-2004-06-14_mod.txt), 9 m entfernt. Faktor 38.5, Kurvenabweichung 53 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Whaletown, Cortes Island, Canada",17.4,"An der Tafel Whaletown: 17.4 % des Hubs von 5.07 m gegen 0.5 % von ""Whaletown, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 901 m entfernt. Faktor 38.2, Kurvenabweichung 32 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Turnavik Island, Labrador, Canada",16.0,"An der Tafel Turnavik Island: 16.0 % des Hubs von 2.21 m gegen 0.4 % von ""Turnavik Island, Labrador, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 36.5, Kurvenabweichung 17 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Port Daniel, Canada",14.0,"An der Tafel Port-Daniel-Gascons: 14.0 % des Hubs von 1.86 m gegen 0.4 % von ""Port-Daniel-Gascons, Québec, Canada"" (harmonics_utide_tidetables.txt), 1962 m entfernt. Faktor 36.2, Kurvenabweichung 34 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Tadoussac, Saguenay River, Canada",6.7,"An der Tafel Tadoussac: 6.7 % des Hubs von 5.25 m gegen 0.2 % von ""Tadoussac, Québec, Canada"" (harmonics_utide_tidetables.txt), 542 m entfernt. Faktor 35.9, Kurvenabweichung 11 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Meyers Narrows, British Columbia, Canada",4.8,"An der Tafel Meyers Narrows: 4.8 % des Hubs von 5.13 m gegen 0.1 % von ""Meyers Narrows, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 35.3, Kurvenabweichung 8 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Nanaimo, Canada",16.6,"An der Tafel Nanaimo Harbour: 16.6 % des Hubs von 4.78 m gegen 0.5 % von ""Nanaimo Harbour, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 1975 m entfernt. Faktor 34.6, Kurvenabweichung 32 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"North Head, New Brunswick, Canada",2.7,"An der Tafel North Head: 2.7 % des Hubs von 6.82 m gegen 0.1 % von ""North Head, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 34.3, Kurvenabweichung 5 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Tasiujaq, Québec, Canada",6.5,"An der Tafel Tasiujaq: 6.5 % des Hubs von 14.27 m gegen 0.2 % von ""Tasiujaq, Québec, Canada"" (harmonics_utide_tidetables.txt), 4 m entfernt. Faktor 33.8, Kurvenabweichung 9 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Needle Cove, Nunavut, Canada",11.9,"An der Tafel Needle Cove: 11.9 % des Hubs von 2.88 m gegen 0.4 % von ""Needle Cove, Nunavut, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 33.7, Kurvenabweichung 5 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Sand Heads, Fraser River, Canada",18.6,"An der Tafel Sand Heads: 18.6 % des Hubs von 4.59 m gegen 0.6 % von ""Sand Heads Lighthouse, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 1315 m entfernt. Faktor 33.3, Kurvenabweichung 33 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Knox Bay, West Thurlow Island, Canada",5.3,"An der Tafel Knox Bay: 5.3 % des Hubs von 4.58 m gegen 0.2 % von ""Knox Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 1976 m entfernt. Faktor 33.1, Kurvenabweichung 8 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Postville, Labrador, Canada",10.0,"An der Tafel Postville: 10.0 % des Hubs von 2.24 m gegen 0.3 % von ""Postville, Labrador, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 32.6, Kurvenabweichung 23 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"St. Martins, New Brunswick, Canada",1.5,"An der Tafel St Martins: 1.5 % des Hubs von 10.17 m gegen 0.0 % von ""St. Martins, New Brunswick, Canada"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 32.3, Kurvenabweichung 0 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Ocean Falls, Fisher Channel, Canada",4.2,"An der Tafel Ocean Falls: 4.2 % des Hubs von 5.15 m gegen 0.1 % von ""Ocean Falls, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 695 m entfernt. Faktor 32.0, Kurvenabweichung 7 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Woody Island, Canada",4.6,"An der Tafel Woody Island: 4.6 % des Hubs von 2.20 m gegen 0.1 % von ""Woody Island, Newfoundland, Canada"" (harmonics_utide_tidetables.txt), 897 m entfernt. Faktor 31.7, Kurvenabweichung 8 %."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Sanikiluaq, Nunavut, Canada",13.6,"An der Tafel Sanikiluaq: 13.6 % des Hubs von 1.05 m gegen 0.4 % von ""Sanikiluaq, Nunavut, Canada"" (harmonics_utide_tidetables.txt), 4 m entfernt. Faktor 31.1, Kurvenabweichung 16 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Port Union, Canada",8.8,"An der Tafel Port Union: 8.8 % des Hubs von 1.02 m gegen 0.3 % von ""Port Union, Newfoundland, Canada"" (harmonics_utide_tidetables.txt), 204 m entfernt. Faktor 31.1, Kurvenabweichung 18 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Red Bay, Canada",8.2,"An der Tafel Red Bay: 8.2 % des Hubs von 1.14 m gegen 0.3 % von ""Red Bay (Strait of Bell Isle), Labrador, Canada"" (harmonics_utide_tidetables.txt), 1959 m entfernt. Faktor 31.1, Kurvenabweichung 17 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Duncan Bay, Discovery Passage, Canada",18.6,"An der Tafel Duncan Bay: 18.6 % des Hubs von 3.87 m gegen 0.6 % von ""Duncan Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt), 815 m entfernt. Faktor 30.1, Kurvenabweichung 35 %."
