station,lat,lon,jahr,satz,datei,abstand_m,n,rms_m,max_m,zeit_min,hoehe_off_m,hub_m
"Cozumel, Q.R.",20.5167,-86.9500,2026,"San Miguel de Cozumel, Quintana Roo, México",harmonics-1997-05-25_mod.txt,1135,115,0.0207,0.046,17.0,-0.144,0.33
"Cozumel, Q.R.",20.5167,-86.9500,2026,"San Miguel de Cozumel, Quintana Roo, México",harmonics_utide_tidetables.txt,1135,119,0.019,0.043,10.0,-0.097,0.33
"Coatzacoalcos, Ver.",18.1500,-94.4167,2026,"Coatzacoalcos, Veracruz, Mexico",harmonics_utide_tidetables.txt,2723,61,0.048,0.172,20.0,-0.078,0.8
"Frontera, Tab.",18.5333,-92.6500,2026,"Frontera, Tabasco, Mexico",harmonics_utide_tidetables.txt,1101,56,0.0508,0.169,19.0,0.181,0.75
"Guerrero Negro, BCS.",27.8833,-114.1500,2026,"Guerrero Negro, Baja California Sur, Mexico",harmonics_utide_tidetables.txt,2127,119,0.0839,0.355,9.0,0.055,2.65
"Golfo de Santa Clara, Son.",31.7000,-114.5000,2026,"Golfo de Santa Clara, Sonora, Mexico",harmonics-2004-06-14_mod.txt,1766,120,0.3157,0.727,23.0,2.353,7.47
"Golfo de Santa Clara, Son.",31.7000,-114.5000,2026,"Golfo de Santa Clara, Sonora, Mexico",harmonics_utide_tidetables.txt,1766,119,0.2748,0.725,8.0,0.135,7.47
"Matamoros, Tamps.",25.8833,-97.5167,2026,"Matamoros, Tamaulipas, México",harmonics_utide_tidetables.txt,5,41,0.0762,0.223,17.0,0.067,0.7
"Pto. Peñasco, Son.",31.3000,-113.5500,2026,"Puerto Peñasco (Puerto), Sonora, Mexico",harmonics-2004-06-14_mod.txt,760,120,0.0655,0.428,2.0,-0.002,6.8
"Pto. Peñasco, Son.",31.3000,-113.5500,2026,"Puerto Peñasco, Sonora, Mexico",harmonics-2004-06-14_mod.txt,773,120,0.0978,0.442,4.0,0.152,6.8
"San Blas, Nay.",21.6167,-106.5167,2026,"Islas Marías, Nayarit, Mexico",harmonics_utide_tidetables.txt,2793,115,0.1191,0.289,10.0,-0.109,1.45
"El Sauzal, B.C.",31.9167,-116.7000,2026,"El Sauzal, Baja California, Mexico",harmonics_utide_tidetables.txt,2641,114,0.1671,0.403,19.0,0.647,2.63
