datei,name,fehler_prozent,begruendung
harmonics/att/harmonics_att_np207.txt,"Maceió (Porto), Alagoas, Brazil",5.7,"An der Tafel PORTO DE MACEIÓ (ESTADO DE ALAGOAS): 5.7 % des Hubs von 2.29 m gegen 0.3 % von ""Maceió (Porto), Alagoas, Brazil"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 22.5, Kurvenabweichung 8 %."
harmonics/att/harmonics_att_np207.txt,"Barra do Riacho, Espírito Santo, Brazil",4.3,"An der Tafel TERMINAL DE BARRA DO RIACHO (ESTADO DO ESPÍRITO SANTO): 4.3 % des Hubs von 1.52 m gegen 0.3 % von ""Barra do Riacho, Espírito Santo, Brazil"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 13.5, Kurvenabweichung 14 %."
harmonics/utide/harmonics_utide_observations.txt,"Recife (Farol), Pernambuco, Brazil",5.4,"An der Tafel PORTO DO RECIFE (ESTADO DE PERNAMBUCO): 5.4 % des Hubs von 2.40 m gegen 0.6 % von ""Recife (Farol), Pernambuco, Brazil"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 9.7, Kurvenabweichung 11 %."
harmonics/att/harmonics_att_np207.txt,"Natal, Rio Grande do Norte, Brazil",3.9,"An der Tafel PORTO DE NATAL - COMANDO DO 3º DISTRITO NAVAL: 3.9 % des Hubs von 2.53 m gegen 0.5 % von ""Natal, Rio Grande do Norte, Brazil"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 7.6, Kurvenabweichung 6 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Salvador, Brazil",4.6,"An der Tafel PORTO DE SALVADOR (ESTADO DA BAHIA): 4.6 % des Hubs von 2.54 m gegen 0.6 % von ""Salvador (Porto), Bahia, Brazil"" (harmonics_utide_tidetables.txt), 543 m entfernt. Faktor 7.3, Kurvenabweichung 9 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Natal, Brazil",3.7,"An der Tafel PORTO DE NATAL - COMANDO DO 3º DISTRITO NAVAL: 3.7 % des Hubs von 2.53 m gegen 0.5 % von ""Natal, Rio Grande do Norte, Brazil"" (harmonics_utide_tidetables.txt), 984 m entfernt. Faktor 7.1, Kurvenabweichung 7 %."
harmonics/utide/harmonics_utide_observations.txt,"Fernando de Noronha, Pernambuco, Brazil",5.2,"An der Tafel ARQUIPÉLAGO DE FERNANDO DE NORONHA (BAÍA DE SANTO ANTÔNIO): 5.2 % des Hubs von 2.58 m gegen 0.7 % von ""Fernando de Noronha, Pernambuco, Brazil"" (harmonics_utide_tidetables.txt), 11 m entfernt. Faktor 7.1, Kurvenabweichung 1 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Fernando de Noronha, Brazil",4.9,"An der Tafel ARQUIPÉLAGO DE FERNANDO DE NORONHA (BAÍA DE SANTO ANTÔNIO): 4.9 % des Hubs von 2.58 m gegen 0.7 % von ""Fernando de Noronha, Pernambuco, Brazil"" (harmonics_utide_tidetables.txt), 1555 m entfernt. Faktor 6.8, Kurvenabweichung 31 %."
harmonics/att/harmonics_att_np207.txt,"Rio Grande (Industrial Tamandaré), Rio Grande do Sul, Brazil",13.1,"An der Tafel PORTO DO RIO GRANDE (ESTADO DO RIO GRANDE DO SUL): 13.1 % des Hubs von 0.70 m gegen 2.2 % von ""Rio Grande (Industrial Tamandaré), Rio Grande do Sul, Brazil"" (harmonics_utide_tidetables.txt), 0 m entfernt. Faktor 5.9, Kurvenabweichung 16 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Angra dos Reis, Brazil",6.4,"An der Tafel PORTO DE ANGRA DOS REIS (ESTADO DO RIO DE JANEIRO): 6.4 % des Hubs von 1.35 m gegen 1.1 % von ""Angra dos Reis, Rio de Janeiro, Brazil"" (harmonics_utide_tidetables.txt), 416 m entfernt. Faktor 5.8, Kurvenabweichung 20 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Cabedelo, Brazil",3.4,"An der Tafel PORTO DE CABEDELO (ESTADO DA PARAÍBA): 3.4 % des Hubs von 2.64 m gegen 0.7 % von ""Cabedelo (Porto), Paraíba, Brazil"" (harmonics_utide_tidetables.txt), 905 m entfernt. Faktor 4.9, Kurvenabweichung 10 %."
harmonics/att/harmonics_att_np207.txt,"Santos, São Paulo, Brazil",5.5,"An der Tafel PORTO DE SANTOS (ESTADO DE SÃO PAULO): 5.5 % des Hubs von 1.51 m gegen 1.2 % von ""Santos (Macuco), São Paulo, Brazil"" (harmonics_utide_tidetables.txt), 1197 m entfernt. Faktor 4.6, Kurvenabweichung 6 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Florianopolis, Brazil",11.5,"An der Tafel PORTO DE FLORIANÓPOLIS (ESTADO DE SANTA CATARINA): 11.5 % des Hubs von 1.40 m gegen 2.7 % von ""Florianópolis, Santa Catarina, Brazil"" (harmonics_utide_tidetables.txt), 1779 m entfernt. Faktor 4.3, Kurvenabweichung 15 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Macau, Rio Acu, Brazil",4.4,"An der Tafel PORTO DE MACAU (ESTADO DO RIO GRANDE DO NORTE): 4.4 % des Hubs von 2.70 m gegen 1.0 % von ""Macau, Rio Grande do Norte, Brazil"" (harmonics_utide_tidetables.txt), 1098 m entfernt. Faktor 4.2, Kurvenabweichung 17 %."
harmonics/noaa/harmonics_noaa_amtt.txt,"Macae (Imbitiba Bay), Brazil",5.6,"An der Tafel TERMINAL MARÍTIMO DE IMBETIBA (ESTADO DO RIO DE JANEIRO): 5.6 % des Hubs von 1.43 m gegen 1.4 % von ""Macaé (Imbetiba), Rio de Janeiro, Brazil"" (harmonics_utide_tidetables.txt), 364 m entfernt. Faktor 4.0, Kurvenabweichung 26 %."
