datei,name,fehler_prozent,begruendung
harmonics/ticon/harmonics_ticon4_worldwide.txt,"Borkum (Südstrand), Germany",9.9,"Dublette: 0 m von ""Borkum (Südstrand), Germany"" (harmonics_utide_observations.txt), Kurve 15 % gleich. An der Tafel (1 Vergleich(e)) 30.9 cm RMS gegen 29.5 cm, Zeitversatz +40 gegen +0 min [Spur GHL, Beleg Name (Kette, Teilmenge)] bei 3.14 m Hub."
harmonics/noaa/harmonics_noaa_cptt.txt,"Chichijima (Futami Ko), Tokyo, Japan",4.4,"Dublette: 1632 m von ""Chichijima (Futami Ko), Tokyo, Japan"" (harmonics_utide_observations.txt), Kurve 7 % gleich. An der Tafel (2 Vergleich(e)) 5.8 cm RMS gegen 1.3 cm, Zeitversatz -10 gegen +0 min [Spur N, Beleg Name] bei 1.32 m Hub."
harmonics/noaa/harmonics_noaa_cptt.txt,"Himeji (Shikama), Hyogo, Japan",4.4,"Dublette: 1519 m von ""Himeji (Shikama), Hyogo, Japan"" (harmonics_utide_observations.txt), Kurve 8 % gleich. An der Tafel (2 Vergleich(e)) 8.4 cm RMS gegen 1.3 cm, Zeitversatz -10 gegen +0 min [Spur GN, Beleg Name (Kette, Teilmenge)] bei 1.90 m Hub."
harmonics/noaa/harmonics_noaa_eutt.txt,"La Rochelle (La Pallice), France",6.0,"Dublette: 961 m von ""La Rochelle (La Pallice), France"" (harmonics_utide_observations.txt), Kurve 9 % gleich. An der Tafel (2 Vergleich(e)) 33.8 cm RMS gegen 14.3 cm, Zeitversatz +0 gegen +0 min [Spur GN, Beleg Name (Kette, Teilmenge)] bei 5.60 m Hub."
harmonics/noaa/harmonics_noaa_cptt.txt,"Melbourne (Williamstown), Victoria, Australia",0.0,"Dublette: 113 m von ""Melbourne (Williamstown), Victoria, Australia"" (harmonics_ticon4_worldwide.txt), Kurve 54 % gleich. An der Tafel (1 Vergleich(e)) 5.4 cm RMS gegen 2.6 cm, Zeitversatz +13 gegen +5 min [Spur H, Beleg Name]."
harmonics/ticon/harmonics_ticon4_worldwide.txt,"Pellworm (Anleger), Germany",9.2,"Dublette: 0 m von ""Pellworm (Anleger), Germany"" (harmonics_utide_observations.txt), Kurve 16 % gleich. An der Tafel (1 Vergleich(e)) 38.6 cm RMS gegen 36.7 cm, Zeitversatz +40 gegen +0 min [Spur HL, Beleg Name (Kette, Teilmenge)] bei 4.21 m Hub."
harmonics/att/harmonics_att_np203_scs.txt,"Port Refuge, Cocos Islands, Western Australia, Australia",12.1,"Dublette: 848 m von ""Port Refuge, Cocos Islands, Western Australia, Australia"" (harmonics_utide_observations.txt), Kurve 1 % gleich. An der Tafel (1 Vergleich(e)) 15.3 cm RMS gegen 7.6 cm, Zeitversatz +0 gegen +0 min [Spur N, Beleg Name] bei 1.26 m Hub."
harmonics/classic/harmonics-pierre-lavergne-v10_mod.txt,"Portland, England, United Kingdom",27.6,"Dublette: 238 m von ""Portland, England, United Kingdom"" (harmonics_noaa_eutt.txt), Kurve 32 % gleich. An der Tafel (2 Vergleich(e)) 65.3 cm RMS gegen 58.2 cm, Zeitversatz +20 gegen -40 min [Spur H, Beleg Name] bei 2.37 m Hub."
harmonics/noaa/harmonics_noaa_cptt.txt,"Portland, Victoria, Australia",31.6,"Dublette: 843 m von ""Portland, Victoria, Australia"" (harmonics_utide_observations.txt), Kurve 33 % gleich. An der Tafel (2 Vergleich(e)) 20.9 cm RMS gegen 12.1 cm, Zeitversatz -40 gegen +0 min [Spur H, Beleg Name] bei 0.66 m Hub."
harmonics/att/harmonics_att_np203_scs.txt,"Qui Nhon, Vietnam",6.7,"Dublette: 4239 m von ""Qui Nhon, Vietnam"" (harmonics_utide_observations.txt), Kurve 2 % gleich. An der Tafel (1 Vergleich(e)) 11.2 cm RMS gegen 2.9 cm, Zeitversatz +10 gegen +0 min [Spur G, Beleg Name] bei 1.67 m Hub."
harmonics/ticon/harmonics_ticon4_worldwide.txt,"Schillig, Germany",12.8,"Dublette: 0 m von ""Schillig, Germany"" (harmonics_utide_observations.txt), Kurve 16 % gleich. An der Tafel (1 Vergleich(e)) 54.4 cm RMS gegen 52.5 cm, Zeitversatz +40 gegen +10 min [Spur HL, Beleg Name (Kette, Teilmenge)] bei 4.25 m Hub."
harmonics/att/harmonics_att_np203_scs.txt,"Teluk Plan (Pelabuhan Bintulu), Malaysia",17.4,"Dublette: 539 m von ""Teluk Plan (Pelabuhan Bintulu), Malaysia"" (harmonics_ticon4_worldwide.txt), Kurve 2 % gleich. An der Tafel (1 Vergleich(e)) 75.2 cm RMS gegen 6.2 cm, Zeitversatz -20 gegen +0 min [Spur N, Beleg Name] bei 4.32 m Hub."
