name,datei_a,rms_a_cm,datei_b,rms_b_cm,hub_m
"Abashiri, Hokkaido, Japan",harmonics_ticon4_worldwide.txt,3.0,harmonics_utide_observations.txt,1.1,1.63
"Aberdeen, Scotland, United Kingdom",harmonics_utide_observations.txt,4.1,harmonics_ticon4_worldwide.txt,4.0,4.65
"Aburatsu, Miyazaki, Japan",harmonics_ticon4_worldwide.txt,2.8,harmonics_utide_observations.txt,1.1,2.45
"Acajutla, El Salvador",harmonics_utide_observations.txt,8.3,harmonics_ticon4_worldwide.txt,7.7,2.59
"Agadir, Morocco",harmonics_att_np208.txt,7.6,harmonics-1997-05-25_mod.txt,7.1,3.03
"Airstrip Point, Nunavut, Canada",harmonics-2004-06-14_mod.txt,2.2,harmonics_utide_tidetables.txt,1.9,1.40
"Akabane, Aichi, Japan",harmonics_ticon4_worldwide.txt,2.4,harmonics_utide_observations.txt,1.8,2.14
"Akita, Akita, Japan",harmonics_ticon4_worldwide.txt,1.5,harmonics_utide_observations.txt,1.3,0.61
"Ako (Miyakeshima), Tokyo, Japan",harmonics_ticon4_worldwide.txt,3.8,harmonics_utide_observations.txt,2.6,1.80
"Akune, Kagoshima, Japan",harmonics_ticon4_worldwide.txt,3.2,harmonics_utide_observations.txt,1.0,3.44
"Amagasaki, Hyogo, Japan",harmonics-2004-06-14_mod.txt,3.3,harmonics_utide_observations.txt,1.3,2.13
"Ambleside, British Columbia, Canada",harmonics_utide_tidetables.txt,6.0,harmonics_utide_observations.txt,6.0,4.75
"Andenes, Norway",harmonics_noaa_eutt.txt,17.9,harmonics_ticon4_worldwide.txt,15.5,2.38
"Andenes, Norway",harmonics_utide_observations.txt,16.3,harmonics_ticon4_worldwide.txt,15.5,2.38
"Andoany / Hell-Ville (Nosy Be), Madagascar",harmonics_utide_observations.txt,6.2,harmonics-1997-05-25_mod.txt,5.3,4.24
"Anewa Bay, North Solomons, Papua New Guinea",harmonics-2004-06-14_mod.txt,7.4,harmonics_ticon4_worldwide.txt,7.3,1.71
"Aohama, Fukuoka, Japan",harmonics_ticon4_worldwide.txt,3.6,harmonics_utide_observations.txt,1.6,4.36
"Aomori, Aomori, Japan",harmonics_ticon4_worldwide.txt,1.5,harmonics_utide_observations.txt,1.1,0.93
"Aracaju (Capitania dos Portos), Sergipe, Brazil",harmonics_att_np207.txt,3.0,harmonics_utide_tidetables.txt,2.5,2.20
"Arcachon (Jetée d'Eyrac), France",harmonics_utide_tidetables.txt,16.0,harmonics_utide_observations.txt,14.2,4.60
"Argentia, Newfoundland, Canada",harmonics_utide_observations.txt,2.8,harmonics_utide_tidetables.txt,2.0,2.15
"Arica, Chile",harmonics_noaa_amtt.txt,9.1,harmonics_ticon4_worldwide.txt,8.0,1.37
"Arzon (Port Crouesty), France",harmonics_ticon4_worldwide.txt,14.7,harmonics_utide_observations.txt,14.4,5.49
"Asamushi, Aomori, Japan",harmonics_ticon4_worldwide.txt,1.6,harmonics_utide_observations.txt,0.8,0.92
"Point Atkinson, British Columbia, Canada",harmonics_utide_observations.txt,4.4,harmonics_utide_tidetables.txt,3.7,4.71
"Sandy Cove, British Columbia, Canada",harmonics_utide_observations.txt,4.4,harmonics_utide_tidetables.txt,3.6,4.71
"Atkinson Point, Northwest Territories, Canada",harmonics-2004-06-14_mod.txt,1.0,harmonics_utide_tidetables.txt,0.9,0.67
"Audierne, France",harmonics_ticon4_worldwide.txt,14.4,harmonics_utide_observations.txt,14.3,5.22
"Awase, Okinawa, Japan",harmonics_ticon4_worldwide.txt,2.4,harmonics_utide_observations.txt,1.3,2.60
"Awashima, Niigata, Japan",harmonics_ticon4_worldwide.txt,1.0,harmonics_utide_observations.txt,0.8,0.61
"Awayuki, Tokushima, Japan",harmonics_ticon4_worldwide.txt,2.3,harmonics_utide_observations.txt,1.5,2.24
"Ayukawa, Miyagi, Japan",harmonics_ticon4_worldwide.txt,3.1,harmonics_utide_observations.txt,1.8,1.78
"Azama, Okinawa, Japan",harmonics_ticon4_worldwide.txt,2.6,harmonics_utide_observations.txt,1.1,2.56
"Bahía Cumberland (Isla Robinson Crusoe, Juan Fernández), Chile",harmonics_ticon4_worldwide.txt,4.3,harmonics_utide_tidetables.txt,3.6,1.44
"Baie de Lampaul (Île d'Ouessant), France",harmonics-pierre-lavergne-v10_mod.txt,7.0,harmonics_utide_tidetables.txt,5.7,6.87
"Balboa, Panama",harmonics_utide_observations.txt,11.5,harmonics_ticon4_worldwide.txt,9.1,6.18
"Bamfield, British Columbia, Canada",harmonics_utide_observations.txt,3.1,harmonics_utide_tidetables.txt,2.5,3.84
"Bangor, Northern Ireland, United Kingdom",harmonics_utide_observations.txt,5.7,harmonics_ticon4_worldwide.txt,4.7,3.61
"Barmouth, Wales, United Kingdom",harmonics_ticon4_worldwide.txt,8.2,harmonics_utide_observations.txt,8.1,5.23
"Barrington Passage, Nova Scotia, Canada",harmonics-2004-06-14_mod.txt,3.7,harmonics_utide_tidetables.txt,2.7,2.39
"Bathurst Harbour, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,2.1,harmonics_utide_tidetables.txt,1.7,2.29
"Batiscan, Québec, Canada",harmonics_ticon4_worldwide.txt,17.8,harmonics_utide_tidetables.txt,14.8,1.49
"Becancour, Québec, Canada",harmonics_ticon4_worldwide.txt,19.2,harmonics_utide_tidetables.txt,16.5,1.09
"Bedford Institute, Nova Scotia, Canada",harmonics_utide_observations.txt,2.3,harmonics_ticon4_worldwide.txt,2.3,2.04
"Bedford Institute, Nova Scotia, Canada",harmonics_utide_tidetables.txt,4.4,harmonics_ticon4_worldwide.txt,2.3,2.04
"Bell Island, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.4,harmonics_utide_tidetables.txt,1.1,1.35
"Bella Bella, British Columbia, Canada",harmonics_utide_observations.txt,5.0,harmonics_utide_tidetables.txt,3.3,5.11
"Belle Isle (Black Joke Cove), Newfoundland, Canada",harmonics-2004-06-14_mod.txt,1.6,harmonics_utide_tidetables.txt,1.2,1.31
"Belledune, New Brunswick, Canada",harmonics_utide_observations.txt,3.1,harmonics_utide_tidetables.txt,1.8,2.45
"Belleoram, Newfoundland, Canada",harmonics-2004-06-14_mod.txt,2.5,harmonics_utide_tidetables.txt,1.8,2.06
"Benoa, Bali, Indonesia",harmonics_utide_observations.txt,12.2,harmonics_ticon4_worldwide.txt,11.9,3.19
"Beppu, Oita, Japan",harmonics_ticon4_worldwide.txt,2.8,harmonics_utide_observations.txt,1.5,2.73
"Bergen, Norway",harmonics_utide_observations.txt,14.3,harmonics_ticon4_worldwide.txt,14.2,1.77
"Blandford, Nova Scotia, Canada",harmonics_utide_tidetables.txt,4.2,harmonics-2004-06-14_mod.txt,3.4,1.99
"Bluff, Southland, New Zealand",harmonics-2004-06-14_mod.txt,14.5,harmonics_utide_observations.txt,13.8,2.65
"Bluff, Southland, New Zealand",harmonics_ticon4_worldwide.txt,14.0,harmonics_utide_observations.txt,13.8,2.65
"Bodø, Norway",harmonics_utide_observations.txt,17.6,harmonics_ticon4_worldwide.txt,16.9,3.29
"Bonavista, Newfoundland, Canada",harmonics_utide_observations.txt,1.8,harmonics_utide_tidetables.txt,1.0,1.23
