name_a,name_b,begruendung,km,kurve_prozent,dt_h,guete,namensueberlappung,spur,haufen,datei_a,datei_b,Neuer gemeinsamer Name
"Back Bay, Letite Harbour, New Brunswick, Canada","Letite Harbour, New Brunswick, Canada",,0.00,0.0,+0.00,1000,1.00,N,124,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,"Back Bay (Letite Harbour), New Brunswick, Canada"
"Clearwater Fiord, Cumberland Sound, Nunavut, Canada","Clearwater Fiord, Nunavut, Canada",,0.00,0.0,+0.00,1000,1.00,N,505,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,"Clearwater Fiord (Cumberland Sound), Nunavut, Canada"
"Mitlenatch Island, British Columbia, Canada","Mitlenatch, British Columbia, Canada",,0.00,0.0,+0.00,1000,1.00,N,1502,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,"Mitlenatch Island, British Columbia, Canada"
"Schooner Harbour, Baffin Island, Nunavut, Canada","Schooner Harbour, Nunavut, Canada",,0.00,0.0,+0.00,1000,1.00,N,2274,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,"Schooner Harbour (Baffin Island), Nunavut, Canada"
"Sops Island, Newfoundland, Canada","Sops Island, White Bay, Newfoundland, Canada",,0.00,0.0,+0.00,1000,1.00,N,2382,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,"Sops Island (White Bay), Newfoundland, Canada"
"Tubuai, Austral Islands, French Polynesia (1)","Tubuai, Austral Islands, French Polynesia (2)",,0.00,0.0,+0.00,1000,1.00,N,2646,harmonics_ticon4_worldwide.txt,harmonics_ticon4_worldwide.txt,
"Chatham Point, British Columbia, Canada","Chatham Pt., British Columbia, Canada",,0.00,0.0,+0.00,1000,0.75,N,473,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Khyex Point, British Columbia, Canada","Khyex River, British Columbia, Canada",,0.00,0.0,+0.00,1000,0.75,N,1146,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Kwinitsa Creek, British Columbia, Canada","Kwinitsa River, British Columbia, Canada",,0.00,0.0,+0.00,1000,0.75,N,1234,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"McKenney Isl., British Columbia, Canada","McKenney Islands, British Columbia, Canada",,0.00,0.0,+0.00,1000,0.75,N,1453,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"Ranger Inlet, British Columbia, Canada","Ranger Islet, British Columbia, Canada",,0.00,0.0,+0.00,1000,0.75,N,2104,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Finlayson Arm, British Columbia, Canada","Goldstream Boathouse Marina, British Columbia, Canada",,0.00,0.0,+0.00,1000,0.50,N,801,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"Jessie Point, British Columbia, Canada","Kenneth Passage, British Columbia, Canada",,0.00,0.0,+0.00,1000,0.50,N,1135,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
"Qui Nhon, Vietnam","Quy Nhon (Thi Nai Port), Vietnam",,0.00,0.0,+0.00,1000,0.50,N,2094,harmonics_utide_observations.txt,harmonics_ticon4_worldwide.txt,
"Texada Mines, British Columbia, Canada","Welcome Bay, British Columbia, Canada",,0.00,0.0,+0.00,1000,0.50,N,2563,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"L'Île-d'Anticosti, Québec, Canada","Pointe du Sud-Ouest, Québec, Canada",,0.00,0.0,+0.00,1000,0.33,N,1247,harmonics-2004-06-14_mod.txt,harmonics_utide_tidetables.txt,
"Saint Thomas De Kent, New Brunswick, Canada","Town of Grand-Bouctouche, New Brunswick, Canada",,0.00,0.0,+0.00,1000,0.33,N,2612,harmonics_utide_tidetables.txt,harmonics-2004-06-14_mod.txt,
