datei,name,fehler_prozent,begruendung
harmonics/noaa/harmonics_noaa_amtt.txt,"Active Pass, Mayne Island, British Columbia, Canada",4.6,"Dublette: 2559 m von ""Village Bay, British Columbia, Canada"" (harmonics_utide_tidetables.txt), Kurve 10 % gleich. An der Tafel (1 Vergleich(e)) 22.2 cm RMS gegen 2.3 cm, Zeitversatz +20 gegen +0 min [Spur HN, Beleg nur abgeleitet] bei 4.82 m Hub."
harmonics/att/harmonics_att_np207.txt,"Bahía Thetis, Tierra del Fuego, Argentina",1.2,"Dublette: 0 m von ""Bahía Thetis, Tierra del Fuego, Argentina"" (harmonics_utide_tidetables.txt), Kurve 0 % gleich. An der Tafel (1 Vergleich(e)) 4.5 cm RMS gegen 0.5 cm, Zeitversatz +2 gegen +1 min [Spur N, Beleg Name] bei 3.67 m Hub."
harmonics/classic/harmonics-1997-05-25_mod.txt,"Bahía Thetis, Tierra del Fuego, Argentina",1.5,"Dublette: 0 m von ""Bahía Thetis, Tierra del Fuego, Argentina"" (harmonics_utide_tidetables.txt), Kurve 0 % gleich. An der Tafel (1 Vergleich(e)) 5.5 cm RMS gegen 0.5 cm, Zeitversatz +3 gegen +1 min [Spur N, Beleg Name] bei 3.67 m Hub."
harmonics/noaa/harmonics_noaa_amtt.txt,"Banco Cuirassier, Buenos Aires, Argentina",6.4,"Dublette: 0 m von ""Canal Punta Indio (Oyarvide - Km 133), Buenos Aires, Argentina"" (harmonics_utide_tidetables.txt), Kurve 13 % gleich. An der Tafel (1 Vergleich(e)) 8.2 cm RMS gegen 2.7 cm, Zeitversatz +12 gegen +5 min [Spur H, Beleg nur abgeleitet] bei 1.27 m Hub."
harmonics/noaa/harmonics_noaa_eutt.txt,"Brighton, England, United Kingdom",5.1,"Dublette: 0 m von ""Brighton, England, United Kingdom"" (harmonics_utide_observations.txt), Kurve 9 % gleich. An der Tafel (1 Vergleich(e)) 32.5 cm RMS gegen 9.7 cm, Zeitversatz -10 gegen -10 min [Spur N, Beleg Name (Teilmenge)] bei 6.42 m Hub."
harmonics/noaa/harmonics_noaa_cptt.txt,"Canton Island, Kiribati",0.0,"Dublette: 2814 m von ""Kanton, Kiribati"" (harmonics_ticon4_worldwide.txt), Kurve 13 % gleich. An der Tafel (1 Vergleich(e)) 8.1 cm RMS gegen 1.1 cm, Zeitversatz +20 gegen +4 min [Spur H, Beleg nur abgeleitet]."
harmonics/noaa/harmonics_noaa_amtt.txt,"Chimbote, Peru",15.7,"Dublette: 0 m von ""Chimbote, Peru"" (harmonics_utide_observations.txt), Kurve 14 % gleich. An der Tafel (2 Vergleich(e)) 20.2 cm RMS gegen 13.1 cm, Zeitversatz +12 gegen +23 min [Spur H, Beleg Name] bei 1.29 m Hub."
harmonics/noaa/harmonics_noaa_cptt.txt,"Choshi Ko (inside), Chiba, Japan",7.8,"Dublette: 2604 m von ""Choshi Gyoko, Chiba, Japan"" (harmonics_utide_observations.txt), Kurve 18 % gleich. An der Tafel (2 Vergleich(e)) 14.1 cm RMS gegen 0.8 cm, Zeitversatz +10 gegen +0 min [Spur HN, Beleg nur abgeleitet] bei 1.80 m Hub."
harmonics/noaa/harmonics_noaa_cptt.txt,"Espiritu Santo Island, Pekoa Chan, Vanuatu",0.0,"Dublette: 2350 m von ""Luganville Wharf, Vanuatu"" (harmonics_utide_tidetables.txt), Kurve 16 % gleich. An der Tafel (1 Vergleich(e)) 18.1 cm RMS gegen 0.7 cm, Zeitversatz +28 gegen +2 min [Spur H, Beleg nur abgeleitet]."
harmonics/noaa/harmonics_noaa_cptt.txt,"Hamada Ko (Tono Ura entrance), Shimane, Japan",21.9,"Dublette: 2169 m von ""Hamada, Shimane, Japan"" (harmonics_utide_observations.txt), Kurve 16 % gleich. An der Tafel (2 Vergleich(e)) 14.9 cm RMS gegen 0.8 cm, Zeitversatz -40 gegen +0 min [Spur HN, Beleg nur abgeleitet] bei 0.68 m Hub."
