datei,name,fehler_prozent,begruendung
harmonics/utide/harmonics_utide_observations.txt,"Avonmouth (Port of Bristol), England, United Kingdom",2.9,"Dublette: 10 m von ""Avonmouth (Port of Bristol), England, United Kingdom"" (harmonics_ticon4_worldwide.txt), Kurve 1 % gleich. An der Tafel (5 Vergleich(e)) 41.9 cm RMS gegen 25.6 cm, Zeitversatz +0 gegen +0 min [Spur N, Beleg Name (Teilmenge)] bei 14.41 m Hub."
harmonics/utide/harmonics_utide_observations.txt,"Portbury, England, United Kingdom",2.3,"Dublette: 6 m von ""Portbury, England, United Kingdom"" (harmonics_ticon4_worldwide.txt), Kurve 1 % gleich. An der Tafel (5 Vergleich(e)) 32.5 cm RMS gegen 27.9 cm, Zeitversatz +0 gegen +0 min [Spur N, Beleg Kennung (Teilmenge)] bei 14.31 m Hub."
harmonics/utide/harmonics_utide_tidetables.txt,"Port Of Bristol (Avonmouth), England, United Kingdom",4.2,"Dublette: 1517 m von ""Portbury, England, United Kingdom"" (harmonics_ticon4_worldwide.txt), Kurve 5 % gleich. An der Tafel (5 Vergleich(e)) 59.9 cm RMS gegen 27.9 cm, Zeitversatz +10 gegen +0 min [Spur N, Beleg Kennung (Teilmenge)] bei 14.31 m Hub."
harmonics/classic/harmonics-1997-05-25_mod.txt,"Barrow-in-Furness (Ramsden Dock), England, United Kingdom",1.6,"Dublette: 0 m von ""Barrow-in-Furness (Ramsden Dock), England, United Kingdom"" (harmonics_utide_tidetables.txt), Kurve 1 % gleich. An der Tafel (1 Vergleich(e)) 15.9 cm RMS gegen 8.2 cm, Zeitversatz -10 gegen -10 min [Spur N, Beleg Name (Teilmenge)] bei 10.22 m Hub."
harmonics/ticon/harmonics_ticon4_worldwide.txt,"Galway, Ireland",3.0,"Dublette: 0 m von ""Galway, Ireland"" (harmonics_utide_observations.txt), Kurve 0 % gleich. An der Tafel (2 Vergleich(e)) 16.4 cm RMS gegen 6.6 cm, Zeitversatz +0 gegen -10 min [Spur N, Beleg Name] bei 5.51 m Hub."
harmonics/utide/harmonics_utide_tidetables.txt,"Immingham, England, United Kingdom",3.9,"Dublette: 0 m von ""Immingham (Humberside), England, United Kingdom"" (harmonics-dwf-20100529-nonfree_mod.txt), Kurve 4 % gleich. An der Tafel (3 Vergleich(e)) 28.6 cm RMS gegen 9.6 cm, Zeitversatz +10 gegen -10 min [Spur N, Beleg Kennung] bei 7.29 m Hub."
harmonics/ticon/harmonics_ticon4_worldwide.txt,"Liverpool (Gladstone Dock), England, United Kingdom",1.1,"Dublette: 0 m von ""Liverpool (Gladstone Dock), England, United Kingdom"" (harmonics-dwf-20100529-nonfree_mod.txt), Kurve 0 % gleich. An der Tafel (3 Vergleich(e)) 10.9 cm RMS gegen 7.9 cm, Zeitversatz +0 gegen -10 min [Spur N, Beleg Kennung] bei 9.86 m Hub."
harmonics/utide/harmonics_utide_observations.txt,"Liverpool, Gladstone Dock, England, United Kingdom",2.0,"Dublette: 1 m von ""Liverpool (Gladstone Dock), England, United Kingdom"" (harmonics-dwf-20100529-nonfree_mod.txt), Kurve 1 % gleich. An der Tafel (3 Vergleich(e)) 20.2 cm RMS gegen 7.9 cm, Zeitversatz +0 gegen -10 min [Spur N, Beleg Kennung] bei 9.86 m Hub."
harmonics/utide/harmonics_utide_observations.txt,"Malin Head - Portmore Pier, Ireland",8.5,"Dublette: 0 m von ""Malin Head, Ireland"" (harmonics_utide_observations.txt), Kurve 1 % gleich. An der Tafel (3 Vergleich(e)) 35.5 cm RMS gegen 17.3 cm, Zeitversatz -10 gegen +0 min [Spur N, Beleg Kennung] bei 4.19 m Hub."
harmonics/utide/harmonics_utide_tidetables.txt,"Bulbinbeg, Ireland",9.6,"Dublette: 0 m von ""Malin Head, Ireland"" (harmonics_utide_observations.txt), Kurve 5 % gleich. An der Tafel (3 Vergleich(e)) 40.4 cm RMS gegen 17.3 cm, Zeitversatz +0 gegen +0 min [Spur N, Beleg Kennung] bei 4.19 m Hub."
harmonics/utide/harmonics_utide_observations.txt,"St. Mary's (Isles of Scilly), England, United Kingdom",1.6,"Dublette: 0 m von ""St. Mary's (Isles of Scilly), England, United Kingdom"" (harmonics_ticon4_worldwide.txt), Kurve 1 % gleich. An der Tafel (3 Vergleich(e)) 9.8 cm RMS gegen 5.6 cm, Zeitversatz +0 gegen +0 min [Spur N, Beleg Kennung] bei 5.93 m Hub."
harmonics/utide/harmonics_utide_tidetables.txt,"St. Mary's, England, United Kingdom",3.7,"Dublette: 0 m von ""St. Mary's (Isles of Scilly), England, United Kingdom"" (harmonics_ticon4_worldwide.txt), Kurve 4 % gleich. An der Tafel (3 Vergleich(e)) 21.7 cm RMS gegen 5.6 cm, Zeitversatz +0 gegen +0 min [Spur N, Beleg Kennung] bei 5.93 m Hub."
harmonics/utide/harmonics_utide_observations.txt,"Stornoway (Isle of Lewis), Scotland, United Kingdom (2)",3.5,"Dublette: 10 m von ""Stornoway (Isle of Lewis), Scotland, United Kingdom"" (harmonics_utide_observations.txt), Kurve 1 % gleich. An der Tafel (4 Vergleich(e)) 18.8 cm RMS gegen 5.9 cm, Zeitversatz +0 gegen +0 min [Spur N, Beleg Kennung (Teilmenge)] bei 5.40 m Hub."
harmonics/utide/harmonics_utide_observations.txt,"Tobermory (Island of Mull), Scotland, United Kingdom",1.9,"Dublette: 0 m von ""Tobermory (Island of Mull), Scotland, United Kingdom"" (harmonics_ticon4_worldwide.txt), Kurve 2 % gleich. An der Tafel (3 Vergleich(e)) 9.2 cm RMS gegen 4.3 cm, Zeitversatz +0 gegen +0 min [Spur N, Beleg Name (Teilmenge)] bei 4.85 m Hub."
