ea,rloi,lat,lon,punkte_juni,punkte_sept,konstituenten,neu_sept_cm,neu_versatz_min,bestand,bestand_datei,bestand_sept_cm,bestand_versatz_min,nachbar_alt_pct,nachbar_neu_pct
Bembridge,1018,50.6936,-1.1080,2679,479,31,31.9,-20,"Bembridge Harbour, England, United Kingdom",harmonics_utide_tidetables.txt,28.6,15,20.1,10.4
Cowes,1020,50.7633,-1.2967,2679,479,31,18.3,-15,"Cowes (Isle of Wight), England, United Kingdom",harmonics_utide_tidetables.txt,24.5,-15,7.6,13.4
Shoreham Harbour,1032,50.8288,-0.2488,2679,479,31,29.3,-15,"Shoreham (River Adur), England, United Kingdom",harmonics-1997-05-25_mod.txt,13.4,-5,4.7,8.2
Woolston,1034,50.8901,-1.3880,2679,479,31,21.6,-20,"Southampton (Dock Head), England, United Kingdom",harmonics_ticon4_worldwide.txt,20.1,-10,14.1,15.0
Sheerness,1157,51.4456,0.7434,2677,477,31,24.0,-25,"Sheerness, England, United Kingdom",harmonics_ticon4_worldwide.txt,22.7,-5,11.3,14.0
Dover,1158,51.1144,1.3226,2675,475,31,189.7,-60,"Dover, England, United Kingdom",harmonics_ticon4_worldwide.txt,18.1,-5,8.7,85.8
Keadby,2144,53.5920,-0.7382,8034,1437,31,30.9,-20,"Keadby, England, United Kingdom",harmonics_utide_tidetables.txt,47.7,0,14.4,16.9
Avonmouth Portbury,3014,51.5000,-2.7285,2651,464,31,68.4,-30,"Portbury, England, United Kingdom",harmonics_ticon4_worldwide.txt,56.6,-5,9.7,13.5
Hinkley Point,3062,51.2106,-3.1313,2675,472,31,39.6,-20,"Hinkley Point, England, United Kingdom",harmonics_utide_observations.txt,11.9,0,9.7,11.9
West Quay,3067,51.1299,-3.0016,2661,478,31,57.1,-35,"Bridgwater, England, United Kingdom",harmonics_utide_tidetables.txt,87.5,-25,49.3,39.6
Ilfracombe,3095,51.2111,-4.1124,2672,476,31,31.6,-15,"Ilfracombe, England, United Kingdom",harmonics_utide_observations.txt,7.6,0,15.6,13.5
Wadebridge,3140,50.5167,-4.8350,2629,479,31,27.2,-25,"Wadebridge, England, United Kingdom",harmonics_utide_tidetables.txt,60.2,45,50.2,54.9
Padstow,3146,50.5417,-4.9369,2616,476,31,30.5,-25,"Padstow, England, United Kingdom",harmonics_utide_tidetables.txt,126.2,-15,7.0,50.0
St Ives,3154,50.2152,-5.4764,2616,479,31,23.5,-15,"St. Ives, England, United Kingdom",harmonics_utide_tidetables.txt,41.3,0,17.1,11.4
Newlyn,3156,50.1030,-5.5428,2670,477,31,15.0,-5,"Newlyn, England, United Kingdom",harmonics_utide_observations.txt,10.7,0,8.5,9.3
Exmouth,3252,50.6168,-3.4242,2663,479,31,22.1,-25,"Exmouth, England, United Kingdom",harmonics_utide_observations.txt,9.0,0,8.7,10.5
Wareham,3280,50.6835,-2.1089,2663,479,31,17.4,-30,"Wareham (River Frome), England, United Kingdom",harmonics_utide_tidetables.txt,25.4,40,34.0,21.9
Portland,3282,50.5699,-2.4410,2663,479,31,18.9,-15,"Portland, England, United Kingdom",harmonics_noaa_eutt.txt,32.4,-60,27.0,17.4
West Bay,3294,50.7116,-2.7628,2662,473,31,16.9,-25,"West Bay (Bridport), England, United Kingdom",harmonics_ticon4_worldwide.txt,21.7,-5,3.4,9.8
Christchurch,3332,50.7303,-1.7734,1792,479,31,29.2,-15,"Christchurch (Quay), England, United Kingdom",harmonics_utide_tidetables.txt,14.2,-15,26.2,29.9
Plymouth,3344,50.3684,-4.1852,2668,477,31,22.0,-15,"Devonport, England, United Kingdom",harmonics_utide_observations.txt,5.9,0,5.2,9.1
Bournemouth,3352,50.7143,-1.8749,2652,469,31,14.9,-10,"Bournemouth, England, United Kingdom",harmonics_ticon4_worldwide.txt,8.8,-10,19.5,21.6
Weymouth,3353,50.6085,-2.4479,2668,477,31,18.9,-15,"Weymouth, England, United Kingdom",harmonics_utide_observations.txt,8.2,0,27.6,26.5
Teignmouth,3361,50.5443,-3.4991,2660,479,31,21.9,-25,"Teignmouth, England, United Kingdom",harmonics_ticon4_worldwide.txt,16.4,-25,3.9,9.1
Torquay Outer,3362,50.4582,-3.5251,2660,479,31,24.6,-15,"Torquay, England, United Kingdom",harmonics_utide_tidetables.txt,24.8,-25,5.0,7.8
Dartmouth,3363,50.3511,-3.5772,2660,479,31,21.6,-20,"Dartmouth, England, United Kingdom",harmonics_utide_tidetables.txt,16.9,-20,7.1,8.5
Fowey,3386,50.3361,-4.6336,2663,479,31,32.8,20,"Fowey, England, United Kingdom",harmonics_utide_tidetables.txt,27.7,-10,10.2,18.1
Fleetwood,5051,53.9265,-3.0047,2556,405,31,24.8,-20,"Fleetwood, River Wyre, England, United Kingdom",harmonics_noaa_eutt.txt,163.8,-35,10.9,35.7
Heysham,5067,54.0318,-2.9203,2678,476,31,38.3,-10,"Heysham, England, United Kingdom",harmonics_utide_observations.txt,16.3,0,6.7,9.3
Liverpool,5084,53.4497,-3.0180,2671,476,31,28.7,-15,"Liverpool (Gladstone Dock), England, United Kingdom",harmonics-dwf-20100529-nonfree_mod.txt,14.0,0,5.4,8.6
Workington,5155,54.6507,-3.5672,2678,474,31,34.2,-10,"Workington (Cumbria), England, United Kingdom",harmonics_ticon4_worldwide.txt,17.0,0,4.7,8.0
Silloth Docks,5205,54.8680,-3.3944,2679,479,31,38.2,-15,"Silloth, England, United Kingdom",harmonics_utide_tidetables.txt,40.7,0,14.1,14.5
Clacton Pier,6004,51.7848,1.1570,2670,478,31,21.1,-20,"Clacton-On-Sea, England, United Kingdom",harmonics_utide_tidetables.txt,25.8,10,7.9,11.8
Cromer,6005,52.9343,1.3016,2675,477,31,26.0,-10,"Cromer, England, United Kingdom",harmonics_utide_observations.txt,21.6,0,,
Immingham,6008,53.6302,-0.1874,2642,469,31,24.7,-15,"Immingham (Humberside), England, United Kingdom",harmonics_utide_observations.txt,19.2,0,6.1,9.3
King's Lynn,6009,52.7514,0.3933,8034,1431,31,33.6,-20,"King's Lynn, England, United Kingdom",harmonics_utide_tidetables.txt,50.3,-5,12.0,13.1
Wells,6013,52.9583,0.8496,2678,479,31,21.4,-20,"Wells, England, United Kingdom",harmonics_utide_tidetables.txt,124.9,60,43.4,24.6
Great Yarmouth,6015,52.5719,1.7384,2671,479,31,22.9,-10,"Great Yarmouth (Gorleston-On-Sea), England, United Kingdom",harmonics_utide_tidetables.txt,23.8,35,12.8,10.7
Lowestoft,6282,52.4731,1.7501,2678,477,31,22.0,-10,"Lowestoft, England, United Kingdom",harmonics_utide_observations.txt,20.3,0,14.6,16.5
Harwich,6283,51.9480,1.2921,2676,476,31,22.5,-20,"Harwich, England, United Kingdom",harmonics-dwf-20100529-nonfree_mod.txt,20.2,-5,10.8,12.6
Southwold,6292,52.3158,1.6701,2678,479,31,21.1,-10,"Southwold, England, United Kingdom",harmonics_utide_tidetables.txt,20.9,0,28.0,27.9
Orford Ness,6296,52.0895,1.5407,2679,478,31,17.7,-25,"Orford Quay, England, United Kingdom",harmonics_utide_tidetables.txt,17.7,0,32.2,32.8
Woodbridge,6297,52.0871,1.3166,2072,479,31,20.1,-30,"Woodbridge, England, United Kingdom",harmonics_utide_tidetables.txt,73.2,5,18.5,38.9
Southend,7386,51.5145,0.7233,2678,479,31,23.1,-25,"Southend-on-Sea (Pier), England, United Kingdom",harmonics_utide_tidetables.txt,20.3,-5,7.4,11.1
Silvertown,7388,51.4975,0.0526,2678,479,31,25.0,-25,"North Woolwich, England, United Kingdom",harmonics_utide_tidetables.txt,24.2,-5,17.2,18.1
Tower Pier,7391,51.5068,-0.0787,2678,479,31,31.7,-20,"London Bridge (Tower Pier), England, United Kingdom",harmonics_utide_tidetables.txt,26.0,-5,26.6,27.6
Hammersmith,7392,51.4900,-0.2347,2449,479,19,0.5,15,"Hammersmith Bridge, England, United Kingdom",harmonics_utide_tidetables.txt,166.9,60,21.7,96.1
Richmond,7393,51.4623,-0.3162,2678,479,31,36.8,-35,"Richmond Lock, England, United Kingdom",harmonics_utide_tidetables.txt,29.9,-10,19.7,19.0
Tilbury,7394,51.4567,0.3350,2678,479,31,27.3,-25,"Tilbury (Thames River), England, United Kingdom",harmonics_utide_tidetables.txt,21.4,-5,9.3,13.6
Berwick,8020,55.7671,-2.0051,2679,477,31,18.5,-10,"Berwick-upon-Tweed, England, United Kingdom",harmonics_utide_tidetables.txt,20.5,-15,,
Bridlington,8031,54.0798,-0.1879,2679,478,31,22.0,-15,"Bridlington, England, United Kingdom",harmonics_utide_tidetables.txt,26.1,-5,,
Brough,8036,53.7271,-0.5858,2623,442,31,24.3,-25,"Brough, England, United Kingdom",harmonics_utide_tidetables.txt,142.7,15,21.9,33.4
North Shields,8150,55.0074,-1.4398,2678,477,31,19.7,-10,"North Shields (River Tyne), England, United Kingdom",harmonics-dwf-20100529-nonfree_mod.txt,13.8,0,2.5,5.8
Spurn Point,8194,53.5779,0.1070,2679,478,31,26.3,-15,"Spurn Head, England, United Kingdom",harmonics_utide_tidetables.txt,37.8,5,5.2,8.9
Whitby,8216,54.4900,-0.6146,2678,477,31,21.5,-10,"Whitby, England, United Kingdom",harmonics_utide_observations.txt,15.7,0,,
Salcombe,9011,50.2355,-3.7676,2659,479,31,26.3,-30,"Salcombe, England, United Kingdom",harmonics_utide_tidetables.txt,29.7,0,8.1,14.9
Kingsbridge,9012,50.2770,-3.7723,2653,472,31,22.6,-30,"Kingsbridge, England, United Kingdom",harmonics_utide_tidetables.txt,25.6,-5,10.3,13.5
Barnstaple,9013,51.0800,-4.0645,2659,479,31,29.3,-25,"Barnstaple, England, United Kingdom",harmonics_utide_tidetables.txt,84.7,-60,41.6,42.1
