datei,name,fehler_prozent,begruendung
harmonics/classic/harmonics-2004-06-14_mod.txt,"Anchorage, Alaska (2) (expired 1999-08-03)",0.0,"Abgelaufene Station (143 m von ""Anchorage, Knik Arm, Cook Inlet, Alaska"", Kurve 2.1 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Astoria (Tongue Point), Oregon (2) (expired 1985-12-31)",0.0,"Abgelaufene Station (41 m von ""Astoria (Tongue Point), Oregon (3)"", Kurve 2.3 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Boston, Massachusetts (2) (expired 1986-12-31)",0.0,"Abgelaufene Station (125 m von ""Boston, Boston Harbor, Massachusetts"", Kurve 2.0 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Breakwater Harbor, Delaware (2) (expired 1983-12-31)",0.0,"Abgelaufene Station (0 m von ""Breakwater Harbor, Delaware"", Kurve 1.0 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Dutch Harbor, Alaska (expired 1988-12-31)",0.0,"Abgelaufene Station (1301 m von ""Unalaska, Alaska"", Kurve 1.4 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Fort Myers, Florida (2) (expired 1999-03-25)",0.0,"Abgelaufene Station (136 m von ""Fort Myers, Caloosahatchee River, Florida"", Kurve 4.1 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Galveston (Galveston Channel), Texas (2) (expired 1993-12-31)",0.0,"Abgelaufene Station (738 m von ""Galveston Pier 21, Galveston Channel, Texas"", Kurve 3.8 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Hampton Roads, Virginia (2) (expired 1989-12-31)",0.0,"Abgelaufene Station (0 m von ""Hampton Roads, Virginia"", Kurve 2.3 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Honolulu, Oahu (Hawaii) (2) (expired 1989-12-31)",0.0,"Abgelaufene Station (441 m von ""Honolulu, Honolulu Harbor, Oahu Island, Hawaii"", Kurve 1.4 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
harmonics/classic/harmonics-2004-06-14_mod.txt,"Humboldt Bay, North Spit, California (2) (expired 1993-12-31)",0.0,"Abgelaufene Station (55 m von ""North Spit, Humboldt Bay, California"", Kurve 2.9 % gleich). Regel von Oliver: Stationen mit ""expired"" im Namen koennen weg, wenn es in der Naehe Alternativen gibt."
