art,datei,schluessel,n,median,anteil,beispiele
Bezug,harmonics_att_np202_secondary.txt,Le Havre,6,43,0.33,"Tancarville, France; Quillebeuf-sur-Seine, France; Vatteville-la-Rue, France; Caudebec-en-Caux, France; Heurteauville, France; Duclair, France"
Bezug,harmonics_att_np208_secondary.txt,# source: ADMIRALTY Tide Tables Vol,4,41,0.5,"Bimbia River Entrance, Cameroon; Malimba (Sanage River mouth), Cameroon; Kribi, Cameroon; Port-Gentil, Gabon"
Bezug,harmonics_att_np208_secondary.txt,Lagos Apapa,3,67,0.67,"Lagos Bar, Nigeria; Badagry Creek, Nigeria; Benin River Bar, Nigeria"
Bezug,harmonics_noaa_amtt.txt,Puerto Montt,8,28,0.75,"Puerto Quellón, Chile; Puerto Queilén, Chile; Castro, Chile; Puerto Quemchi, Chile; Bahía Linao, Chile; Paso Lagartija, Chile"
Bezug,harmonics_noaa_amtt.txt,Sitka,27,-60,0.7,"Chatham Channel (Root Point), British Columbia, Canada; Farewell Harbor, Blackfish Sound, British Columbia, Canada; Blunden Harbor, British Columbia, Canada; Clayoquot, British Columbia, Canada; Nasparti Inlet, British Columbia, Canada; Klaskish Inlet, British Columbia, Canada"
Bezug,harmonics_noaa_cptt.txt,Air Musi,4,32,0.75,"Chebia, Tudjuh Islands, Indonesia; Sungai Merawang ent., Bangka Island, Indonesia; Sungai Kampa, Bangka Island, Indonesia; Pontianak, Little Kapuas River, Borneo, Indonesia"
Bezug,harmonics_noaa_cptt.txt,Do Son,5,-34,0.6,"Cai Bau, Cai Bau Island, Vietnam; Campha Port, Vietnam; Hon Gai, Halong Bay, Vietnam; Cua Namtrieu, Vietnam; Bach Long Vi Island, Vietnam"
Bezug,harmonics_noaa_cptt.txt,Ostrov Paramushir,5,56,0.6,"Morzhovaya Bay, Russia; Petropavlovsk, Russia; Tarya Bay, Russia; Akhomten Bay, Russia; Vestnik Bay, Russia"
Bezug,harmonics_noaa_cptt.txt,Pohnpei Harbor,3,26,0.67,"Oroluk Lagoon, Micronesia; Ant Islands (Tauenai Channel), Micronesia; Metalanim Harbor, Pohnpei Island, Micronesia"
Bezug,harmonics_noaa_cptt.txt,Port Adelaide,4,-25,1.0,"Second Valley, South Australia, Australia; Hog Bay, Kangaroo Island, South Australia, Australia; Ardrossan, Gulf of St. Vincent, South Australia, Australia; Edithburg, Gulf of St. Vincent, South Australia, Australia"
Bezug,harmonics_noaa_cptt.txt,Sakate,10,36,0.7,"Murotsu, Awaji, Hyogo, Japan; Anaga Ura, Awaji, Hyogo, Japan; Ajiro, Naruto, Tokushima, Japan; Ikeda Wan, Shodo Shima, Kagawa, Japan; Takasago Ko, Hyogo, Japan; Ie Shima, Hyogo, Japan"
Bezug,harmonics_noaa_cptt.txt,Shantou,5,25,0.8,"Nanao Dao (Yunao Wan), Guangdong, China; Dahao, Guangdong, China; Biaojiao, Guangdong, China; Dahao Dock, Guangdong, China; Haimen Wan, Guangdong, China"
Bezug,harmonics_noaa_eutt.txt,Bremerhaven,11,-25,0.36,"Schweiburger Tief, Germany; Roter Sand, Germany; Nordenham, Germany; Brake, Germany; Elsfleth, Germany; Farge, Germany"
Bezug,harmonics_noaa_eutt.txt,Monrovia,3,77,0.33,"Junk River entrance, Liberia; Marshall, Junk River, Liberia; Harbel, Farmington River, Liberia"
Bezug,harmonics_noaa_eutt.txt,Narvik,3,53,0.33,"Pierowall, Scotland, United Kingdom; Mo i Rana, Ranfjorden, Norway; Finneid (Fauske), Norway"
Meridian,harmonics-2004-06-14_mod.txt,+12:00,3,42,0.33,"Bluff, Southland, New Zealand; Dunedin, New Zealand; Picton, New Zealand"
Meridian,harmonics_att_np203_scs.txt,+06:00,5,65,0.2,"Rabnabad Channel (Patua), Bangladesh; Saint Martin's Island, Bangladesh; Sundar Kotta, Bangladesh; Hatia Bar, Bangladesh; Elisha (Meghna River), Bangladesh"
Meridian,harmonics_noaa_amtt.txt,-09:00,54,-26,0.24,"Chatham Channel (Root Point), British Columbia, Canada; Farewell Harbor, Blackfish Sound, British Columbia, Canada; Blunden Harbor, British Columbia, Canada; Clayoquot, British Columbia, Canada; Nasparti Inlet, British Columbia, Canada; Klaskish Inlet, British Columbia, Canada"
Meridian,harmonics_utide_observations.txt,+01:00,17,95,0.41,"Mechelen Stuw Afwaarts, Belgium; Mechelen Stuw Opwaarts, Belgium; Waasmunster Brug, Belgium; Waasmunster Manta, Belgium; Kessel, Belgium; Lier Maasfort, Belgium"
Meridian,harmonics_utide_observations.txt,+04:00,7,-238,0.57,"Ras Hilf (Masirah Island), Oman; Muscat (Sultan Qaboos Port), Oman; Salalah, Oman; Duqm, Oman; Majis (Suhar), Oman; Qurayyat, Oman"
