abstand_km,kennung_art,kennung,station,lat,lon,katalog_name,katalog_lat,katalog_lon,befund,datei,n_kennungen
112.5,chs_id,05990,"Cape Sibbald, Nunavut, Canada",68.3218,-85.8147,Cape Sibbald,69.3333,-85.7667,Kennung falsch,harmonics/utide/harmonics_utide_tidetables.txt,1
44.2,psmsl_id,1665,"São Tomé (Baía de Ana Chaves), São Tomé and Príncipe",0.348,6.737,SAO TOME,0.0167,6.5167,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
44.2,psmsl_id,1665,"São Tomé (Baía de Ana Chaves), São Tomé and Príncipe",0.348,6.737,SAO TOME,0.0167,6.5167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
43.1,psmsl_id,1454,"Khepupara, Bangladesh",21.9844,90.2187,KHEPUPARA,21.8333,89.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
43.1,ssc_id,khep,"Khepupara, Bangladesh",21.9844,90.2187,Khepupara,21.8333,89.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
43.1,uhslc_id,139,"Khepupara, Bangladesh",21.9844,90.2187,Khepupara,21.8333,89.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
41.0,psmsl_id,308,"Bitung, Sulawesi, Indonesia",1.4388,125.1903,BITUNG I,1.5333,124.8333,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,6
41.0,psmsl_id,308,"Bitung, Sulawesi, Indonesia",1.438,125.19,BITUNG I,1.5333,124.8333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
36.8,psmsl_id,1227,"Anewa Bay, Papua New Guinea",-6.183,155.883,ANEWA BAY,-6.1833,155.5500,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,3
35.4,psmsl_id,1917,"Macaé (Imbetiba), Rio de Janeiro, Brazil",-22.3853,-41.7695,MACAE,-22.2333,-41.4667,Position pruefen (Name passt),harmonics/utide/harmonics_utide_tidetables.txt,4
34.5,ioc_code,sadp,"Sadeng, Java, Indonesia",-8.5,110.783,Sadeng Port (IDSL),-8.1903,110.7991,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,4
34.5,ptwc_code,sadp,"Sadeng, Java, Indonesia",-8.5,110.783,Sadeng Port (IDSL),-8.1903,110.7991,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,4
34.5,ioc_code,sade,"Sadeng, Java, Indonesia",-8.5,110.783,Sadeng,-8.1902,110.7980,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,4
34.5,uhslc_id,417,"Sadeng, Java, Indonesia",-8.5,110.783,Sadeng,-8.1902,110.7980,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,4
34.4,ioc_code,phcp,"Port Hedland, Western Australia, Australia",-20.317,118.567,Port_Hedland_AU,-20.0400,118.4200,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,6
33.7,psmsl_id,1498,"Puerto de Esmeraldas, Ecuador",0.9908,-79.6467,ESMERALDAS,0.9833,-79.9500,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,5
33.0,psmsl_id,1228,"Majuro, Marshall Islands",7.106028,171.372806,MAJURO A,7.2833,171.1333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_tidetables.txt,6
31.9,psmsl_id,1991,"Isla Guadalupe, Baja California, Mexico",28.882,-118.2912,GUADALUPE ISLAND,29.1667,-118.3333,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,5
31.9,psmsl_id,1991,"Isla Guadalupe, Baja California, Mexico",28.882,-118.2912,GUADALUPE ISLAND,29.1667,-118.3333,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
31.4,psmsl_id,1765,"Tasiilaq (Ammassalik), Greenland",65.614,-37.6257,AMMASSALIK,65.5000,-37.0000,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,5
31.4,ssc_id,pnfo,"Point Fortin, Trinidad and Tobago",10.19,-61.689,Point Fortin,10.1000,-61.4167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
31.4,uhslc_id,728,"Point Fortin, Trinidad and Tobago",10.19,-61.689,Point Fortin,10.1000,-61.4167,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
29.4,ioc_code,pnfo,"Point Fortin, Trinidad and Tobago",10.19,-61.689,Point Fortin,10.1833,-61.4200,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
29.4,ptwc_code,pnfo,"Point Fortin, Trinidad and Tobago",10.19,-61.689,Point Fortin,10.1833,-61.4200,Position pruefen (Name passt),harmonics/utide/harmonics_utide_observations.txt,5
26.9,psmsl_id,1916,"Imbituba, Santa Catarina, Brazil",-28.2309,-48.6507,IMBITUBA II,-28.1333,-48.4000,Position pruefen (Name passt),harmonics/utide/harmonics_utide_tidetables.txt,11
25.7,psmsl_id,309,"Jakarta (Port), Java, Indonesia",-6.1068,106.8908,JAKARTA,-6.1667,106.6667,Position pruefen (Name passt),harmonics/ticon/harmonics_ticon4_worldwide.txt,8
24.0,psmsl_id,584,"Cape Ferguson, Queensland, Australia",-19.28,147.06,TOWNSVILLE II,-19.2500,146.8333,Nachbarpegel -- Kennung pruefen,harmonics/utide/harmonics_utide_observations.txt,10
