hafen,name,datei,km,quelle,rms_cm,hw_min,nw_min,konst
Porto Grande (Ilha de S. Vicente),"Mindelo (Porto Grande Bay), São Vicente, Cape Verde",harmonics-1997-05-25_mod.txt,1.08,,4.9,-28.5,-28.6,M2 x1.00 +30  S2 x1.01 +51
Porto Grande (Ilha de S. Vicente),"Mindelo (Porto Grande Bay), São Vicente, Cape Verde",harmonics_utide_observations.txt,1.08,Derived from UHSLC hourly data (ID,3.4,-0.1,1.2,M2 x1.00 +61  S2 x1.00 +60
Porto Grande (Ilha de S. Vicente),"Mindelo (Porto Grande Bay), São Vicente, Cape Verde",harmonics_att_np208.txt,1.1,ADMIRALTY Tide Tables Vol.8 (NP208,7.4,-28.1,-26.0,M2 x0.99 +30  S2 x1.03 +51
Praia (Ilha de Santiago),"Praia (Santiago), Cape Verde",harmonics_att_np208_secondary.txt,1.29,ADMIRALTY Tide Tables Vol.8 (NP208,8.5,15.7,14.6,M2 x1.09 +17  S2 x1.12 +10
Praia (Ilha de Santiago),"Praia (Santiago), Cape Verde",harmonics_utide_observations.txt,1.29,Derived from UHSLC hourly data (ID,5.1,41.0,42.1,M2 x0.98 +42  S2 x0.94 +41
Palmeira (Ilha do Sal),"Palmeira (Sal), Cape Verde",harmonics_ticon4_worldwide.txt,0.56,TICON-4 (GESLA-4 harmonic analysis,4.3,2.2,6.0,M2 x1.03  +5  S2 x1.01  +4
Palmeira (Ilha do Sal),"Palmeira (Sal), Cape Verde",harmonics_utide_observations.txt,0.56,Derived from UHSLC hourly data (ID,4.5,5.0,9.8,M2 x1.05  +9  S2 x1.00  +7
Cacheu,"Cacheu, Guinea-Bissau",harmonics-1997-05-25_mod.txt,0.34,,4.5,-0.4,-0.5,M2 x1.00  +0  S2 x1.00  +0
Cacheu,"Cacheu, Guinea-Bissau",harmonics_noaa_eutt.txt,0.36,NOAA Tide Tables Europe & West Coa,11.4,0.8,-1.0,M2 x0.99  +3  S2 x0.90 -40
Cacheu,"Cacheu, Guinea-Bissau",harmonics_att_np208.txt,0.37,ADMIRALTY Tide Tables Vol.8 (NP208,23.6,0.9,-0.3,M2 x1.00  +0  S2 x1.00  +0
Caió,"Ilheu de Caio, Guinea-Bissau",harmonics_noaa_eutt.txt,0.11,NOAA Tide Tables Europe & West Coa,13.9,-6.5,0.3,M2 x0.97  +1  S2 x0.93 -32
Caió,"Ilheu de Caio, Guinea-Bissau",harmonics_utide_tidetables.txt,0.11,NMDIS hourly tide predictions (mds,3.7,-0.0,0.3,M2 x1.02  +3  S2 x0.94  +1
Bubaque,"Bubaque, Guinea-Bissau",harmonics-1997-05-25_mod.txt,0.79,,6.1,-0.5,-0.4,M2 x1.00  +0  S2 x1.00  +0
Bubaque,"Bubaque, Guinea-Bissau",harmonics_utide_tidetables.txt,0.79,Derived from SHOM tide predictions,6.4,-0.9,-0.8,M2 x1.00  +0  S2 x1.00  -0
Ana Chaves,"São Tomé (Baía de Ana Chaves), São Tomé and Príncipe",harmonics_att_np208_secondary.txt,0.9,ADMIRALTY Tide Tables Vol.8 (NP208,11.5,6.9,62.9,M2 x1.15 +37  S2 x1.04 +64
Ana Chaves,"São Tomé (Baía de Ana Chaves), São Tomé and Príncipe",harmonics_ticon4_worldwide.txt,0.9,TICON-4 (GESLA-4 harmonic analysis,4.4,0.2,0.2,M2 x1.00  +0  S2 x1.03  +3
Ana Chaves,"São Tomé (Baía de Ana Chaves), São Tomé and Príncipe",harmonics_utide_observations.txt,0.9,Derived from UHSLC data with UTide,4.4,0.3,0.6,M2 x1.00  +0  S2 x1.03  +3
Santo António,"Santo António (Ilha do Príncipe), São Tomé and Príncipe",harmonics_att_np208_secondary.txt,0.29,ADMIRALTY Tide Tables Vol.8 (NP208,8.5,9.2,67.1,M2 x1.09 +38  S2 x1.09 +61
Santo António,"Santo António (Ilha do Príncipe), São Tomé and Príncipe",harmonics-1997-05-25_mod.txt,0.29,,3.8,-1.1,-0.7,M2 x1.00  -0  S2 x1.00  -1
Santo António,"Santo António (Ilha do Príncipe), São Tomé and Príncipe",harmonics_utide_tidetables.txt,0.29,NMDIS hourly tide predictions (mds,3.1,0.3,0.4,M2 x1.00  +1  S2 x0.99  +1
Soyo (Santo António do Zaire),"Soyo, Angola",harmonics_att_np208.txt,0.22,ADMIRALTY Tide Tables Vol.8 (NP208,9.0,-6.9,6.6,
Soyo (Santo António do Zaire),"Soyo, Angola",harmonics-1997-05-25_mod.txt,0.23,,4.8,-0.2,-0.1,
Soyo (Santo António do Zaire),"Ponta do Padrão (Congo River entrance), Angola",harmonics_noaa_eutt.txt,5.67,NOAA Tide Tables Europe & West Coa,8.8,10.5,13.0,
Luanda,"Luanda, Angola",harmonics_att_np208.txt,0.25,ADMIRALTY Tide Tables Vol.8 (NP208,7.3,-1.4,0.1,M2 x1.00 -60  S2 x1.01 -59
Luanda,"Luanda, Angola",harmonics-1997-05-25_mod.txt,0.25,,4.3,0.6,1.0,M2 x1.00 -58  S2 x1.00 -59
Luanda,"Luanda, Angola",harmonics_noaa_eutt.txt,0.25,NOAA Tide Tables Europe & West Coa,9.1,19.4,11.9,M2 x1.01 -46  S2 x1.17 -47
Luanda,"Luanda, Angola",harmonics_utide_observations.txt,0.25,Derived from UHSLC data with UTide,4.1,1.4,0.9,M2 x1.00 -59  S2 x1.00 -60
Lobito,"Lobito, Angola",harmonics_ticon4_worldwide.txt,0.26,TICON-4 (GESLA-4 harmonic analysis,3.3,-1.2,0.0,M2 x1.00 -60  S2 x0.99 -59
Lobito,"Lobito, Angola",harmonics_utide_observations.txt,0.26,Derived from UHSLC data with UTide,3.3,-0.5,-0.2,M2 x1.00 -60  S2 x0.99 -59
Lobito,"Porto do Lobito, Angola",harmonics_att_np208.txt,2.06,ADMIRALTY Tide Tables Vol.8 (NP208,7.6,-3.1,1.6,M2 x0.99 -60  S2 x1.02 -59
Lobito,"Porto do Lobito, Angola",harmonics_noaa_eutt.txt,2.06,NOAA Tide Tables Europe & West Coa,9.4,19.2,11.8,M2 x1.01 -47  S2 x1.15 -43
