# IH Tabela de Mares Vol. I 2026, S. 3-2/3-3 "Concordancias de mares para locais proximos dos portos principais"
# vom Seitenbild abgelesen (14.09.2026). Zeiten in Minuten (PM = Hochwasser, BM = Niedrigwasser,
# AM = Nipptide, AV = Springtide), Hoehenkorrekturen in m, Relacao de amplitude AM/AV.
# Leer = im Buch nicht angegeben. Ueber mehrere Spalten gedruckte Werte (ein Wert fuer alle) stehen in jeder Spalte.
# Zeilen typ=STD: Standardhafen mit den veroeffentlichten Pegeln PMAM PMAV BMAM BMAV (= NM +-M2 +-S2).
# lat/lon dezimal (N positiv, E positiv).
typ	bezug	name	lat	lon	nm	t_pm_am	t_pm_av	t_bm_am	t_bm_av	h_pm_am	h_pm_av	h_bm_am	h_bm_av	r_am	r_av
STD	VIANA DO CASTELO	Viana do Castelo	41.6850	-8.8397	2.00					2.68	3.41	1.32	0.59
SEC	VIANA DO CASTELO	Caminha	41.8667	-8.8683	2.00	9	22	38	83	-0.02	0	0.20	0.71
SEC	VIANA DO CASTELO	Âncora	41.8133	-8.8700	2.00	-6	-6	-6	-6					0.94	0.94
SEC	VIANA DO CASTELO	Esposende	41.5417	-8.7917	2.00	6	5	22	48	0.03	-0.04	0.23	0.50
SEC	VIANA DO CASTELO	Póvoa do Varzim	41.3750	-8.7667	2.00	1	2	2	-1					1.01	1.00
SEC	VIANA DO CASTELO	Vila do Conde	41.3400	-8.7483	2.00	0	-1	3	3					0.95	0.95
STD	LEIXÕES	Leixões	41.1867	-8.7045	2.00					2.68	3.41	1.32	0.59
SEC	LEIXÕES	Barra do Douro	41.1467	-8.6667	2.00	-5	0	-8	25	-0.06	-0.10	0	0.15
SEC	LEIXÕES	Capitania do Douro	41.1417	-8.6183	2.00	16	16	30	44	0.13	0.16	0.16	0.33
SEC	LEIXÕES	Crestuma	41.0700	-8.5033	2.00	58	62	91	134	0.19	0.13	0.20	0.56
STD	AVEIRO	Aveiro	40.6433	-8.7495	2.00					2.63	3.30	1.37	0.70
SEC	AVEIRO	S. Jacinto	40.6633	-8.7283	2.00	20	18	22	32	0.05	-0.05	0.08	0.23	0.98	0.89
SEC	AVEIRO	Cais Comercial	40.6500	-8.7333	2.00	14	20	24	28	-0.02	-0.13	0.08	0.18	0.92	0.88
SEC	AVEIRO	Miradouro	40.6900	-8.7217	2.00	53	49	47	67	0.08	-0.09	0.14	0.44	0.95	0.79
SEC	AVEIRO	Moranzel	40.7183	-8.6983	2.00	60	67	72	98	0.04	-0.16	0.17	0.72	0.89	0.66
SEC	AVEIRO	Torreira	40.7617	-8.7000	2.00	90	94	154	183	0.02	-0.18	0.42	1.16	0.68	0.48
SEC	AVEIRO	Varela	40.7900	-8.6750	2.00	136	145	190	221	-0.06	-0.34	0.57	1.29	0.49	0.36
SEC	AVEIRO	Puxadouro	40.8350	-8.6233	2.00	176	202	275	302	-0.12	-0.45	0.63	1.35	0.40	0.30
SEC	AVEIRO	Pardilhó	40.8017	-8.6383	2.00	176	211	243	272	-0.11	-0.42	0.65	1.38	0.39	0.30
SEC	AVEIRO	Ovar	40.8433	-8.6433	2.00	182	208	267	293	-0.13	-0.44	0.57	1.29	0.43	0.32
SEC	AVEIRO	Carregal	40.8617	-8.6567	2.00	192	186	275	305	-0.08	-0.36	0.63	1.36	0.43	0.33
SEC	AVEIRO	Manchão	40.7617	-8.6600	2.00	214	282	301	336	-0.15	-0.56	0.74	1.48	0.28	0.20
SEC	AVEIRO	Parrachil	40.6783	-8.6767	2.00	40	52	46	69	0.09	-0.06	0.20	0.48	0.90	0.79
SEC	AVEIRO	Rio Novo	40.6950	-8.6383	2.00	58	76	65	97	0.10	-0.08	0.21	0.60	0.90	0.73
SEC	AVEIRO	Cacia	40.6950	-8.6017	2.00	76	100	94	123	0.05	-0.12	0.48	0.81	0.64	0.64
SEC	AVEIRO	Terminal de Líquidos	40.6600	-8.7117	2.00	16	24	29	38	0.02	-0.09	0.08	0.19	0.95	0.89
SEC	AVEIRO	Ponte Cais n.º 2	40.6400	-8.6933	2.00	29	31	33	52	0.06	-0.05	0.09	0.23	0.98	0.89
SEC	AVEIRO	Lota	40.6450	-8.6633	2.00	44	50	36	58	0	-0.12	0.07	0.21	0.94	0.87
SEC	AVEIRO	Esgueira	40.6533	-8.6317	2.00	77	122			0.05	-0.19
SEC	AVEIRO	Vista Alegre	40.5883	-8.6850	2.00	88	115	132	181	0.01	-0.29	0.32	0.94	0.75	0.52
