name,bezug,lat,lon,satzname,standard,grundsatz,grund_cm,art,cm,hw,nw,bestand,entscheidung,grund,loeschen,loeschen_n,fes
Caminha,VIANA DO CASTELO,41.8667,-8.8683,"Caminha, Portugal",Viana do Castelo,IH-Konstanten,5.3,nachgefuehrt,8.5,1,-2,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Âncora,VIANA DO CASTELO,41.8133,-8.87,"Âncora, Portugal",Viana do Castelo,IH-Konstanten,5.3,uebertragen,4.9,-1,0,"harmonics_utide_tidetables.txt|Vila Praia de Âncora, Portugal [B 0.0 km] Tafel 4.8 cm +1/-1, Kurve 1.8 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Vila Praia de Âncora, Portugal",,,
Esposende,VIANA DO CASTELO,41.5417,-8.7917,"Esposende, Portugal",Viana do Castelo,IH-Konstanten,5.3,nachgefuehrt,5.6,1,0,,neu,,,0,
Póvoa do Varzim,VIANA DO CASTELO,41.375,-8.7667,"Póvoa do Varzim, Portugal",Viana do Castelo,IH-Konstanten,5.3,nachgefuehrt,5.4,0,0,"harmonics_noaa_eutt.txt|Póvoa de Varzim, Portugal [- 0.0 km] Tafel 6.2 cm +0/+3, Kurve 1.8 % ; harmonics_utide_tidetables.txt|Póvoa de Varzim, Portugal [B 0.0 km] Tafel 5.1 cm +0/-0, Kurve 1.9 %",nicht,"Bestand am Ort gleichwertig: harmonics_noaa_eutt.txt|Póvoa de Varzim, Portugal",,,
Vila do Conde,VIANA DO CASTELO,41.34,-8.7483,"Vila do Conde, Portugal",Viana do Castelo,IH-Konstanten,5.3,nachgefuehrt,5.3,0,0,"harmonics_utide_tidetables.txt|Vila do Conde, Portugal [B 0.0 km] Tafel 4.8 cm +1/-4, Kurve 1.9 %",nicht,"Bestand am Ort gleichwertig: harmonics_utide_tidetables.txt|Vila do Conde, Portugal",,,
Barra do Douro,LEIXÕES,41.1467,-8.6667,"Barra do Douro, Portugal",Leixões,IH-Konstanten,5.1,nachgefuehrt,5.2,0,1,,neu,,,0,
Capitania do Douro,LEIXÕES,41.1417,-8.6183,"Capitania do Douro (Porto), Portugal",Leixões,IH-Konstanten,5.1,nachgefuehrt,5.8,0,0,,neu,,,0,
Crestuma,LEIXÕES,41.07,-8.5033,"Crestuma (Rio Douro), Portugal",Leixões,IH-Konstanten,5.1,nachgefuehrt,5.8,1,-1,,neu,,,0,
S. Jacinto,AVEIRO,40.6633,-8.7283,"São Jacinto (Ria de Aveiro), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,3.1,0,0,,neu,,,0,
Cais Comercial,AVEIRO,40.65,-8.7333,"Cais Comercial (Aveiro), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,3.3,0,0,,neu,,,0,
Miradouro,AVEIRO,40.69,-8.7217,"Miradouro (Ria de Aveiro), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,3.3,0,1,,neu,,,0,
Moranzel,AVEIRO,40.7183,-8.6983,"Moranzel, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,5.8,1,0,,neu,,,0,
Torreira,AVEIRO,40.7617,-8.7,"Torreira, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,8.9,1,-2,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Varela,AVEIRO,40.79,-8.675,"Varela, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,8.1,1,-1,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Puxadouro,AVEIRO,40.835,-8.6233,"Puxadouro, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,8.6,1,-1,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Pardilhó,AVEIRO,40.8017,-8.6383,"Pardilhó, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,9.0,2,0,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Ovar,AVEIRO,40.8433,-8.6433,"Ovar, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,8.5,1,-1,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Carregal,AVEIRO,40.8617,-8.6567,"Carregal, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,8.3,1,-2,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Manchão,AVEIRO,40.7617,-8.66,"Manchão, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,8.7,3,-1,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Parrachil,AVEIRO,40.6783,-8.6767,"Parrachil (Rio Vouga), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,3.7,1,1,,neu,,,0,
Rio Novo,AVEIRO,40.695,-8.6383,"Rio Novo (Rio Vouga), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,4.6,2,1,,neu,,,0,
Cacia,AVEIRO,40.695,-8.6017,"Cacia (Rio Vouga), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,5.0,2,1,,neu,,,0,
Terminal de Líquidos,AVEIRO,40.66,-8.7117,"Terminal de Líquidos (Aveiro), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,3.3,1,0,,neu,,,0,
Ponte Cais n.º 2,AVEIRO,40.64,-8.6933,"Ponte Cais n.º 2 (Aveiro), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,3.3,0,1,,neu,,,0,
Lota,AVEIRO,40.645,-8.6633,"Lota (Aveiro), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,3.5,0,1,,neu,,,0,
Esgueira,AVEIRO,40.6533,-8.6317,,,,,,,,,,nicht,Zeitkorrektur fehlt,,,
Vista Alegre,AVEIRO,40.5883,-8.685,"Vista Alegre, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,6.6,2,0,,neu,,,0,
Cais da Pedra,AVEIRO,40.54,-8.675,"Cais da Pedra, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,7.9,3,0,,neu,,,0,
Boco,AVEIRO,40.5333,-8.6667,"Boco (Canal de Ílhavo), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,8.2,4,0,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Cais do Bico,AVEIRO,40.7283,-8.6483,"Cais do Bico, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,7.0,2,-1,,neu,,,0,
Vala Rainha,AVEIRO,40.71,-8.605,"Vala Rainha, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,8.7,4,2,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Estarreja,AVEIRO,40.7467,-8.59,,,,,,,,,,nicht,Zeitkorrektur fehlt,,,
Salreu,AVEIRO,40.7317,-8.5733,"Salreu, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,9.0,2,0,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Canelas,AVEIRO,40.7117,-8.5633,"Canelas, Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,9.7,1,0,,nicht,Konkordanz harmonisch nicht darstellbar (Scheitel),,,
Costa Nova,AVEIRO,40.62,-8.7483,"Costa Nova (Canal de Mira), Portugal",Aveiro,"harmonics_utide_tidetables.txt|Barra de Aveiro (Gafanha da Nazaré), Portugal",3.8,nachgefuehrt,3.9,0,-1,,neu,,,0,
