hafen,name,datei,km,quelle,rms_cm,hw_min,nw_min,konst
Viana do Castelo,"Viana do Castelo, Portugal",harmonics_utide_observations.txt,0.01,Derived from CMEMS data with UTide,5.1,0.8,-1.3,M2 x1.00  +0  S2 x1.00  +1
Viana do Castelo,"Viana do Castelo, Portugal",harmonics_ticon4_worldwide.txt,0.01,TICON-4 (GESLA-4 harmonic analysis,5.9,1.1,-1.2,M2 x0.98  +0  S2 x0.98  +3
Leixões,"Porto de Leixoes (Matosinhos), Portugal",harmonics_ticon4_worldwide.txt,0.0,TICON-4 (GESLA-4 harmonic analysis,5.7,-1.8,-1.8,M2 x0.99  -1  S2 x0.97  -0
Leixões,"Porto de Leixões (Matosinhos), Portugal",harmonics_noaa_eutt.txt,0.0,NOAA Tide Tables Europe & West Coa,7.8,-9.2,-6.5,M2 x0.95  -9  S2 x1.23  -8
Leixões,"Porto de Leixoes (Matosinhos), Portugal",harmonics_utide_observations.txt,0.0,Derived from CMEMS data with UTide,5.2,-2.2,-2.4,M2 x1.00  -1  S2 x0.99  -1
Aveiro,"Barra de Aveiro (Gafanha da Nazaré), Portugal",harmonics-1997-05-25_mod.txt,0.0,,12.0,2.2,4.7,M2 x0.89  +6  S2 x0.97  +7
Aveiro,"Barra de Aveiro (Gafanha da Nazaré), Portugal",harmonics_noaa_eutt.txt,0.0,NOAA Tide Tables Europe & West Coa,25.9,-22.4,-1.2,M2 x0.76  -8  S2 x0.78  -8
Aveiro,"Barra de Aveiro (Gafanha da Nazaré), Portugal",harmonics_utide_tidetables.txt,0.0,Derived from FCUL tide predictions,3.8,-7.2,-1.5,M2 x1.00  -2  S2 x1.01  -1
Figueira da Foz,"Figueira da Foz, Portugal",harmonics-1997-05-25_mod.txt,0.14,,11.4,4.6,9.9,M2 x0.91  +5  S2 x0.93 +12
Figueira da Foz,"Figueira da Foz, Portugal",harmonics_noaa_eutt.txt,0.14,NOAA Tide Tables Europe & West Coa,7.7,0.4,6.4,M2 x0.94  +2  S2 x1.02  +3
Figueira da Foz,"Figueira da Foz, Portugal",harmonics_utide_tidetables.txt,0.14,Derived from FCUL tide predictions,4.0,-1.9,0.1,M2 x1.00  -2  S2 x1.01  -0
Peniche,"Peniche, Portugal",harmonics_ticon4_worldwide.txt,0.81,TICON-4 (GESLA-4 harmonic analysis,5.4,-1.7,-2.2,M2 x0.99  -1  S2 x0.98  +0
Peniche,"Peniche, Portugal",harmonics_utide_observations.txt,0.81,Derived from CMEMS data with UTide,4.8,-2.0,-2.3,M2 x1.00  -2  S2 x1.00  -1
