reihe,datei,name,km,m2,s2,k1,o1,median,m2_amp,reihe_fes_m2,reihe_fes_k1
RMN-Ancon,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Ancona, Italy",0.0,2.3045632872436,0.840727983863303,-0.7329440148521876,3.548965654451779,1.5726456355534515,0.969,-0.01545127255594102,0.38122803935057603
RMN-Anzi,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Anzio, Italy",0.0,2.557522546978306,2.5648640301490673,2.0158929057571546,9.964274353781631,2.5611932885636866,0.972,-3.181519279922897,-4.205910026874911
RMN-Bar,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Bari, Italy",0.0,1.0829408881644464,1.0583537677354116,0.12188638113537895,1.1930977106720904,1.0706473279499291,0.996,-0.6828691331247954,-9.541465714775903
RMN-Cagliar,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Cagliari, Italy",0.01,-2.4788963597219738,-2.6399774049576763,-1.0507432367646146,-11.075663700412642,-2.559436882339825,0.991,-1.8569312959903064,-8.59918138512405
RMN-Carlofort,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Carloforte (Isola di San Pietro), Italy",0.5,-2.531728583225213,0.17594002702912803,1.2803747845168085,1.6165403861906165,0.7281574057729683,0.932,0.32744166290856924,-2.139808342679507
RMN-Catani,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Catania, Italy",0.01,-3.141994886742554,-2.5239322037009515,-18.455113371701724,-13.014266808227964,-8.078130847485259,1.002,0.239985167235404,20.83980927248306
RMN-Civitavecchi,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Civitavecchia, Italy",0.01,2.1358914769386788,4.200468694676488,14.202797375351487,19.779632264969294,9.201633035013987,0.966,13.806581428552674,-9.659041465885181
RMN-Croton,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Crotone, Italy",0.0,1.966852597786482,0.13774707026533406,3.0304314485056825,3.044157407179029,2.498642023146082,0.992,-3.1502689205088563,14.733059517639136
RMN-Gaet,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Gaeta, Italy",0.0,5.794687869677231,6.210209268630592,9.409710779756335,11.771496784630532,7.8099600241934635,0.965,-2.2683611227909233,-2.115791689303976
RMN-Genov,harmonics/ticon/harmonics_ticon4_worldwide.txt,"Genova, Italy",0.0,0.8823560529618505,2.7593608519892996,-1.0754335276584577,4.318970763830621,1.820858452475575,0.994,-3.410916134352921,-16.452966448409722
