name,datei,lat,lon,land_im_namen,liegt_in,region,entscheidung
"Puerto de Hierro, Trinidad and Tobago",harmonics_att_np202_secondary.txt,10.6333,-62.0833,Trinidad and Tobago,Venezuela,Sucre,
"Riohacha, Venezuela",harmonics_att_np202_secondary.txt,11.5500,-72.9167,Venezuela,Colombia,La Guajira,
"Cabo Gracias a Dios, Nicaragua",harmonics_att_np202_secondary.txt,15.0000,-83.1833,Nicaragua,Honduras,Gracias a Dios,
"Marion Island, Antarctica",harmonics_att_np203_secondary.txt,-46.8830,37.8500,Antarctica,South Africa,Western Cape,
"Heard Island, Antarctica",harmonics_att_np203_secondary.txt,-53.0170,73.3830,Antarctica,Heard Island and McDonald Islands,Heard Island and McDonald Islands,
"Jazirat Tiran (Johnson Point), Saudi Arabia",harmonics_att_np203_secondary.txt,28.0008,34.4943,Saudi Arabia,Egypt,Janub Sina',
"New Amsterdam, Suriname",harmonics_att_np207.txt,6.2500,-57.5167,Suriname,Guyana,Mahaica-Berbice,
"Bellfield, Suriname",harmonics_att_np207.txt,6.7508,-57.9617,Suriname,Guyana,East Berbice-Corentyne,
"Saint-Louis, Senegal",harmonics_att_np208.txt,16.0260,-16.5100,Senegal,Mauritania,Trarza,
"Vila Real de Santo António, Portugal",harmonics_att_np208_secondary.txt,37.1928,-7.4128,Portugal,Spain,Huelva,
"Buniada Point, Gambia",harmonics_att_np208_secondary.txt,13.5872,-16.5470,Gambia,Senegal,Fatick,
"Esuk Aye (Akpa Yafe River), Nigeria",harmonics_att_np208_secondary.txt,4.9823,8.6823,Nigeria,Cameroon,Sud-Ouest,
"Saint-Louis, Senegal",harmonics-1997-05-25_mod.txt,16.0263,-16.5100,Senegal,Mauritania,Trarza,
"Vila Real de Santo António, Portugal",harmonics-1997-05-25_mod.txt,37.1928,-7.4128,Portugal,Spain,Huelva,
"Anewa Bay, Bougainville, Solomon Islands",harmonics-2004-06-14_mod.txt,-6.1838,155.5436,Solomon Islands,Papua New Guinea,North Solomons,
"Heard Island, Antarctica",harmonics-2004-06-14_mod.txt,-53.0167,73.3833,Antarctica,Heard Island and McDonald Islands,Heard Island and McDonald Islands,
"Kieta Harbour, Bougainville, Solomon Islands",harmonics-2004-06-14_mod.txt,-6.2181,155.6376,Solomon Islands,Papua New Guinea,North Solomons,
"Soraken Harbour, Bougainville, Solomon Islands",harmonics-2004-06-14_mod.txt,-5.5721,154.7421,Solomon Islands,Papua New Guinea,North Solomons,
"St. Stephen, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,45.1919,-67.2760,Canada,United States of America,Maine,
"Taraku-jima (Polonskogo), Hokkaido, Japan",harmonics-2004-06-14_mod.txt,43.6332,146.3533,Japan,Russia,Sakhalin,
"Tomari Wan, Hokkaido, Japan",harmonics-2004-06-14_mod.txt,43.7333,145.4500,Japan,Russia,Sakhalin,
"Yokeko Point, British Columbia, Canada",harmonics-2004-06-14_mod.txt,48.4167,-122.6167,Canada,United States of America,Washington,
"Leith Harbor, United Kingdom",harmonics_noaa_amtt.txt,-54.1333,-36.6833,United Kingdom,South Georgia and the Islands,South Georgia and the South Sandwich Islands,
"Cabo Gracias a Dios, Nicaragua",harmonics_noaa_censam.txt,15.0000,-83.1670,Nicaragua,Honduras,Gracias a Dios,
"Tomari Wan, Hokkaido, Japan",harmonics_noaa_cptt.txt,43.7333,145.4500,Japan,Russia,Sakhalin,
"Taraku Jima, Hokkaido, Japan",harmonics_noaa_cptt.txt,43.6333,146.3500,Japan,Russia,Sakhalin,
"Yinggehai, Vietnam",harmonics_noaa_cptt.txt,18.5000,108.7167,Vietnam,China,Hainan,
"Weizhou Dao, Vietnam",harmonics_noaa_cptt.txt,21.0333,109.1167,Vietnam,China,Guangxi,
"Port Kelang, Sumatra, Indonesia",harmonics_noaa_cptt.txt,3.0000,101.3833,Indonesia,Malaysia,Selangor,
"Lumut, Dinding River, Sumatra, Indonesia",harmonics_noaa_cptt.txt,4.2333,100.6167,Indonesia,Malaysia,Perak,
"Kuching, Sarawak River, Borneo, Indonesia",harmonics_noaa_cptt.txt,1.5667,110.3500,Indonesia,Malaysia,Sarawak,
"Kuala Similajau, Indonesia",harmonics_noaa_cptt.txt,3.5167,113.3000,Indonesia,Malaysia,Sarawak,
"Kuala Niah, Indonesia",harmonics_noaa_cptt.txt,3.9667,113.7000,Indonesia,Malaysia,Sarawak,
"Koror, Indonesia",harmonics_noaa_cptt.txt,7.3500,134.4833,Indonesia,Palau,Koror,
"Niue Island (N.Z.), New Zealand",harmonics_noaa_cptt.txt,-19.0333,-169.9167,New Zealand,Niue,Niue,
"Rotumah Island, Tuvalu",harmonics_noaa_cptt.txt,-12.4833,177.1167,Tuvalu,Fiji,Rotuma,
"Amsterdam Island, France",harmonics_noaa_cptt.txt,-37.8333,77.5500,France,French Southern and Antarctic Lands,Iles Saint-Paul et Nouvelle-Amsterdam,
"Heard Island (Atlas Cove), Antarctica",harmonics_noaa_cptt.txt,-53.0167,73.3833,Antarctica,Heard Island and McDonald Islands,Heard Island and McDonald Islands,
"Saint-Louis, Senegal",harmonics_noaa_eutt.txt,16.0262,-16.5100,Senegal,Mauritania,Trarza,
"Niue Island, New Zealand",harmonics_ticon4_worldwide.txt,-19.0330,-169.9170,New Zealand,Niue,Niue,
"Anewa Bay, Bougainville, Solomon Islands",harmonics_ticon4_worldwide.txt,-6.1838,155.5436,Solomon Islands,Papua New Guinea,North Solomons,
"Prosperpolder (Schelde), Netherlands",harmonics_ticon4_worldwide.txt,51.3421,4.2476,Netherlands,Belgium,East Flanders,
"Diego Garcia, United Kingdom",harmonics_ticon4_worldwide.txt,-7.2900,72.3930,United Kingdom,British Indian Ocean Territory,British Indian Ocean Territory,
"Guantanamo, Cuba",harmonics_ticon4_worldwide.txt,19.9176,-75.1512,Cuba,US Naval Base Guantanamo Bay,Guantanamo Bay USNB,
"Île Saint-Paul, France",harmonics_ticon4_worldwide.txt,-38.7143,77.5306,France,French Southern and Antarctic Lands,Iles Saint-Paul et Nouvelle-Amsterdam,
"Narva-Jõesuu, Estonia",harmonics_ticon4_worldwide.txt,59.4654,28.0449,Estonia,Russia,Leningrad,
"Rothera, United Kingdom",harmonics_ticon4_worldwide.txt,-67.5670,-68.1330,United Kingdom,Antarctica,Antarctica,
"6200024, France Current",harmonics_utide_current_observations.txt,43.3394,-3.1763,France,Spain,Cantabria,
