name,datei,lat,lon,land_im_namen,km_zum_genannten,liegt_in,km_dorthin,region,entscheidung
"Base Brown (Bahía Paraíso), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-64.9000,-62.8667,Argentina,1106.1,Antarctica,2.3,Antarctica,
"Base Carlini (Caleta Potter, Isla 25 de Mayo), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_observations.txt,-62.2330,-58.6830,Argentina,867.5,Antarctica,1.1,Antarctica,
"Base Cámara (Caleta Menguante, Isla Media Luna), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-62.6000,-59.9000,Argentina,887.7,Antarctica,5.1,Antarctica,
"Base Esperanza (Bahía Esperanza), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-63.4000,-57.0000,Argentina,1013.9,Antarctica,1.8,Antarctica,
"Base González Videla (Bahía Paraíso), Chile",harmonics/utide/harmonics_utide_tidetables.txt,-64.8240,-62.8570,Chile,1009.0,Antarctica,0.9,Antarctica,
"Base Marambio (Isla Marambio), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-64.2500,-56.5833,Argentina,1106.2,Antarctica,24.9,Antarctica,
"Base Matienzo (Nunatak Larsen), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-64.9833,-60.0667,Argentina,1139.1,Antarctica,36.7,Antarctica,
"Base Melchior (Archipiélago Melchior), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-64.3167,-62.9833,Argentina,1041.8,Antarctica,8.1,Antarctica,
"Base O'Higgins (Rada Covadonga), Chile",harmonics/utide/harmonics_utide_tidetables.txt,-63.3200,-57.8990,Chile,941.1,Antarctica,1.1,Antarctica,
"Base Primavera (Caleta Cierva), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-64.1500,-60.9167,Argentina,1041.9,Antarctica,2.1,Antarctica,
"Base Risopatrón (Caleta Cooper Mine, Isla Robert), Chile",harmonics/utide/harmonics_utide_tidetables.txt,-62.3738,-59.6922,Chile,811.9,Antarctica,23.4,Antarctica,
"Base Yelcho (Bahía Sur, Isla Doumer), Chile",harmonics/utide/harmonics_utide_tidetables.txt,-64.8760,-63.5840,Chile,1008.4,Antarctica,5.0,Antarctica,
"Caleta Balleneros (Isla Decepción), Chile",harmonics/utide/harmonics_utide_tidetables.txt,-62.9830,-60.5670,Chile,850.8,Antarctica,28.6,Antarctica,
"Caleta Snow (Isla Snow), Chile",harmonics/utide/harmonics_utide_tidetables.txt,-62.7830,-61.3830,Chile,815.7,Antarctica,17.4,Antarctica,
"Cape Roberts, New Zealand",harmonics/ticon/harmonics_ticon4_worldwide.txt,-77.0333,163.1833,New Zealand,2716.2,Antarctica,1.3,Antarctica,
"Davis, Australian Antarctic Territory, Australia",harmonics/ticon/harmonics_ticon4_worldwide.txt,-68.4500,77.9670,Australia,1703.3,Antarctica,20.6,Antarctica,
"Esperanza (Hope Bay, Antarctica), Antártida Argentina, Argentina",harmonics/ticon/harmonics_ticon4_worldwide.txt,-63.3950,-56.9950,Argentina,1013.5,Antarctica,1.5,Antarctica,
"Esperanza (Hope Bay, Antarctica), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_observations.txt,-63.3950,-56.9950,Argentina,1013.5,Antarctica,1.5,Antarctica,
"Estação Antártica Comandante Ferraz, Antártica, Brazil",harmonics/utide/harmonics_utide_tidetables.txt,-62.0850,-58.3917,Brazil,,Antarctica,0.0,Antarctica,
"Puerto Arthur (Isla Amberes), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-64.7667,-64.0667,Argentina,1084.2,Antarctica,1.1,Antarctica,
"Puerto Charcot (Isla Booth), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-65.0667,-64.0333,Argentina,1117.4,Antarctica,5.7,Antarctica,
"Puerto Foster (Isla Decepción), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-62.9667,-60.7000,Argentina,916.6,Antarctica,30.9,Antarctica,
"Puerto Lockroy (Isla Wiencke), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-64.8333,-63.5000,Argentina,1094.6,Antarctica,7.3,Antarctica,
"Puerto Mikkelsen (Isla Trinidad), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-63.9000,-60.7667,Argentina,1016.2,Antarctica,12.5,Antarctica,
"Puerto Neko (Bahía Andvord), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-64.8500,-62.5333,Argentina,1103.2,Antarctica,3.6,Antarctica,
"Puerto Sidders (Bahía Margarita), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-68.2000,-67.0500,Argentina,1459.6,Antarctica,3.9,Antarctica,
"Refugio Ballvé (Caleta Ardley, Isla 25 de Mayo), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-62.2167,-58.9333,Argentina,861.9,Antarctica,1.3,Antarctica,
"Refugio Groussac (Isla Petermann), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-65.1833,-64.1333,Argentina,1129.7,Antarctica,2.6,Antarctica,
"Refugio Gurruchaga (Caleta Armonía, Isla Nelson), Antártida Argentina, Argentina",harmonics/utide/harmonics_utide_tidetables.txt,-62.3000,-59.2000,Argentina,866.5,Antarctica,13.2,Antarctica,
"Scott Base, Ross Island, New Zealand",harmonics/utide/harmonics_utide_observations.txt,-77.8500,166.7670,New Zealand,2803.3,Antarctica,0.6,Antarctica,
"Cone Island, Vietnam",harmonics/noaa/harmonics_noaa_cptt.txt,11.4333,103.0000,Vietnam,149.6,Cambodia,1.4,Kaôh Kong,
"Phumi Phsar Ream Bay, Vietnam",harmonics/noaa/harmonics_noaa_cptt.txt,10.5000,103.6000,Vietnam,30.4,Cambodia,2.5,Krong Preah Sihanouk,
"Cape Lawrence, Greenland",harmonics/att/harmonics_att_np202_secondary.txt,80.3500,-69.2833,Greenland,33.6,Canada,5.5,Nunavut,
"Dafeng Jiang, Vietnam",harmonics/noaa/harmonics_noaa_cptt.txt,21.6333,108.8667,Vietnam,91.8,China,1.3,Guangxi,
"Dalu Dao [Talu Tao], North Korea",harmonics/noaa/harmonics_noaa_cptt.txt,39.7500,123.7500,North Korea,39.7,China,7.8,Liaoning,
"Hoang Sa (Paracel Islands), Vietnam",harmonics/utide/harmonics_utide_tidetables.txt,16.5500,111.6167,Vietnam,318.2,China,2.2,Paracel Islands,
"Kuwei Jiao, Vietnam",harmonics/noaa/harmonics_noaa_cptt.txt,20.2167,109.9333,Vietnam,234.3,China,2.5,Guangdong,
"Matsu, Taiwan",harmonics/utide/harmonics_utide_tidetables.txt,26.1617,119.9428,Taiwan,166.1,China,18.1,Fujian,
"Off Beihai, Vietnam",harmonics/noaa/harmonics_noaa_cptt.txt,21.4833,108.9833,Vietnam,102.1,China,6.5,Guangxi,
"Paracel Islands, Vietnam",harmonics/noaa/harmonics_noaa_cptt.txt,16.5500,111.6167,Vietnam,318.2,China,2.2,Paracel Islands,
"Sanniang Wan, Vietnam",harmonics/noaa/harmonics_noaa_cptt.txt,21.6333,108.7833,Vietnam,83.4,China,0.3,Guangxi,
"Clipperton, France",harmonics/utide/harmonics_utide_tidetables.txt,10.2882,-109.2040,France,,Clipperton Island,0.7,Clipperton Island,
"Guinchos Cay, Bahamas",harmonics/classic/harmonics-2004-06-14_mod.txt,22.7500,-78.1167,Bahamas,115.9,Cuba,33.3,Ciego de Ávila,
"Guinchos Cay, Bahamas",harmonics/noaa/harmonics_noaa_carib.txt,22.7500,-78.1167,Bahamas,115.9,Cuba,33.3,Ciego de Ávila,
