name,datei,lat,lon,land_im_namen,liegt_in,region,entscheidung,Kommentar,
"Puerto de Hierro, Trinidad and Tobago",harmonics_att_np202_secondary.txt,10.6333,-62.0833,Trinidad and Tobago,Venezuela,Sucre,ok,,
"Riohacha, Venezuela",harmonics_att_np202_secondary.txt,11.5500,-72.9167,Venezuela,Colombia,La Guajira,ok,,
"Cabo Gracias a Dios, Nicaragua",harmonics_att_np202_secondary.txt,15.0000,-83.1833,Nicaragua,Honduras,Gracias a Dios,ok,,
"Berbera (Gulf of Aden), Somalia",harmonics_att_np203.txt,10.4410,45.0030,Somalia,Somaliland,Somaliland,ok,,
"Marion Island, Antarctica",harmonics_att_np203_secondary.txt,-46.8830,37.8500,Antarctica,South Africa,Western Cape,ok,,
"Heard Island, Antarctica",harmonics_att_np203_secondary.txt,-53.0170,73.3830,Antarctica,Heard Island and McDonald Islands,Heard Island and McDonald Islands,Australia,,
"Laasqoray, Somalia",harmonics_att_np203_secondary.txt,11.1643,48.1943,Somalia,Somaliland,Somaliland,ok,,
"Xiis, Somalia",harmonics_att_np203_secondary.txt,10.8982,46.9173,Somalia,Somaliland,Somaliland,ok,,
"Zeila (Saylac), Somalia",harmonics_att_np203_secondary.txt,11.3587,43.4682,Somalia,Somaliland,Somaliland,ok,,
"Jazirat Tiran (Johnson Point), Saudi Arabia",harmonics_att_np203_secondary.txt,28.0008,34.4943,Saudi Arabia,Egypt,Janub Sina',Saudi Arabia,,
"New Amsterdam, Suriname",harmonics_att_np207.txt,6.2500,-57.5167,Suriname,Guyana,Mahaica-Berbice,ok,,
"Bellfield, Suriname",harmonics_att_np207.txt,6.7333,-57.9500,Suriname,Guyana,East Berbice-Corentyne,ok,,
"Saint-Louis, Senegal",harmonics_att_np208.txt,16.0260,-16.5100,Senegal,Mauritania,Trarza,Senegal,,
"Kaplica (Davlos), Cyprus",harmonics_att_np208.txt,35.4286,33.9095,Cyprus,Northern Cyprus,Northern Cyprus,ok,,
"Famagusta, Cyprus",harmonics_att_np208.txt,35.1234,33.9484,Cyprus,Northern Cyprus,Northern Cyprus,ok,,
"Vila Real de Santo António, Portugal",harmonics_att_np208_secondary.txt,37.1928,-7.4128,Portugal,Spain,Huelva,Portugal,,
"Buniada Point, Gambia",harmonics_att_np208_secondary.txt,13.5872,-16.5470,Gambia,Senegal,Fatick,Gambia,,
"Esuk Aye (Akpa Yafe River), Nigeria",harmonics_att_np208_secondary.txt,4.9823,8.6823,Nigeria,Cameroon,Sud-Ouest,Nigeria,,
"Berbera (Gulf of Aden), Somalia",harmonics-1997-05-25_mod.txt,10.4408,45.0028,Somalia,Somaliland,Somaliland,ok,,
"Saint-Louis, Senegal",harmonics-1997-05-25_mod.txt,16.0263,-16.5100,Senegal,Mauritania,Trarza,Senegal,,
"Vila Real de Santo António, Portugal",harmonics-1997-05-25_mod.txt,37.1928,-7.4128,Portugal,Spain,Huelva,Portugal,,
"Anewa Bay, Bougainville, Solomon Islands",harmonics-2004-06-14_mod.txt,-6.1838,155.5436,Solomon Islands,Papua New Guinea,North Solomons,ok,,
"Heard Island, Antarctica",harmonics-2004-06-14_mod.txt,-53.0167,73.3833,Antarctica,Heard Island and McDonald Islands,Heard Island and McDonald Islands,Australia,,
"Kieta Harbour, Bougainville, Solomon Islands",harmonics-2004-06-14_mod.txt,-6.2181,155.6376,Solomon Islands,Papua New Guinea,North Solomons,ok,,
"Soraken Harbour, Bougainville, Solomon Islands",harmonics-2004-06-14_mod.txt,-5.5721,154.7421,Solomon Islands,Papua New Guinea,North Solomons,ok,,
"St. Stephen, New Brunswick, Canada",harmonics-2004-06-14_mod.txt,45.1919,-67.2760,Canada,United States of America,Maine,Canada,,
"Taraku-jima (Polonskogo), Hokkaido, Japan",harmonics-2004-06-14_mod.txt,43.6332,146.3533,Japan,Russia,Sakhalin,ok,,
