urteil,abstand_km,kurve_prozent,station_a,land_a,datei_a,lat_a,lon_a,herkunft_a,quelle_a,datum_a,konfidenz_a,fingerprint_a,station_b,land_b,datei_b,lat_b,lon_b,herkunft_b,quelle_b,datum_b,konfidenz_b,fingerprint_b
pruefen: Land nicht angegeben,111.2,4,"Palmetto Bluff, St. Johns River, Florida (5)",(nicht angegeben),harmonics-2004-06-14_mod.txt,29.7633,-81.5617,source,,MLLW,10,f84fb486359ee2a9c3a9d9d9f98fd8d8,"Palmetto Bluff, St. Johns River, Florida (4)",(nicht angegeben),harmonics-2004-06-14_mod.txt,30.7633,-81.5617,source,,MLLW,10,3193506702b58d6f53636e9627c8da76
pruefen: Land nicht angegeben,54.4,9,"Jacksonville, Acosta Bridge, Florida (4)",(nicht angegeben),harmonics-2004-06-14_mod.txt,30.325,-81.665,source,,MLLW,10,9361febb22ff461e93ce271e107dfe14,"Jacksonville, Acosta Bridge, Florida (5)",(nicht angegeben),harmonics-2004-06-14_mod.txt,30.7967,-81.515,source,,MLLW,10,476107027383500ccf490bd386b0f0af
"pruefen: gleiches Land, gleiche Quelle",78.3,5,"Shark Bay, Western Australia, Australia",Australia,harmonics_utide_tidetables.txt,-25.2667,113.4667,source,Derived from BOM tide predictions (reverse-engineered) with UTide harmonic analysis,LAT,7,f22b7dc13e812431eba4deb5122e45d7,"Shark Bay (Inr Bn), Western Australia, Australia",Australia,harmonics_utide_tidetables.txt,-25.9667,113.3833,source,Derived from BOM tide predictions (reverse-engineered) with UTide harmonic analysis,LAT,7,63ded4081045cd54a848c6a6d60aefa8
"pruefen: gleiches Land, gleiche Quelle",73.7,6,"L'Île-d'Anticosti, Québec, Canada",Canada,harmonics-2004-06-14_mod.txt,49.951667,-64.15,manual,,LLWLT,10,b4bf25489aa6fb114828023fee1e28df,"L'Île-d'Anticosti, Québec, Canada",Canada,harmonics-2004-06-14_mod.txt,49.395,-63.59,manual,,LLWLT,10,48147eac3e68464eedb95c1c3e6e2b09
"pruefen: gleiches Land, gleiche Quelle",72.3,8,"Davis Strait, Nunavut (2), Canada",Canada,harmonics-2004-06-14_mod.txt,66.2667,-58.3833,manual,,LLWLT,10,b09aef25cfb2e5c1a3392c039c3a5073,"Davis Strait, Nunavut (3), Canada",Canada,harmonics-2004-06-14_mod.txt,66.2667,-56.7667,manual,,LLWLT,10,ce9617954216d4361452efe71f79110c
"pruefen: gleiches Land, zwei Ableitungen",193.9,4,"Isla Guadalupe, Baja California, Mexico",Mexico,harmonics_noaa_censam.txt,28.8833,-116.3,source,"NOAA CO-OPS Tide Predictions, Central and South America",MLLW (Z0 = mean level above MLLW),5,6ecb3fc957654f75ffd15051cc1b8fb0,"Isla Guadalupe, Baja California, Mexico",Mexico,harmonics_utide_observations.txt,28.882,-118.2912,manual,Derived from UHSLC data with UTide harmonic analysis,MSL,8,d80466b0bb7b55b516e61c159b39ceb3
"pruefen: gleiches Land, zwei Ableitungen",159.4,0,"Lance Cove, Newfoundland, Canada",Canada,harmonics-2004-06-14_mod.txt,47.0833,-52.0333,manual,,LLWLT,10,11f9176213f89432ecc8ad7a2d10fd4b,"Lance Cove, Newfoundland Canada",Canada,harmonics_utide_tidetables.txt,46.80064,-54.097654,source,Derived from CHS tide predictions (reverse-engineered) with UTide harmonic analysis,LLWLT,9,3e0b59ce14ed4fc10e60f4816a1772d1
"pruefen: gleiches Land, zwei Ableitungen",83.7,0,"Purfur Cove, Nunavut, Canada",Canada,harmonics-2004-06-14_mod.txt,69.0833,-84.2167,manual,,LLWLT,10,797cb61419899549cddd26670fcd9b5f,"Purfur Cove, Nunavut, Canada",Canada,harmonics_utide_tidetables.txt,69.836361,-84.254,source,Derived from CHS tide predictions (reverse-engineered) with UTide harmonic analysis,LLWLT,9,747d93aec8a82095375add8ff2580f4b
"pruefen: gleiches Land, zwei Ableitungen",52.1,1,"Sullivan Bay, British Columbia, Canada",Canada,harmonics-2004-06-14_mod.txt,50.8833,-126.0833,manual,,LLWLT,10,21cb16a6b3d21bceb2190416ec314538,"Sullivan Bay, British Columbia, Canada",Canada,harmonics_utide_tidetables.txt,50.886,-126.826,source,Derived from CHS tide predictions (reverse-engineered) with UTide harmonic analysis,LLWLT,9,f7bd379d3b6f73cba817930d63118a2e
"pruefen: gleiches Land, zwei Ableitungen",50.0,1,"Skerry Bay, British Columbia, Canada",Canada,harmonics-2004-06-14_mod.txt,49.05,-124.2333,manual,,LLWLT,10,a086afdf2993eebe6002aa50a620a7a8,"Skerry Bay, British Columbia, Canada",Canada,harmonics_utide_tidetables.txt,49.5,-124.237,source,Derived from CHS tide predictions (reverse-engineered) with UTide harmonic analysis,LLWLT,9,750e7b87acf8c4ef3120d21a924d14de
"pruefen: gleiches Land, zwei Ableitungen",37.9,6,"Night Island, Queensland, Australia",Australia,harmonics-2004-06-14_mod.txt,-13.1833,143.5667,manual,,LAT,10,d24ae19cc942c97d2c227d811f45dc64,"Night Island, Queensland, Australia",Australia,harmonics_utide_tidetables.txt,-13.183333,143.916667,source,Derived from BOM tide predictions (reverse-engineered) with UTide,LAT,7,fe958f7ae6f42a4f7884c606caa2b4b1
"pruefen: gleiches Land, zwei Ableitungen",34.0,5,"White Island, Western Australia, Australia",Australia,harmonics-2004-06-14_mod.txt,-15.0667,124.6667,manual,,LAT,10,a8fbb6b87eb2aa7cb17e7be77a3cf289,"White Island, Western Australia, Australia",Australia,harmonics_utide_tidetables.txt,-15.0667,124.35,source,Derived from BOM tide predictions (reverse-engineered) with UTide,LAT,7,267d2890b7213f1eb48dd3b422118a72
"pruefen: gleiches Land, zwei Ableitungen",33.8,0,"Victoria, Prince Edward Island, Canada",Canada,harmonics-2004-06-14_mod.txt,46.2167,-63.05,manual,,LLWLT,10,6a1cf09dc08c10d61a0aef0a9fb218c6,"Victoria, Prince Edward Island, Canada",Canada,harmonics_utide_tidetables.txt,46.2126,-63.4895,source,Derived from CHS tide predictions (reverse-engineered) with UTide harmonic analysis,LLWLT,9,37749ab57da601d1f2ab03d41330cdfc
"pruefen: gleiches Land, zwei Ableitungen",29.4,2,"Quaqtaq (terre), Québec, Canada",Canada,harmonics-2004-06-14_mod.txt,60.8667,-70.0667,manual,,LLWLT,10,3f1fe10484d9f3cdf6c7dea95675ef47,"Quaqtaq, Québec, Canada",Canada,harmonics_utide_tidetables.txt,61.047083,-69.669944,source,Derived from CHS tide predictions (reverse-engineered) with UTide harmonic analysis,LLWLT,9,45051def1a2da97958916df89c9fccdc
verschiedene Laender (Brazil / Portugal),6519.7,10,"Vila do Conde, Pará, Brazil",Brazil,harmonics_utide_tidetables.txt,-1.5383,-48.7533,source,Derived from Marinha do Brasil (DHN) tide tables with UTide,CD (Marinha),8,8afc7f6cba38797da4868aca658923ad,"Vila do Conde, Portugal",Portugal,harmonics_utide_tidetables.txt,41.34,-8.7483,source,Derived from IH Tabela de Marés 2026 concordance on Viana do Castelo,"as reference port (Z0 from reference, IH nível médio identical)",5,04a16a035d86b3d0b446aef4ce14f58f
verschiedene Laender (Ecuador / El Salvador),1980.6,9,"La Libertad, Ecuador",Ecuador,harmonics_ticon4_worldwide.txt,-2.2179,-80.906,manual,TICON-4 (GESLA-4 harmonic analysis),MLLW,7,9b867f00f5e024102c4b51b50e3dd41d,"La Libertad, El Salvador",El Salvador,harmonics_utide_observations.txt,13.4851,-89.319,source,Derived from IOC SLSMF data (code=lalb) with UTide harmonic analysis,Mean Sea Level,7,124f42f19586e2cd16f66459a6fd71f6
