no,name,bezug_druck,bezug,bezugssatz,art,alt_pct,neu_pct,beleg,entscheidung
cptt-1575,Lochuc San,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,12.2,"Wahrheit Dao Tran, Vietnam 1.1 km","nicht anlegen (Satz 1.1 km: Dao Tran, Vietnam)"
cptt-1577,"Cu Xu, Kao Tao",Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,10.1,"Wahrheit Dao Co To, Vietnam 1.9 km","nicht anlegen (Satz 1.9 km: Dao Co To, Vietnam)"
cptt-1579,Tsieng Mun,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",vorhanden,8.5,10.4,"Wahrheit Tsieng Mun, Vietnam 0.0 km",behalten (neu schlechter)
cptt-1581,"Cai Bau, Cai Bau Island",Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",vorhanden,6.4,10.0,"Wahrheit Dao Cai Bau, Vietnam 0.0 km",behalten (neu schlechter)
cptt-1583,Campha Port,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",vorhanden,6.4,8.1,Wahrheit Cam Pha (Bien Dong Viet  0.0 km; Cam Pha (Bien Dong Viet  0.0 km,behalten (neu schlechter)
cptt-1585,Norway Islands,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,9.8,"Nachbarn Pho Cat Ba, Vietnam 15.6 km; Passe des Hydres, Vietna 16.8 km","nicht anlegen (Satz 1.8 km: Dao Long Chau, Vietnam)"
cptt-1587,"Hon Gai, Halong Bay",Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",vorhanden,4.1,4.1,"Wahrheit Hong Gai (Ha Long), Viet 0.0 km; Hong Gai (Ha Long), Viet 0.0 km; Hong Gai (Ha Long), Viet 0.0 km",neu uebertragen
cptt-1589,"Cat Ba, Isle de la Cat Ba",Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,8.5,"Wahrheit Pho Cat Ba, Vietnam 0.5 km","nicht anlegen (Satz 0.5 km: Pho Cat Ba, Vietnam)"
cptt-1593,Cua Namtrieu,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",vorhanden,3.0,3.0,"Nachbarn Do Son, Vietnam 8.7 km; Do Son, Vietnam 12.8 km; Hon Dau, Vietnam 13.1 km",neu uebertragen
cptt-1595,"Haiphong, Cua Cam",Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,5.3,"Wahrheit Haiphong (Song Cam), Vie 0.5 km; Haiphong (Song Cam), Vie 0.5 km","nicht anlegen (Satz 0.5 km: Haiphong (Song Cam), Vietnam)"
cptt-1597,Bach Long Vi Island,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",vorhanden,6.0,8.6,"Wahrheit Ile Bach Long Vi, Vietna 0.0 km",behalten (neu schlechter)
cptt-1599,Balat River entrance,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Luecke,,7.4,"Nachbarn Cua Ba Lat, Vietnam 8.0 km",nicht anlegen (VHO-Reihe abwarten)
cptt-1601,Hon Ne,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,9.2,"Wahrheit Hon Ne, Vietnam 1.2 km","nicht anlegen (Satz 1.2 km: Hon Ne, Vietnam)"
cptt-1603,Hon Me,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,13.7,"Wahrheit Hon Me, Vietnam 2.9 km","nicht anlegen (Satz 2.9 km: Hon Me, Vietnam)"
cptt-1605,Hon Nieu,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,12.0,"Wahrheit Hon Ngu (Cua Lo), Vietna 0.4 km; Hon Ngu (Cua Lo), Vietna 0.4 km","nicht anlegen (Satz 4.0 km: Cua Hoi, Vietnam)"
cptt-1607,Hoi River entrance,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,10.5,"Wahrheit Cua Hoi, Vietnam 1.0 km; Cua Hoi, Vietnam 1.0 km","nicht anlegen (Satz 1.0 km: Cua Hoi, Vietnam)"
cptt-1609,Sot River entrance,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Luecke,,,Nachbarn ,nicht anlegen (VHO-Reihe abwarten)
cptt-1611,Vung Chua Bay,Paramushiru Island,Do Son,"Hon Dau, Vietnam [harmonics_utide_observations.txt]",Ort belegt,,14.9,"Wahrheit Vung Chua, Vietnam 1.0 km","nicht anlegen (Satz 1.0 km: Vung Chua, Vietnam)"
