band,no,name,ref,ref_druck,faktor,passt_zu,passt_km
cptt,763,Senzaki Ko,Hong Kong,,1.28,"Moji, Kyushu",54
cptt,1107,Yongsan-dong,Ch’ang Chiang Approach,,1.41,NAMP'O-HANG,438
cptt,1109,"Taehuksan-do, Taehuksan-kundo",Ch’ang Chiang Approach,,1.51,NAMP'O-HANG,449
cptt,1237,Yangtouwa [Yang-tou Wan],Dalian,,1.32,TANGGU (Xingang),297
cptt,1239,"Yingchengzi Wan [Eijoshi Wan, Yingchengtze]",Dalian,,1.36,TANGGU (Xingang),311
cptt,1241,"Hulutao [Hu-Li-T'ao, Pulantien Chiang]",Dalian,,1.38,TANGGU (Xingang),336
cptt,1243,Changshan Dao,Dalian,,1.3,"QINGDAO (DA GANG) [Chingtao, Kaochou Wan]",379
cptt,1245,"Boqi Dao [Pochi Tao, Pulantien Chiang]",Dalian,,1.27,"QINGDAO (DA GANG) [Chingtao, Kaochou Wan]",388
cptt,1247,Xizhong Dao,Dalian,,1.4,TANGGU (Xingang),306
cptt,1249,"Changxing Dao [Changhing Tao, Fuchou Bay]",Dalian,,1.38,TANGGU (Xingang),331
cptt,1259,Changshansi [Chang-shan-ssu Chiao],Dalian,,1.27,"QINGDAO (DA GANG) [Chingtao, Kaochou Wan]",479
cptt,1297,Huanghekou (east),Tanggu,,1.58,,
cptt,1299,Tianshuigoukou,Dalian,,1.3,TANGGU (Xingang),186
cptt,1301,Xiaoqinghekou,Dalian,,1.26,"QINGDAO (DA GANG) [Chingtao, Kaochou Wan]",179
cptt,1303,Weihekou,Dalian,,1.32,"QINGDAO (DA GANG) [Chingtao, Kaochou Wan]",142
cptt,1305,Huhekou,Dalian,,1.26,"QINGDAO (DA GANG) [Chingtao, Kaochou Wan]",145
cptt,1307,Longkou,Dalian,,1.27,"QINGDAO (DA GANG) [Chingtao, Kaochou Wan]",174
