name,lat,lon,naechster,km,kurve_cm,m2_min,m2_amp,konsens_kurve_cm,konsens_m2_min,konsens_m2_amp,grundrauschen_cm,n,urteil
"A Guarda, Spain",41.8994,-8.8771,"A Guarda, Spain [harmonics_utide_tidetables.txt]",0.0,13.2,-6,1.12,15.4,-3,1.17,8.6,2,passt
"Baiona, Spain",42.1204,-8.8448,"Baiona, Spain [harmonics_utide_tidetables.txt]",0.0,15.4,-16,1.09,15.4,-16,1.09,,1,passt
"Vigo, Spain",42.2432,-8.726,"Vigo, Spain [harmonics_puertos_spain.txt]",0.0,8.8,-6,1.07,8.8,-6,1.07,,1,passt
"Marín (Ría de Pontevedra), Spain",42.4061,-8.6911,"Marín (Ría de Pontevedra), Spain [harmonics_utide_tidetables.txt]",0.0,7.3,4,1.02,7.3,4,1.02,3.3,3,passt
"Vilagarcía de Arousa, Spain",42.6008,-8.77,"Vilagarcía de Arousa, Spain [harmonics_puertos_spain.txt]",0.0,10.3,-11,1.05,10.3,-11,1.05,,1,passt
"Santa Uxía de Ribeíra (Ría de Arousa), Spain",42.5633,-8.9883,"Santa Uxía de Ribeíra (Ría de Arousa), Spain [harmonics_utide_tidetables.txt]",0.0,16.2,-17,1.06,16.2,-17,1.06,,1,passt
"Cabo Corrubedo, Spain",42.5784,-9.0912,"Santa Uxía de Ribeíra (Ría de Arousa), Spain [harmonics_utide_tidetables.txt]",8.6,16.2,-17,1.06,16.2,-17,1.06,,1,passt
"Freixo, Spain",42.7937,-8.9439,"Portosín (Ría de Muros y Noia), Spain [harmonics_utide_tidetables.txt]",3.4,23.5,-24,1.15,23.5,-24,1.15,,1,weicht ab (nur ein Nachbar)
"Muros, Spain",42.7766,-9.0512,"Portosín (Ría de Muros y Noia), Spain [harmonics_utide_tidetables.txt]",8.5,12.9,-4,1.1,12.9,-4,1.1,,1,passt
"Corcubión, Spain",42.9453,-9.1909,"Fisterra, Spain [harmonics_utide_tidetables.txt]",6.9,12.6,5,1.04,12.6,5,1.04,,1,passt
"Camariñas, Spain",43.1267,-9.1817,"Camariñas, Spain [harmonics_utide_tidetables.txt]",0.0,19.6,-11,1.14,19.6,-11,1.14,,1,weicht ab (nur ein Nachbar)
"Corme, Spain",43.2637,-8.9644,"Ria de Corme e Laxe, Spain [harmonics_att_np208_secondary.txt]",4.5,20.3,-21,1.13,21.1,-22,1.11,11.0,2,passt
"La Coruña, Spain",43.3833,-8.3833,"A Coruña, Spain [harmonics_puertos_spain.txt]",2.9,13.4,-13,1.07,13.8,-13,1.07,1.3,7,passt
"Cedeira, Spain",43.6567,-8.0717,"Cedeira, Spain [harmonics_utide_tidetables.txt]",0.0,27.1,25,1.14,27.1,25,1.14,,1,weicht ab (nur ein Nachbar)
"Cariño, Spain",43.734,-7.8633,"Cariño, Spain [harmonics_utide_tidetables.txt]",0.3,16.8,6,1.12,25.4,-15,1.11,33.3,2,passt
"Foz, Spain",43.5664,-7.2545,"Foz, Spain [harmonics_utide_tidetables.txt]",0.0,15.0,8,1.08,14.0,8,1.08,5.9,2,passt
"Ribadeo, Spain",43.534,-7.0367,"Ribadeo, Spain [harmonics_utide_tidetables.txt]",0.0,16.8,7,1.1,15.3,8,1.1,10.9,2,passt
"Luarca, Spain",43.5491,-6.5333,,,,,,,,,,0,keine Nachbarn <=15 km
"Ría de Pravia, Spain",43.5667,-6.0833,"San Esteban de Pravia (Nalón), Spain [harmonics_att_np208_secondary.txt]",1.2,29.1,-30,1.15,14.4,-14,1.04,19.9,4,passt
"Avilés, Spain",43.5916,-5.9302,"Avilés, Spain [harmonics_ticon4_worldwide.txt]",0.0,17.1,-18,1.0,17.1,-18,1.0,10.9,3,passt
"Luanco, Spain",43.62,-5.7831,"Gijón (El Musel), Spain [harmonics_puertos_spain.txt]",9.7,12.7,-11,1.04,16.6,-17,1.0,8.4,3,passt
"Gijón (El Musel), Spain",43.5581,-5.6986,"Gijón (El Musel), Spain [harmonics_puertos_spain.txt]",0.0,11.4,-6,1.08,11.4,-6,1.08,,1,passt
"Ribadesella, Spain",43.4617,-5.06,"Ribadesella, Spain [harmonics_utide_tidetables.txt]",0.0,12.4,-2,1.08,12.4,-2,1.08,,1,passt
"Llanes, Spain",43.421,-4.7506,"Llanes, Spain [harmonics_utide_tidetables.txt]",0.0,8.5,4,1.03,8.5,4,1.03,,1,passt
"San Vicente de la Barquera, Spain",43.3892,-4.3932,"Ría de Tina Mayor, Spain [harmonics_att_np208_secondary.txt]",9.7,15.8,0,1.16,15.8,0,1.16,,1,passt
"Suances, Spain",43.4408,-4.0419,,,,,,,,,,0,keine Nachbarn <=15 km
"Santander, Spain",43.4613,-3.7908,"Santander, Spain [harmonics_puertos_spain.txt]",0.0,49.3,56,1.06,49.3,56,1.06,,1,weicht ab (nur ein Nachbar)
"Santoña, Spain",43.439,-3.455,,,,,,,,,,0,keine Nachbarn <=15 km
"Castro-Urdiales, Spain",43.3833,-3.2167,"Santurtzi (Bilbao), Spain [harmonics_puertos_spain.txt]",14.3,21.3,-23,1.02,21.3,-23,1.02,,1,weicht ab (nur ein Nachbar)
"Santurtzi (Bilbao), Spain",43.3517,-3.0452,"Santurtzi (Bilbao), Spain [harmonics_puertos_spain.txt]",0.0,25.1,-26,1.08,25.1,-26,1.08,,1,weicht ab (nur ein Nachbar)
"Portugalete (Abra Bilbao), Spain",43.3321,-3.0266,"Santurtzi (Bilbao), Spain [harmonics_puertos_spain.txt]",2.7,11.0,-1,1.08,11.0,-1,1.08,,1,passt
"Bermeo, Spain",43.4207,-2.7128,"Bermeo, Spain [harmonics_utide_tidetables.txt]",0.0,28.1,20,1.21,28.1,20,1.21,,1,weicht ab (nur ein Nachbar)
"Lekeitio, Spain",43.3667,-2.4989,,,,,,,,,,0,keine Nachbarn <=15 km
"Ondarroa, Spain",43.3246,-2.4205,,,,,,,,,,0,keine Nachbarn <=15 km
