datei,name,lat,lon,land,kurve_pct,hub_m,m2_min,m2_amp,k1_min,o1_min,klasse
harmonics_noaa_eutt.txt,"Fajã de Água (Brava), Cape Verde",14.8704,-24.7321,Cape Verde,24.7,1.33,-124,1.16,-102,-154,FES widerspricht (> 20 %)
harmonics_noaa_eutt.txt,"Mayumba, Gabon",-3.4237,10.6494,Gabon,5.1,1.87,17,1.11,-59,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Annobón, Equatorial Guinea",-1.4052,5.6404,Equatorial Guinea,2.5,1.87,-3,1.04,-50,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Grand-Lahou, Ivory Coast",5.1378,-4.9915,Ivory Coast,9.3,1.39,-18,1.44,19,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Harper (Cape Palmas), Liberia",4.3662,-7.7292,Liberia,6.6,1.32,35,1.05,-72,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Kerefe River, Liberia",7.0,-11.65,Liberia,7.6,1.63,33,1.11,-176,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Buoy Point, Sherbro River, Sierra Leone",7.7,-12.7,Sierra Leone,44.6,2.51,-189,1.21,-116,,FES widerspricht (> 20 %)
harmonics_noaa_eutt.txt,"York Island, Sherbro River, Sierra Leone",7.5333,-12.4833,Sierra Leone,42.1,2.4,-273,0.83,-77,,FES widerspricht (> 20 %)
harmonics_noaa_eutt.txt,"Mary Muss Bay, Jan Mayen",71.0,-8.4667,Jan Mayen,5.1,1.47,-4,1.08,332,-68,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Porchnikha Cove, Russia",69.0833,36.3,Russia,2.7,4.37,-3,1.08,41,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Rynda Bay, Russia",68.9167,36.8333,Russia,1.9,4.5,1,1.04,49,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Kharlovka River mouth, Russia",68.7833,37.3333,Russia,2.5,4.72,0,1.07,57,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Semiostrovski Road, SE. entrance, Russia",68.7333,37.5,Russia,2.6,4.82,-6,1.06,54,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Vostochnaya Litsa Bay, Russia",68.6333,37.8,Russia,3.1,4.92,0,1.1,64,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Drozdovka Bay, Russia",68.3333,38.4167,Russia,3.5,5.34,-12,1.08,64,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Savikha Bay, Russia",68.1833,39.1167,Russia,3.6,5.76,-12,1.08,77,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Gryemikha Bay, Russia",68.0667,39.5,Russia,2.9,5.97,-6,1.08,91,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Zyelyony Island, Russia",68.0333,39.6167,Russia,2.9,6.0,-8,1.07,89,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Gorodetskaya Bay, Russia",67.7167,40.95,Russia,6.7,6.93,-32,1.08,93,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Cape Orlov, Russia",67.2,41.3333,Russia,3.5,7.19,5,1.09,148,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Three Islands, Russia",67.1,41.3833,Russia,4.1,7.09,2,1.15,130,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Sosnovets Island, Russia",66.4833,40.6833,Russia,3.9,4.62,1,1.09,83,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Tetrino, Russia",66.0667,38.2833,Russia,8.9,1.56,18,1.29,-32,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Varzukha River entrance, Russia",66.2667,36.9667,Russia,3.5,1.85,9,0.91,-47,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Cape Turiya, Russia",66.55,34.5167,Russia,5.0,2.11,-17,1.09,-70,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Volostrov, Russia",66.6167,34.35,Russia,4.4,2.15,-14,1.07,-69,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Mal Piryu Bay, Russia",66.7,34.3333,Russia,4.8,2.15,-14,1.1,-69,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Tar Bay, Russia",66.7,33.9,Russia,5.3,2.18,-17,1.11,-72,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Porya Anchorage, Russia",66.7667,33.8,Russia,6.3,2.21,-24,1.1,-79,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Kandalaksha, Russia",67.1333,32.4167,Russia,18.4,2.3,-33,1.68,-34,,FES maessig (10-20 %)
harmonics_noaa_eutt.txt,"Kovda River entrance, Russia",66.7,32.8833,Russia,6.3,2.44,-18,1.13,-72,,FES passt (<= 10 %)
harmonics_noaa_eutt.txt,"Sredni Anchorage, Keret Bay, Russia",66.3,33.6,Russia,6.6,2.09,-26,1.12,-56,,FES passt (<= 10 %)
