no,name,gedruckt,gedruckt_km,vorschlag,vorschlag_km,seite
75,Kolychino Polar Station,Pusan,5059,Paramushiru Island,2529,391
81,"Alera Bay, Penkegnei Bay",Pusan,5040,Paramushiru Island,2440,391
83,"Plover Bay, Provideniya Bay",Pusan,5008,Paramushiru Island,2398,391
85,"Emma Bay, Provideniya Bay",Pusan,5017,Paramushiru Island,2407,391
87,"Cape Razdelny, Kresta Bay",Pusan,4810,Paramushiru Island,2285,391
89,"Engaugin Bay, Kresta Bay",Pusan,4785,Paramushiru Island,2263,391
91,Russkaya Koshka Spit,Pusan,4642,Paramushiru Island,2084,391
93,Salomatova Spit,Pusan,4621,Paramushiru Island,2069,391
95,Melkaya Bay,Pusan,4607,Paramushiru Island,2064,391
97,Anadyr River entrance,Pusan,4599,Paramushiru Island,2055,391
99,"Strelka Spit, Anadyr Gulf",Pusan,4623,Paramushiru Island,2062,391
101,Ugolnaya Bay,Pusan,4627,Paramushiru Island,2017,391
135,Cape Astronomicheski },Musi River,8723,Paramushiru Island,1459,392
137,Matugin Point },Musi River,8494,Paramushiru Island,1310,392
139,Gizhiga River entrance },Musi River,8517,Paramushiru Island,1342,392
141,Nayakhanskaya Bay },Musi River,8451,Paramushiru Island,1319,392
143,Udacha Bay },Musi River,8109,Paramushiru Island,1005,392
151,Ayan Bay,Brisbane Bar,9427,Otomari,1137,392
153,Udskaya Bay,Brisbane Bar,9284,Otomari,1039,392
155,"Levyazhya Bay, Feklistov Island",Brisbane Bar,9280,Otomari,1011,392
157,"Abrek Bay, Little Shantar Island",Brisbane Bar,9213,Otomari,937,392
159,Baldukov Island },Jolo,5570,Otomari,748,392
161,Cape Tamlevo },Jolo,5584,Otomari,751,392
163,Baikal Bay },Jolo,5617,Otomari,769,392
165,Kuegda Bay },Jolo,5705,Otomari,855,392
223,Yatsu Misaki,Pusan,1823,Otomari,173,392
225,Ushiro Wan,Pusan,1878,Otomari,259,392
227,Toro Numa,Pusan,1905,Otomari,287,392
229,Lesogorsk,Pusan,1932,Otomari,317,392
231,Mys Polevogo,Pusan,1961,Otomari,352,392
233,Anbetsu,Pusan,1980,Otomari,376,392
235,Pilevo Bay,Pusan,1984,Otomari,381,393
237,Alexandrovski,Pusan,2060,Otomari,477,393
239,Viyakhtu Bay,Pusan,2112,Otomari,555,393
241,Cape Tik,Pusan,2117,Otomari,573,393
243,"Cape Pogobi, Strait of Tartary",Pusan,2161,Otomari,627,393
245,Amur River entrance },Jolo,5520,Otomari,702,393
247,"Nikolayevsk, Amur River }",Jolo,5533,Otomari,737,393
249,Uyuzyut Island },Jolo,5514,Otomari,697,393
251,Cape Dzhaore },Jolo,5502,Otomari,680,393
253,Cape Lazareva,Pusan,2157,Otomari,630,393
255,Cape Muraveva,Pusan,2151,Otomari,620,393
257,Cape Chikacheva,Pusan,2103,Otomari,584,393
259,Cape Sushcheva,Pusan,2093,Otomari,576,393
261,Taba Bay,Pusan,2076,Otomari,571,393
263,Zaliv Chikhacheva,Pusan,2059,Otomari,554,393
265,Starka Bay,Pusan,1926,Otomari,422,393
267,Datta Bay,Pusan,1842,Otomari,343,393
269,Vanina Bay,Pusan,1820,Otomari,331,393
271,Sovetskaya Harbor,Pusan,1810,Otomari,320,393
273,Vetryechnui Point,Pusan,1708,Otomari,284,393
429,Soya Misaki,Kamaisi,694,Otomari,138,394
577,"Shimotsu Ura, Osaki Wan",Yokohama,438,Sakate,84,395
579,Wakanoura Wan,Yokohama,431,Sakate,85,395
581,Tachibana Ura,Yokohama,490,Sakate,72,395
583,Komatsushima Ko,Yokohama,488,Sakate,55,395
609,"Fukura Ura, Awaji",Yokohama,471,Sakate,42,396
763,Senzaki Ko,Hong Kong,2163,Pusan,234,397
765,Hagi Ko,Hong Kong,2182,Pusan,251,397
767,Esaki Ko,Hong Kong,2212,Sakate,245,397
769,Hamada Ko (Tono Ura entrance) <12>,Hong Kong,2261,Sakate,212,397
771,Sagi Ura,Hong Kong,2340,Sakate,186,397
773,Kaka Ura,Hong Kong,2376,Sakate,171,397
775,"Sakai Ko, Miho Wan",Hong Kong,2388,Sakate,157,397
777,Yonago Nakami,Hong Kong,2387,Sakate,142,397
