datei,name,buch_bezug,benutzt,richtig,zonendifferenz_h,nachbar_km,nachbar,kurve_alt_pct,kurve_neu_pct,versatz_alt_h,versatz_neu_h,ergebnis
harmonics/noaa/harmonics_noaa_amtt.txt,"Banco Chico, Buenos Aires, Argentina",Buenos Aires,"Pinamar, Buenos Aires, Argentina","Buenos Aires (Muelle de Pescadores), Buenos Aires, Argentina",0.0,0.0,"Río de la Plata - Banco Chico, Buenos Aires, Argentina",38.9,5.4,-12.00,-0.02,neu
harmonics/noaa/harmonics_noaa_amtt.txt,"Banco Cuirassier, Buenos Aires, Argentina",Buenos Aires,"Pinamar, Buenos Aires, Argentina","Buenos Aires (Muelle de Pescadores), Buenos Aires, Argentina",0.0,0.0,"Canal Punta Indio (Oyarvide - Km 133), Buenos Aires, Argentina",38.9,13.1,+11.63,-0.67,neu
harmonics/noaa/harmonics_noaa_amtt.txt,"Punta Norte del Cabo San Antonio, Buenos Aires, Argentina",Buenos Aires,"Pinamar, Buenos Aires, Argentina","Buenos Aires (Muelle de Pescadores), Buenos Aires, Argentina",0.0,1.0,"Cabo San Antonio, Buenos Aires, Argentina",41.3,23.6,+11.83,-0.12,neu
harmonics/noaa/harmonics_noaa_amtt.txt,"Punta Piedras, Buenos Aires, Argentina",Buenos Aires,"Pinamar, Buenos Aires, Argentina","Buenos Aires (Muelle de Pescadores), Buenos Aires, Argentina",0.0,0.0,"Río de la Plata - Punta Piedras, Buenos Aires, Argentina",36.6,8.6,-12.00,-0.02,neu
harmonics/noaa/harmonics_noaa_amtt.txt,"Lighthouse Point #, Louisiana",Galveston,"Clear Lake, Galveston Bay, Texas","Galveston (Galveston Channel), Texas",0.0,,,,,,,Gruppe nicht belegt
harmonics/noaa/harmonics_noaa_amtt.txt,"Point Chevreuil #, Louisiana",Galveston,"Clear Lake, Galveston Bay, Texas","Galveston (Galveston Channel), Texas",0.0,,,,,,,Gruppe nicht belegt
harmonics/noaa/harmonics_noaa_amtt.txt,"Rabbit Island, 5 miles south of #, Louisiana",Galveston,"Clear Lake, Galveston Bay, Texas","Galveston (Galveston Channel), Texas",0.0,,,,,,,Gruppe nicht belegt
harmonics/noaa/harmonics_noaa_amtt.txt,"South Point, Marsh Island #, Louisiana",Galveston,"Clear Lake, Galveston Bay, Texas","Galveston (Galveston Channel), Texas",0.0,,,,,,,Gruppe nicht belegt
harmonics/noaa/harmonics_noaa_amtt.txt,"Southwest Pass, Vermilion Bay #, Louisiana",Galveston,"Clear Lake, Galveston Bay, Texas","Galveston (Galveston Channel), Texas",0.0,14.1,"Bayou Fearman, Vermillion Bay, Louisiana",30.4,34.2,+2.35,-3.10,Gruppe nicht belegt
harmonics/noaa/harmonics_noaa_cptt.txt,"Aberdeen Harbor, Hong Kong",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,8.0,"Hong Kong (Quarry Bay), China",19.9,14.1,+1.42,+0.98,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"An-p'ing Kang, Taiwan",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,1.3,"Anping, Taiwan",15.6,11.8,+0.93,+0.53,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Buleleng, Bali, Indonesia",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,0.0,"Buleleng, Indonesia",13.9,12.0,+0.67,+0.27,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Bushahr, Persian Gulf, Iran",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",4.5,8.4,"Bushehr, Iran",23.3,18.0,+1.52,+1.08,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Ch'e-ch'eng Po-ti, Taiwan",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,9.1,"Xunguangzui, Taiwan",14.4,11.8,+0.27,-0.17,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Esaki Ko, Yamaguchi, Japan",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",-1.0,1.0,"Esaki, Yamaguchi, Japan",16.8,14.4,+0.47,+0.02,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Gading, Madura Island, Java, Indonesia",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",1.0,0.0,"Gading, Indonesia",10.2,12.9,-0.22,+0.33,"alt bleibt, misst besser"
harmonics/noaa/harmonics_noaa_cptt.txt,"Hamada Ko (Tono Ura entrance), Shimane, Japan",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",-1.0,2.2,"Hamada, Shimane, Japan",16.3,16.2,-0.10,-0.53,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Jazireh-ye Forur, Iran",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",4.5,0.0,"Jazireh-ye Forur, Iran",18.8,18.4,+0.75,+0.35,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Jones Cove, Hong Kong",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,3.0,"Ko Lau Wan, Hong Kong, China",6.6,8.3,+0.18,-0.25,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Kalianget, Madura Island, Java, Indonesia",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",1.0,1.8,"Kalianget, Indonesia",8.6,9.9,-0.27,+0.30,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Kao-hsiung, Taiwan",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,2.2,"Kaohsiung, Taiwan",15.6,11.0,+0.68,+0.25,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Kapshui Mun, Hong Kong",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,2.7,"Ma Wan, Hong Kong, China",7.3,6.7,+0.35,-0.08,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Macao Harbor, Guangdong, China",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,1.8,"Macau, Guangdong, China",10.8,9.0,+0.57,+0.13,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Parsons Bay, Tasmania, Australia",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",-2.0,0.0,"Parsons Bay, Tasmania, Australia",12.3,10.5,+0.43,+0.00,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Pasuruan, Java, Indonesia",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",1.0,0.0,"Pasuruan, Indonesia",10.5,12.8,-0.25,+0.30,"alt bleibt, misst besser"
harmonics/noaa/harmonics_noaa_cptt.txt,"Peng Chau, Hong Kong",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,11.7,"Dayawan, Guangdong, China",13.4,8.7,+0.87,+0.45,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Port Shelter, Hong Kong",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,11.6,"Ko Lau Wan, Hong Kong, China",5.6,8.8,+0.05,-0.38,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Senzaki Ko, Yamaguchi, Japan",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",-1.0,0.4,"Odomari (Senzaki), Yamaguchi, Japan",18.5,19.7,+0.12,-0.32,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Surabaja Strait, east entrance, Java, Indonesia",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",1.0,0.0,"Karang Kleta, Indonesia",10.0,12.6,-0.23,+0.32,"alt bleibt, misst besser"
harmonics/noaa/harmonics_noaa_cptt.txt,"Ta-pan-lieh Mao-ti, Taiwan",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,2.4,"Houbihu, Taiwan",10.5,9.6,+0.22,-0.22,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Taitam Bay, Hong Kong",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,6.7,"Hong Kong (Quarry Bay), China",18.9,13.2,+1.33,+0.90,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Tide Cove, Hong Kong",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,5.0,"Tai Po Kau, Hong Kong, China",6.3,7.3,+0.25,-0.18,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Ting-t'ou-o-shan, Taiwan",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,5.1,"Kuo-sheng Kang, Taiwan",16.6,16.1,+0.80,+0.38,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Tung-kang Po-ti, Taiwan",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,0.5,"Donggang, Taiwan",10.5,8.4,+0.27,-0.17,neu
harmonics/noaa/harmonics_noaa_cptt.txt,"Wai-ling-ting, Hong Kong",Hong Kong,"Tai O, Hong Kong, China","Quarry Bay, Hong Kong, China",0.0,0.0,"Wailingding Dao, Guangdong, China",8.7,7.1,+0.42,-0.02,neu
