satz,no,gedruckt,gedruckt_km,vorschlag,vorschlag_km,dtHW,dtLW,urteil
"Cua Namtrieu, Vietnam",1593,Paramushiru Island,5359,Do Son,8,0,44,reparierbar
"Ghizri Creek (Karachi), Pakistan",3587,Colombo,2402,Karachi,14,-2,,reparierbar
"Jhari Creek, Pakistan",3579,Colombo,2386,Karachi,36,,,reparierbar
"Hon Gai, Halong Bay, Vietnam",1587,Paramushiru Island,5328,Do Son,39,21,-9,reparierbar
"Oeban Point, Bintan Island, Indonesia",1765,Kamaisi,5711,Singapore,65,-331,-333,reparierbar
"Campha Port, Vietnam",1583,Paramushiru Island,5301,Do Son,70,6,-104,reparierbar
"Cai Bau, Cai Bau Island, Vietnam",1581,Paramushiru Island,5285,Do Son,87,18,-92,reparierbar
"Tsieng Mun, Vietnam",1579,Paramushiru Island,5275,Do Son,98,-100,-59,reparierbar
"Bach Long Vi Island, Vietnam",1597,Paramushiru Island,5354,Do Son,117,-23,-131,reparierbar
"Bushahr, Persian Gulf, Iran",3621,Hong Kong,6291,Shatt Al Arab,208,-44,-37,reparierbar
"Ras Al Mishab, Saudi Arabia",3663,Yamato Wan,8714,Shatt Al Arab,214,520,478,reparierbar
"Jazirat Das, United Arab Emirates",3717,Surabaja Strait,7401,Mina Salman,259,-668,-664,reparierbar
"Ushiro Wan, Russia",225,Pusan,1878,Otomari,259,-655,-646,reparierbar
"Quelimane, Mozambique",3871,Dar Es Salaam,1270,Beira,297,-30,-14,reparierbar
"Christmas Island, Indonesia",3947,Dar Es Salaam,7302,Djakarta,494,108,106,keine nahe Referenz in der Tafel
"Khalij-e Jask, Iran",3607,Colombo,3134,Mina Salman,718,-80,-80,keine nahe Referenz in der Tafel
"Pulau Lakei, Borneo, Indonesia",2049,Darwin,2747,Barito River,737,-112,-113,keine nahe Referenz in der Tafel
"Hobyo, Somalia",3827,Pohnpei Harbor,12093,Aden,915,-683,-685,keine nahe Referenz in der Tafel
"Wasian River entrance, Berau Gulf, New Guinea, Indonesia",3141,Bombay,7036,Malakal Harbor,1067,-320,-317,keine nahe Referenz in der Tafel
"Raoul or Sunday Island, New Zealand",2873,Apia,1830,Auckland,1083,-62,-90,keine nahe Referenz in der Tafel
"Toamasina (Tamatave), Madagascar",3913,Colombo,4350,Beira,1546,-13,-9,keine nahe Referenz in der Tafel
"Le Port (Pointe des Galets), Réunion",3931,Yokohama,10853,Beira,2134,-169,-160,keine nahe Referenz in der Tafel
"Port Louis, Mauritius",3933,Yokohama,10617,Beira,2365,-238,-229,keine nahe Referenz in der Tafel
"Rahiroa (Rangiroa) Island, French Polynesia",2827,Pago Pago,2470,Pago Pago,2470,-177,-174,keine nahe Referenz in der Tafel
"Port Maturin, Rodrigues, Mauritius",3937,Apia,12921,Dar Es Salaam,2972,-391,-420,keine nahe Referenz in der Tafel
"Taio Hae Bay, Nuku Hiva Island, French Polynesia",2819,Pago Pago,3382,Pago Pago,3382,-211,-208,keine nahe Referenz in der Tafel
"Mangareva Island, Gambier Islands",2823,Pago Pago,3878,Pago Pago,3878,-290,-287,keine nahe Referenz in der Tafel
"Betsy Cove, French Southern Territories",3953,Durban,3920,Durban,3920,-186,-175,keine nahe Referenz in der Tafel
"Baie du Morbihan, French Southern Territories",3955,Durban,3928,Durban,3928,-278,-276,keine nahe Referenz in der Tafel
"Puerto Soberania, Antarctica",3997,Yokohama,16726,Durban,7126,792,799,keine nahe Referenz in der Tafel
