satz,referenz,ref_km,k,dt_min,nachbar,nachbar_datei,nachbar_km,abweichung,erwartet,verhaeltnis,nachbarn,einig_proz,gegen_proz,urteil
"Rahiroa (Rangiroa) Island, French Polynesia","Pago Pago, American Samoa",2470,0.22,-176,"Rangiroa, Tuamoto Atoll, French Polyneisa",harmonics_ticon4_worldwide.txt,2.97,55.8,10.2,55.9,2,1.0,55.9,"Nachbarn einig, dieser Satz weicht ab"
"Hobyo, Somalia","Pohnpei Harbor, Caroline Islands, Micronesia",12093,0.51,-684,"Hobyo, Somalia",harmonics_att_np203.txt,0.0,63.0,7.1,48.4,2,1.3,63.2,"Nachbarn einig, dieser Satz weicht ab"
"Taio Hae Bay, Nuku Hiva Island, French Polynesia","Pago Pago, American Samoa",3382,0.41,-210,"Taiohae, French Polynesia",harmonics_utide_tidetables.txt,1.85,41.3,10.5,41.2,2,0.4,41.2,"Nachbarn einig, dieser Satz weicht ab"
"Mangareva Island, Gambier Islands","Pago Pago, American Samoa",3878,0.23,-288,"Rikitea, Mangareva, Gambier Islands",harmonics_ticon4_worldwide.txt,1.74,39.8,10.5,39.7,2,0.5,39.7,"Nachbarn einig, dieser Satz weicht ab"
"Pulau Lakei, Borneo, Indonesia","Darwin, Northern Territory, Australia",2747,0.67,-112,"Pulau Lakei, Malaysia",harmonics_att_np203_scs.txt,0.0,30.7,7.1,30.9,4,0.9,30.9,"Nachbarn einig, dieser Satz weicht ab"
"Marcus Island, Tokyo, Japan","Pohnpei Harbor, Caroline Islands, Micronesia",1978,0.21,-19,"Minamitorishima, Tokyo, Japan",harmonics_ticon4_worldwide.txt,1.16,26.5,10.5,26.5,2,0.3,26.5,kein klarer Widerspruch
"Port Maturin, Rodrigues, Mauritius","Apia, Samoa Islands",12921,1.54,-406,"Port Maturin, Rodrigues, Mauritius",harmonics_att_np203_secondary.txt,0.0,54.8,7.1,23.3,2,2.3,54.8,"Nachbarn einig, dieser Satz weicht ab"
"Christmas Island, Indonesia","Dar Es Salaam, Tanzania",7302,0.36,107,"Christmas Island, Australia",harmonics_att_np203_scs.txt,1.86,48.6,10.5,19.5,3,2.4,47.6,"Nachbarn einig, dieser Satz weicht ab"
"Raoul or Sunday Island, New Zealand","Apia, Samoa Islands",1830,1.21,-76,"Fishing Rock, New Zealand",harmonics_utide_tidetables.txt,4.47,59.7,10.2,16.7,4,3.6,60.5,"Nachbarn einig, dieser Satz weicht ab"
"Port Louis, Mauritius","Yokohama (Shinko), Kanagawa, Japan",10617,0.37,-234,"Port Louis, Mauritius",harmonics_ticon4_worldwide.txt,0.02,64.8,7.1,15.4,2,4.2,65.0,"Nachbarn einig, dieser Satz weicht ab"
"Ghizri Creek (Karachi), Pakistan","Colombo, Sri Lanka",2403,0.52,-2,"Ghizri Creek (Karachi), Pakistan",harmonics_att_np203_secondary.txt,0.0,65.9,7.1,15.2,8,4.3,65.3,"Nachbarn einig, dieser Satz weicht ab"
"Cone Island, Vietnam","Manila, Philippines",1977,1.01,-636,"Kaoh Mul, Cambodia",harmonics_att_np203_scs.txt,1.85,18.0,10.5,15.2,2,1.2,18.2,kein klarer Widerspruch
"Wasian River entrance, Berau Gulf, New Guinea, Indonesia","Mumbai (Colaba), Maharashtra, India",7036,1.2,-318,"Sungai Wasian, Indonesia",harmonics_att_np203_scs.txt,0.0,59.6,7.1,13.8,3,4.3,59.6,"Nachbarn einig, dieser Satz weicht ab"
"Toamasina (Tamatave), Madagascar","Colombo, Sri Lanka",4351,1.12,-11,"Toamasina (Tamatave), Madagascar",harmonics-1997-05-25_mod.txt,0.01,47.7,7.1,11.9,3,4.0,47.7,"Nachbarn einig, dieser Satz weicht ab"
"Ras Al Mishab, Saudi Arabia","Ostrov Mamya, Kuril Islands, Russia",8714,1.42,499,"Ras Al Mishab, Saudi Arabia",harmonics_att_np203_secondary.txt,0.0,62.0,7.1,11.4,4,5.5,62.2,"Nachbarn einig, dieser Satz weicht ab"
"Khalij-e Jask, Iran","Colombo, Sri Lanka",3133,4.05,-80,"Khalij-e Jask, Iran",harmonics_att_np203_secondary.txt,0.0,32.6,7.1,11.0,3,2.9,31.7,"Nachbarn einig, dieser Satz weicht ab"
"Padang, Sumatra, Indonesia","Sungai Kutei, Indonesia",1907,0.58,23,"Teluk Bayur (Emma Haven), Indonesia",harmonics_att_np203_scs.txt,4.14,18.7,10.2,11.0,2,1.7,18.2,kein klarer Widerspruch
"Toliara, Madagascar","Dar Es Salaam, Tanzania",1899,0.8,48,"Toliara, Madagascar",harmonics_att_np203_secondary.txt,0.0,12.4,7.1,10.1,4,1.2,12.6,kein klarer Widerspruch
"Le Port (Pointe des Galets), Réunion","Yokohama (Shinko), Kanagawa, Japan",10854,0.4,-164,"Le Port (Pointe des Galets), Réunion",harmonics_att_np203_secondary.txt,0.0,68.3,7.1,9.3,2,7.2,66.5,"Nachbarn einig, dieser Satz weicht ab"
"Puerto Soberania, Antarctica","Yokohama (Shinko), Kanagawa, Japan",16726,1.27,796,"Discovery Bay, Antarctica",harmonics_att_np207.txt,0.0,41.7,7.1,8.8,5,4.9,43.1,"Nachbarn einig, dieser Satz weicht ab"
"Jazirat Das, United Arab Emirates","Surabaya, Java, Indonesia",7400,0.85,-666,"Jazirat Das, United Arab Emirates",harmonics_att_np203_secondary.txt,0.01,48.7,7.1,8.6,3,5.7,48.6,"Nachbarn einig, dieser Satz weicht ab"
"Benoa, Bali, Indonesia","Belawan, Indonesia",2301,1.29,-216,"Benoa, Indonesia",harmonics_att_np203_scs.txt,0.0,25.1,7.1,8.0,4,3.4,26.8,kein klarer Widerspruch
"Mogadishu, Somalia","Dar Es Salaam, Tanzania",1193,0.63,-9,"Mogadishu, Somalia",harmonics_att_np203.txt,0.0,10.8,7.1,7.7,2,1.4,10.5,kein klarer Widerspruch
"Canton Island, Kiribati","Pago Pago, American Samoa",1281,0.32,-21,"Kanton, Kiribati",harmonics_ticon4_worldwide.txt,2.81,13.3,10.2,7.7,2,1.7,13.2,kein klarer Widerspruch
"Jhari Creek, Pakistan","Colombo, Sri Lanka",2386,0.75,0,"Jhari Creek, Pakistan",harmonics_att_np203_secondary.txt,0.0,58.7,7.1,7.4,7,8.4,62.3,"Nachbarn einig, dieser Satz weicht ab"
"Bandar Abbas, Iran","Colombo, Sri Lanka",3354,5.02,-40,"Bandar Abbas, Iran",harmonics_att_np203_secondary.txt,0.01,24.6,7.1,6.9,5,3.6,24.6,kein klarer Widerspruch
"Campha Port, Vietnam","Ostrov Paramushir, Kuril Islands, Russia",5301,1.61,-49,"Cam Pha, Vietnam",harmonics_att_np203_scs.txt,0.0,36.3,7.1,6.8,3,5.3,36.4,"Nachbarn einig, dieser Satz weicht ab"
"Trengganu, Indonesia","Sungai Barito, Borneo, Indonesia",1603,0.86,156,"Terengganu, Malaysia",harmonics_att_np203_scs.txt,0.0,17.8,7.1,6.8,5,2.6,17.7,kein klarer Widerspruch
"Qui Nhon, Vietnam","Manila, Philippines",1270,1.13,-41,"Qui Nhon, Vietnam",harmonics_att_np203_scs.txt,0.0,13.9,7.1,6.8,4,1.9,12.8,kein klarer Widerspruch
"Merauke, Irian Jaya, Indonesia","Sembawang, Singapore",4204,1.42,103,"Merauke, Indonesia",harmonics_att_np203_scs.txt,0.0,19.1,7.1,6.7,3,2.8,18.7,kein klarer Widerspruch
"Da Nang, Vietnam","Manila, Philippines",1378,0.72,-34,"Da Nang, Vietnam",harmonics-1997-05-25_mod.txt,0.0,19.3,7.1,6.5,3,3.0,19.5,kein klarer Widerspruch
"Quelimane, Mozambique","Dar Es Salaam, Tanzania",1257,1.19,-22,"Quelimane, Mozambique",harmonics_att_np203.txt,0.0,35.2,7.1,6.4,3,5.5,35.2,"Nachbarn einig, dieser Satz weicht ab"
"Bach Long Vi Island, Vietnam","Ostrov Paramushir, Kuril Islands, Russia",5354,1.49,-77,"Ile Bach Long Vi, Vietnam",harmonics_att_np203_scs.txt,0.0,35.8,7.1,6.3,2,5.5,35.2,"Nachbarn einig, dieser Satz weicht ab"
"Esaki Ko, Yamaguchi, Japan","Tai O, Hong Kong, China",2212,0.26,130,"Esaki, Yamaguchi, Japan",harmonics_ticon4_worldwide.txt,1.03,25.3,10.5,6.3,2,3.8,24.1,kein klarer Widerspruch
"Oeban Point, Bintan Island, Indonesia","Kamaisi, Iwate, Japan",5711,1.99,-332,"Tanjunguban, Indonesia",harmonics_att_np203_scs.txt,0.0,33.2,7.1,6.1,2,5.4,32.8,"Nachbarn einig, dieser Satz weicht ab"
"Hon Gai, Halong Bay, Vietnam","Ostrov Paramushir, Kuril Islands, Russia",5328,1.86,6,"Hon Gay, Vietnam",harmonics_att_np203_scs.txt,0.0,34.5,7.1,5.7,4,6.1,35.2,"Nachbarn einig, dieser Satz weicht ab"
"Ushiro Wan, Russia","Busan New Port, South Korea",1878,0.49,-650,"Ushiro Wan, Russia",harmonics_att_np204_secondary.txt,3.9,44.1,10.2,5.3,2,7.7,41.2,"Nachbarn einig, dieser Satz weicht ab"
"Kota Kinabalu, Malaysia","Manila, Philippines",1096,1.29,18,"Kota Kinabalu, Malaysia",harmonics_att_np203_scs.txt,0.0,6.9,7.1,5.3,2,1.4,7.3,kein klarer Widerspruch
"Betsy Cove, French Southern Territories","Durban, South Africa",3920,0.83,-180,"Anse Betsy, French Southern Territories",harmonics_att_np203_secondary.txt,1.24,59.8,10.5,4.7,5,16.3,75.9,"Nachbarn einig, dieser Satz weicht ab"
"Ternate, Halmahera Island, Indonesia","Sungai Kutei, Indonesia",1111,0.49,13,"Ternate, Indonesia",harmonics_att_np203_scs.txt,0.0,23.4,7.1,4.7,3,5.0,23.4,kein klarer Widerspruch
"Bushahr, Persian Gulf, Iran","Tai O, Hong Kong, China",6291,0.79,-40,"Bushehr, Iran",harmonics_att_np203.txt,8.44,40.3,10.6,4.5,3,8.9,40.0,"Nachbarn einig, dieser Satz weicht ab"
"Baie du Morbihan, French Southern Territories","Durban, South Africa",3928,0.99,-277,"Port-aux-Francais, French Southern Territories",harmonics_att_np203_secondary.txt,0.02,54.7,7.1,4.4,7,12.3,54.7,"Nachbarn einig, dieser Satz weicht ab"
"Cai Bau, Cai Bau Island, Vietnam","Ostrov Paramushir, Kuril Islands, Russia",5285,1.64,-37,"Ke Bao, Vietnam",harmonics_att_np203_scs.txt,2.53,39.1,10.2,4.4,4,8.7,38.1,"Nachbarn einig, dieser Satz weicht ab"
"Hagi Ko, Yamaguchi, Japan","Tai O, Hong Kong, China",2182,0.38,92,"Hagi, Yamaguchi, Japan",harmonics-2004-06-14_mod.txt,0.48,22.7,7.1,4.4,3,5.2,22.8,kein klarer Widerspruch
"Massawa (Mitsiwa), Eritrea","Suez (As Suways), Egypt",1742,0.66,160,"Massawa (Mitsiwa), Eritrea",harmonics_att_np203_secondary.txt,0.0,26.7,7.1,4.3,2,6.2,26.4,kein klarer Widerspruch
"Cam Ranh Bay, Vietnam","Manila, Philippines",1308,1.2,-66,"Cam Ranh, Vietnam",harmonics_att_np203_scs.txt,0.0,19.2,7.1,3.9,3,4.9,19.2,kein klarer Widerspruch
"Learmonth, Exmouth Gulf, Western Australia, Australia","Davao, Philippines",3489,1.29,318,"Learmonth, Western Australia, Australia",harmonics-2004-06-14_mod.txt,0.0,10.4,7.1,3.9,2,2.7,10.5,kein klarer Widerspruch
"Harmil Island, Eritrea","Suez (As Suways), Egypt",1683,0.25,141,"Harmil Island, Eritrea",harmonics_att_np203_secondary.txt,0.0,24.5,7.1,3.7,2,6.4,23.9,kein klarer Widerspruch
"Balai Point, Gelam Strait, Sumatra, Indonesia","Davao, Philippines",2553,1.53,-452,"Tanjungbalai, Indonesia",harmonics_att_np203_scs.txt,0.0,23.8,7.1,3.7,4,6.9,25.4,kein klarer Widerspruch
"Angoche (António Enes), Mozambique","Dar Es Salaam, Tanzania",1049,1.15,-11,"Angoche (António Enes), Mozambique",harmonics_att_np203.txt,0.0,24.1,7.1,3.7,3,6.5,24.1,kein klarer Widerspruch
"Preservation Inlet, Southland, New Zealand","Auckland, New Zealand",1226,0.8,304,"Coal Island - Fishing Bay, New Zealand",harmonics_utide_tidetables.txt,4.62,15.9,10.2,3.3,8,5.2,17.1,kein klarer Widerspruch
