no,name,ref,gedruckt,quelle,tafel,km,rms,max,r,bestand_rms,bestand_satz
1683,"Sattahip, Chon Buri, Thailand",Bangkok Bar,ja,RTN,Ao Sattahip,3.7,0.2888,0.755,0.9023,0.0308,"Sattahip, Chon Buri, Thailand"
1683,"Sattahip, Chon Buri, Thailand",Chuuk,,RTN,Ao Sattahip,3.7,0.426,1.012,0.7873,0.0308,"Sattahip, Chon Buri, Thailand"
1683,"Sattahip, Chon Buri, Thailand",Do Son,,RTN,Ao Sattahip,3.7,0.964,2.323,0.1188,0.0308,"Sattahip, Chon Buri, Thailand"
1683,"Sattahip, Chon Buri, Thailand",Manila,,RTN,Ao Sattahip,3.7,1.219,2.888,-0.6794,0.0308,"Sattahip, Chon Buri, Thailand"
1687,"Entrance, Samut Prakan, Thailand",Bangkok Bar,ja,RTN,Phra Chunlachomklao Fort,2.3,0.3932,1.105,0.8879,0.0397,"Phra Chunlachomklao Fort, Samut Prakan, Thailand"
1687,"Entrance, Samut Prakan, Thailand",Chuuk,,RTN,Phra Chunlachomklao Fort,2.3,0.7338,1.629,0.615,0.0397,"Phra Chunlachomklao Fort, Samut Prakan, Thailand"
1687,"Entrance, Samut Prakan, Thailand",Manila,,RTN,Phra Chunlachomklao Fort,2.3,1.5834,3.458,-0.7214,0.0397,"Phra Chunlachomklao Fort, Samut Prakan, Thailand"
1689,"Bangkok, Bangkok, Thailand",Bangkok Bar,ja,RTN,Royal Thai Navy Headquarters,1.5,0.4179,1.283,0.9058,0.0484,"Royal Thai Navy Headquarters, Bangkok, Thailand"
1689,"Bangkok, Bangkok, Thailand",Chuuk,,RTN,Royal Thai Navy Headquarters,1.5,0.7007,1.745,0.6213,0.0484,"Royal Thai Navy Headquarters, Bangkok, Thailand"
1689,"Bangkok, Bangkok, Thailand",Singapore,,RTN,Royal Thai Navy Headquarters,1.5,1.1065,2.783,-0.3101,0.0484,"Royal Thai Navy Headquarters, Bangkok, Thailand"
1691,"Ko Lak, Prachuap Khiri Khan, Thailand",Bangkok Bar,,RTN,Ko Lak,0.5,0.3828,0.947,0.7143,0.0377,"Ko Lak, Prachuap Khiri Khan, Thailand"
1691,"Ko Lak, Prachuap Khiri Khan, Thailand",Chuuk,ja,RTN,Ko Lak,0.5,0.39,0.991,0.7044,0.0377,"Ko Lak, Prachuap Khiri Khan, Thailand"
1691,"Ko Lak, Prachuap Khiri Khan, Thailand",Singapore,,RTN,Ko Lak,0.5,0.7495,1.83,-0.2808,0.0377,"Ko Lak, Prachuap Khiri Khan, Thailand"
1693,"Chumphon, Chumphon, Thailand",Chuuk,ja,RTN,Ko Mattaphon,0.4,0.251,0.631,0.8676,0.029,"Ko Mattaphon, Chumphon, Thailand"
1693,"Chumphon, Chumphon, Thailand",Bangkok Bar,,RTN,Ko Mattaphon,0.4,0.3537,0.91,0.7041,0.029,"Ko Mattaphon, Chumphon, Thailand"
1693,"Chumphon, Chumphon, Thailand",Singapore,,RTN,Ko Mattaphon,0.4,0.6317,1.564,-0.1356,0.029,"Ko Mattaphon, Chumphon, Thailand"
1693,"Chumphon, Chumphon, Thailand",Barito River,,RTN,Ko Mattaphon,0.4,0.7873,1.844,-0.5308,0.029,"Ko Mattaphon, Chumphon, Thailand"
1695,"Ko Prap, Surat Thani, Thailand",Bangkok Bar,,RTN,Ko Prap,0.2,0.5489,1.305,0.4793,0.0338,"Ko Prap, Surat Thani, Thailand"
1695,"Ko Prap, Surat Thani, Thailand",Chuuk,ja,RTN,Ko Prap,0.2,0.6164,1.59,0.3502,0.0338,"Ko Prap, Surat Thani, Thailand"
1695,"Ko Prap, Surat Thani, Thailand",Barito River,,RTN,Ko Prap,0.2,0.722,1.521,0.1473,0.0338,"Ko Prap, Surat Thani, Thailand"
1695,"Ko Prap, Surat Thani, Thailand",Singapore,,RTN,Ko Prap,0.2,0.9118,2.512,-0.6427,0.0338,"Ko Prap, Surat Thani, Thailand"
1699,"Songkhla, Songkhla, Thailand",Singapore,ja,RTN,Songkhla,2.2,0.1876,0.527,0.3469,0.0292,"Songkhla, Thailand"
1699,"Songkhla, Songkhla, Thailand",Barito River,,RTN,Songkhla,2.2,0.2803,0.81,0.1151,0.0292,"Songkhla, Thailand"
1699,"Songkhla, Songkhla, Thailand",Chuuk,,RTN,Songkhla,2.2,0.3065,0.765,0.1085,0.0292,"Songkhla, Thailand"
1719,"Puket Harbor, Phuket, Thailand",Belawan Channel,ja,RTN,Ko Taphao Noi,3.0,0.2357,0.538,0.9378,0.0371,"Ko Taphao Noi (Phuket), Phuket, Thailand"
1719,"Puket Harbor, Phuket, Thailand",Singapore,,RTN,Ko Taphao Noi,3.0,0.96,2.337,-0.0326,0.0371,"Ko Taphao Noi (Phuket), Phuket, Thailand"
1719,"Puket Harbor, Phuket, Thailand",Davao,,RTN,Ko Taphao Noi,3.0,0.9801,2.345,-0.1762,0.0371,"Ko Taphao Noi (Phuket), Phuket, Thailand"
1721,"Ao Kaulak, Phang Nga, Thailand",Belawan Channel,ja,RTN,Ao Thap Lamu,4.1,0.2236,0.597,0.9285,0.0317,"Ao Thap Lamu, Phang Nga, Thailand"
1721,"Ao Kaulak, Phang Nga, Thailand",Singapore,,RTN,Ao Thap Lamu,4.1,0.8624,2.108,-0.0228,0.0317,"Ao Thap Lamu, Phang Nga, Thailand"
1721,"Ao Kaulak, Phang Nga, Thailand",Davao,,RTN,Ao Thap Lamu,4.1,0.8852,2.001,-0.185,0.0317,"Ao Thap Lamu, Phang Nga, Thailand"
2727,"Majuro Atoll, Marshall Islands",Kwajalein Atoll,ja,BOM,MAJURO – MARSHALL ISLANDS,1.9,0.0864,0.197,,0.0068,"Majuro, Marshall Islands"
2727,"Majuro Atoll, Marshall Islands",Honolulu,,BOM,MAJURO – MARSHALL ISLANDS,1.9,0.4456,0.998,,0.0068,"Majuro, Marshall Islands"
2901,"Christmas Island, Kiribati",Davao,,BOM,KIRITIMATI – KIRIBATI,1.8,0.0655,0.161,,0.0075,"Kiritimati (Christmas Island), Kiribati"
2901,"Christmas Island, Kiribati",Suva,,BOM,KIRITIMATI – KIRIBATI,1.8,0.0796,0.2,,0.0075,"Kiritimati (Christmas Island), Kiribati"
2901,"Christmas Island, Kiribati",Pago Pago,,BOM,KIRITIMATI – KIRIBATI,1.8,0.088,0.219,,0.0075,"Kiritimati (Christmas Island), Kiribati"
2901,"Christmas Island, Kiribati",Honolulu,ja,BOM,KIRITIMATI – KIRIBATI,1.8,0.1789,0.438,,0.0075,"Kiritimati (Christmas Island), Kiribati"
3179,"Flinders Islands, Queensland, Australia",Townsville,ja,BOM,STANLEY ISLAND – QUEENSLAND,1.9,0.1803,0.377,,0.01,"Stanley Island, Queensland, Australia"
3189,"Green Island, Queensland, Australia",Townsville,ja,BOM,GREEN ISLAND – QUEENSLAND,1.9,0.1618,0.305,,0.0432,"Green Island, Queensland, Australia"
3203,"Hook Island, Queensland, Australia",Brisbane Bar,ja,BOM,HOOK ISLAND – QUEENSLAND,1.7,0.1793,0.449,,0.0652,"Hook Island, Queensland, Australia"
3203,"Hook Island, Queensland, Australia",Townsville,,BOM,HOOK ISLAND – QUEENSLAND,1.7,0.1796,0.478,,0.0652,"Hook Island, Queensland, Australia"
3237,"Burnett Heads, Queensland, Australia",Brisbane Bar,ja,BOM,BUNDABERG (BURNETT HEADS) – QUEENSLAND,1.7,0.1881,0.377,,0.0101,"Bundaberg (Burnett Heads), Queensland, Australia"
3293,"Mussel Rock, Westernport, Victoria, Australia",Port Phillip,ja,BOM,COWES JETTY – VICTORIA,0.0,0.3452,0.882,,0.0352,"Cowes Jetty, Victoria, Australia"
3375,"Cockatoo Island, Western Australia, Australia",Port Hedland,ja,BOM,COCKATOO ISLAND – WESTERN AUSTRALIA,2.6,0.363,0.893,,0.043,"Cockatoo Island, Western Australia, Australia"
3385,"Geranium Hbr., Napier Broome Bay, Western Australia, Australia",Port Adelaide,ja,BOM,CARRONADE ISLAND – WESTERN AUSTRALIA,4.0,0.2565,0.547,,0.0223,"Carronade Island, Western Australia, Australia"
3385,"Geranium Hbr., Napier Broome Bay, Western Australia, Australia",Port Hedland,,BOM,CARRONADE ISLAND – WESTERN AUSTRALIA,4.0,0.3027,0.713,,0.0223,"Carronade Island, Western Australia, Australia"
3385,"Geranium Hbr., Napier Broome Bay, Western Australia, Australia",Apia,,BOM,CARRONADE ISLAND – WESTERN AUSTRALIA,4.0,0.337,0.805,,0.0223,"Carronade Island, Western Australia, Australia"
3385,"Geranium Hbr., Napier Broome Bay, Western Australia, Australia",Darwin,,BOM,CARRONADE ISLAND – WESTERN AUSTRALIA,4.0,0.3764,0.923,,0.0223,"Carronade Island, Western Australia, Australia"
