# ATT NP202, Ausgabe 2015 -- TABLE V PART 2
# "Highest Astronomical Tidal Levels (HAT) in metres at Secondary Ports"
# Buchseiten xli-xlvii, xlix und li (PDF-Seiten 5-11, 15, 17 von np202_iv_vi.pdf).
#
# ABDECKUNG: transkribiert sind nur die neun Seiten, auf denen Stationen
# unseres Bestands liegen. Die uebrigen sechs Seiten des Scans (Buchnummern
# 2664-2904, 3039-3371, 3470-3718) enthalten keine unserer Stationen und sind
# hier nicht erfasst. Der Scan selbst hat ausserdem eine Luecke zwischen 1694
# und 2307 (Iberien, Mittelmeer, Westafrika, Suedamerika); dort haben wir
# ebenfalls nichts.
#
# "-" = im Buch ein Kreis (No data).
#
# Am 04.08.2026 Spalte fuer Spalte vom Scan gelesen. WICHTIG: die Zuordnung zu
# unserem Bestand muss ueber den NAMEN erfolgen, nicht ueber die Nummer --
# unsere Nummerierung weicht an 17 Stellen vom Buch ab (siehe
# py/hat_test_np202.py, Abschnitt VERSATZ).
#
# Bekannte Eigenheiten des Buches:
# - 1008 Zaliv Pukhovyy steht ausser der Reihe zwischen 1090 und 1091.
# - 1378 ist zweimal vergeben: Wismar und Travemuende. Hier als 1378 und 1378b.
# - Die ganze Ostsee (1317-1379) traegt Kreise, dort gibt ATT kein HAT an.
#
# nr	name	hat
780	Hvannasund	1.8
782	Klaksvik	1.2
783	Eide	2.0
784	Nordskali	2.6
785	Oyndarfjordur	2.3
786	Fuglafjordur	2.3
786a	Leirvik	1.4
787	Gotuvik (Nordragota)	1.5
792a	Kirkebo	1.3
793	Vestmanna	2.6
795	Sorvagur	2.3
796	Midvagur	2.3
798	Skopun	2.4
799	Sandur	1.7
800	Trongisvagur	1.8
801	Vagur	1.0
810	Heimaey	3.2
812	Stokkseyri	3.4
813	Eyrarbakki	3.4
813a	Thorlakshofn	3.5
814	Grindavik	3.8
815	Sandgerdhi	4.3
817	Keflavik	4.5
818	Hafnarfjordhur	4.6
820	Grundartangi	4.7
821	Hvammsvik	4.7
822	Akranes	4.6
823	Borgarnes	4.7
825	Rif	4.5
825a	Olafsvik	4.5
826	Grundarfjordhur	4.7
827	Stykkisholmur	5.1
828	Flatey (Breidafjordhur)	4.9
828a	Reykanes	5.1
828b	Brjanslaekur	5.2
829	Vatneyri	3.8
830	Sveinseyri	3.8
831	Bildudalur	3.5
832	Thingeyri	3.4
833	Flateyri	2.8
834	Sudhureyri	2.9
835	Bolungavik	2.6
835a	Isafjordhur	2.6
836	Alftafjordhur	2.6
837	Arngerdharseyri	-
838	Veidileysufjordhur	-
839	Latravik	-
840	Reykjarfjordhur	1.5
841	Holmavik	1.8
842	Hrutafjordhur	1.9
842a	Hvammstangi	1.8
843	Skagastrond	1.8
844	Saudarkrokur	1.6
845	Hofsos	-
846	Haganesvik	-
847	Siglufjordhur	1.5
848	Olafsfjordhur	1.6
849	Akureyri	1.7
849a	Hrisey	1.6
849b	Grimsey	1.6
850	Flatey (Skjalfanda)	1.7
851	Husavik	1.6
851a	Kopasker	1.4
852	Raufarhofn	1.7
853	Thorshofn	1.6
854	Bakkafjordhur	-
855	Vopnafjordhur	1.8
855a	Bakkagerdhi	1.9
856	Nes Farm	2.3
858	Vestdalseyri	2.1
859	Dalatangi	-
860	Brekka	-
861	Nordfjordhur (Nes)	1.8
862	Hellisfjordhur	-
864	Eskifjordhur	2.3
865	Budareyri	2.0
866	Faskrudsfjordhur	2.2
866a	Stodvarfjordhur	2.3
867	Breidhdalsvik	2.1
867a	Djupivogur	2.4
868	Papey	-
870	Hvanney	2.4
870a	Hofn	1.5
871	Kalfafellstadir	-
872	Ingolfshofdi	-
875	Vik	-
880	Maria Muschbukhta	1.3
884	Kvalrossbukta	1.6
885	Austervag	1.4
886	Hopen	1.3
888	Murchisonfjorden	1.3
889	Brennevinsfjorden	1.1
891	Sorgfjorden	1.1
892	Mosselbukta	1.3
894	Holmiabukta	-
895	Danskegat	1.3
896	Magdalenefjorden	1.3
898	Kongsfjorden	1.6
898a	Ny-Alesund	1.8
900	Skansbukta	-
901	Longyearbyen	2.0
902	Gronfjorden	1.8
903	Sveagruva	2.0
904	Recherchefjorden	2.8
905	Isbjornhamna (Hornsund)	1.7
906	Kvalvagen	1.3
910	Mys Flora	0.6
911	Bukhta Tikhaya	0.4
912	Bukhta Teplits	0.6
920	Domashni Island	0.5
930	Kotyelny Island	0.7
950	Cape Serdtse Kamen	0.6
951	Pitlekaj	0.4
958	Ayon Island	0.1
959	Kolyma River Entrance	-
966	Tiksi Bay	0.6
971	Komsomolskoy Pravda Island	0.9
972	Cape Chelyuskin	0.9
973	Hansen Island	0.7
975	Rade De Zarya	0.8
985	Bukhta Dikson	0.7
986	Mys Sopochnaya Karga	1.3
987	Ostrov Nasonovskiy	0.8
989	Reka Sabule-Yaga	1.5
990	Mys Kharse	1.2
992	Mys Kamennyy	1.2
995	Mys Ragozina	1.0
998	Mys Marre-Salya	0.9
1000	Zaliv Litke	0.6
1001	Mys Byk	0.7
1002	Mys Zhelaniya	0.7
1003	Zaliv Russkaya Gavan	0.7
1004	Foki Bight	0.7
1005	Guba Krestovaya	0.9
1006	Guba Mityushikha	1.1
1007	Mys Seryebryany	0.8
1009	Guba Belushya	0.6
1010	Guba Nekhvatova	0.4
1011	Guba Kamyenka	0.8
1012	Guba Dolgaya	0.6
1013	Bukhta Varneka	0.9
1014	Ostrov Sokoliy	0.9
1015	Khabarovo	0.7
1017	Ostrov Dolgiy	1.1
1021	Ostrov Varandyey	1.1
1023	Mys Russki Zavorot	1.1
1024	Reka Pechora	1.0
1025	Bugrino	1.9
1026	Reka Indiga	2.1
1026a	Mys Mikulkin	3.6
1027	Ostrov Korga	2.8
1028	Mys Kanin Nos	3.5
1031	Reka Kiya Mouth	4.7
1032	Banka Litke	6.8
1033	Mys Konushin	8.1
1034	Semzha	8.3
1035	Kamenka	2.6
1036	Ostrov Morzhovets	6.6
1037	Mys Voronov	7.7
1038	Reka Megra	3.8
1039	Mys Insty	2.2
1040	Zimnyaya Zolotitsa	0.6
1041	Mys Kerets	2.3
1042	Berezovyy Bar	1.6
1043	Mys Yuzhnyy	1.3
1044	Lapominka	1.4
1046	Severodvinsk	1.4
1048	Unskaya Guba	1.4
1049	Lopshen'ga	1.3
1050	Ostrov Zhizhginskiy	1.6
1051	Mys Letniy Orlov	1.6
1052	Guba Pushlakhta	1.4
1053	Mys Chesmenskiy	1.4
1054	Mys Glubokiy	2.6
1055	Ostrov Kiy	3.4
1056	Onega	3.1
1057	Ostrov Paskanets	3.6
1058	Ostrov Mal Korepalka	2.9
1059	Ostrov Berezhnoy Borshovets	2.0
1060	Ostrov Sumostrov	2.1
1061	Ostrov Molchanov	1.9
1062	Ostrov Konev	1.7
1064	Ostrov Anzerskiy	1.6
1065	Solovetskiy	1.1
1066	Ostrov Yuzhnyy Rombak	2.1
1069	Mys Pon'goma Navolok	2.0
1070	Mys Solomenny	2.0
1071	Kalgalaksha	1.8
1072	Gridina	1.9
1073	Ostrov Sryedniy Guba Keret	2.2
1074	Reka Kovda	2.5
1075	Kandalaksha	3.4
1076	Guba Porya	2.0
1077	Guba Malaya Pirya	1.8
1079	Reka Varzuga	1.8
1080	Tetrino	2.1
1082	Ostrov Sosnovets	4.5
1083	Ostrov Veshnyak	6.6
1084	Mys Orlov-Terskiy Tonkiy	6.7
1085	Mys Bol'shoy Gorodetskiy	7.5
1087	Guba Gremikha	6.5
1088	Guba Savikha	6.2
1089	Reka Drozdovka	5.1
1090	Guba Vostochnaya Litsa	5.5
1008	Zaliv Pukhovyy	1.0
1091	Reka Kharlovka	4.4
1092	Guba Rynda	4.6
1093	Guba Porchnikha	4.8
1094	Guba Podpakhta	4.6
1095	Guba Teriberskaya	4.5
1096	Proliv Malyy Oleniy	3.9
1097	Guba Mogil'naya	4.6
1098	Guba Zelenetskaya Zapadnaya	4.2
1100	Guba Sayda	4.2
1102	Mys Velikiy	4.2
1103	Mys Bazisnyy	4.2
1105	Murmansk	3.7
