# NP203 Ausgabe 2002, Part III (Harmonic Constants) -- Suedchinesisches Meer
# und Indonesien, also der Bereich, den die Ausgabe 2015 nicht mehr enthaelt.
# Von den Scanseiten in tide_tables/att/np203_2002_vollband.pdf abgelesen
# (PDF-Seite = Buchseite - 164). Zahlen visuell gelesen, die OCR ist hier
# unbrauchbar (nur 101 von 849 Zeilen parsebar).
#
# Spalten (Tab-getrennt):
#   att  name  zone  z0  gM2 HM2  gS2 HS2  gK1 HK1  gO1 HO1  f4 F4  f6 F6
# z0 in Metern ueber Kartennull; "w" = Table VI (Wert aus Part II holen).
# Leere Flachwasserspalten stehen als "-".
# Zeilen mit "v" (grosse jahreszeitliche Schwankung) stehen mit dem Mittel
# aus der Monatstabelle derselben Buchseite drin; das ist jeweils vermerkt.
#
# STAND: vollstaendig. Buchseiten 322-338, 791 Stationen,
# att 4495-5542 sowie 6851-7050 (Thailand/Vietnam/China haben im Band einen
# eigenen Nummernblock). Positionen dazu in np203_2002_part2_scs_pos.tsv.
#
# PRUEFSTAND: einmal gelesen, Format maschinell geprueft (Phasen 000-359,
# Amplituden < 4 m, keine Dubletten). Die OCR taugt als Gegenprobe nicht (sie
# trifft im Schnitt nur 4 von 9 Zahlen je Zeile). Stattdessen gegen die
# unabhaengigen Sammlungen geprueft: 421 Stationen liegen naeher als 3 km an
# einer Station aus classic/ticon/utide/noaa; nach Umrechnung auf den
# GMT-Meridian betraegt die mittlere Abweichung 0.03 m in der M2-Amplitude
# und 4.6 Grad in der Phase. Bei classic, classic_original und TICON (71
# Paare) weicht keine einzige Phase um mehr als 60 Grad ab.
#
# att	name	zone	z0	gM2	HM2	gS2	HS2	gK1	HK1	gO1	HO1	f4	F4	f6	F6
# ===== Buchseite 322 -- INDIA EAST COAST; BANGLADESH; BURMA =====
4495	Jefford Point	-0600	1.87	285	0.80	333	0.35	004	0.11	324	0.06	319	0.015	035	0.032
4501	Tiger Point	-0600	1.79	302	0.82	344	0.37	354	0.15	338	0.06	267	0.048	-	-
4502	Dhulasar	-0600	1.71	317	0.73	358	0.35	009	0.13	355	0.04	227	0.095	-	-
4503	Rabnabad Channel (Patua)	-0600	2.07	336	0.75	027	0.29	025	0.16	010	0.05	250	0.135	106	0.051
4510	Norman's Point	-0600	2.32	359	1.36	030	0.54	351	0.18	354	0.06	240	0.045	-	-
4511	Khal No. 18	-0600	2.67	015	1.63	055	0.53	012	0.18	002	0.09	249	0.026	059	0.007
4514	Kutubdia Island	-0600	2.04	337	1.16	006	0.48	349	0.18	347	0.07	241	0.017	026	0.014
4515	Cox's Bazar	-0600	2.00	303	1.06	340	0.46	351	0.17	008	0.06	216	0.059	-	-
4517	St. Martin's Island	-0600	1.83	256	0.90	290	0.42	331	0.15	323	0.08	180	0.068	-	-
4520	Sittwe	-0630	1.57	281	0.78	317	0.34	348	0.14	334	0.06	-	-	-	-
4525	Kyaukpyu	-0630	1.92	275	0.94	318	0.43	343	0.17	319	0.07	-	-	-	-
4526	Searle Point	-0630	1.92	273	0.85	310	0.40	340	0.16	315	0.06	-	-	-	-
4529	Sagu Kyun	-0630	1.76	268	0.79	305	0.37	340	0.16	310	0.06	-	-	-	-
4532	Andrew Bay	-0630	1.60	263	0.75	299	0.35	340	0.15	306	0.05	-	-	-	-
4534	Gwa Bay	-0630	1.55	266	0.69	304	0.32	330	0.14	338	0.05	180	0.193	-	-
4536	Chaungtha Kyun	-0630	1.49	265	0.68	304	0.32	335	0.13	326	0.05	-	-	-	-
4537	Goyangyi Kyun	-0630	1.28	263	0.67	302	0.29	342	0.09	280	0.02	186	0.154	-	-
4539	Bassein River Entrance	-0630	1.43	281	0.67	321	0.30	343	0.13	321	0.05	150	0.016	-	-
4540	Chaunggwa	-0630	1.37	301	0.63	337	0.24	349	0.13	342	0.05	-	-	-	-
4541	Bassein	-0630	w	051	0.67	099	0.22	050	0.11	034	0.05	233	0.162	-	-
4542	Pyinsalu	-0630	1.70	305	0.81	356	0.33	346	0.13	354	0.05	-	-	-	-
4543	Ama	-0630	1.90	327	0.81	023	0.40	349	0.17	346	0.06	-	-	-	-
4544	Pymbong Beacon	-0630	1.33	335	0.60	032	0.33	348	0.14	339	0.08	-	-	-	-
4545	Tinmahlwe	-0630	1.60	051	0.62	071	0.38	002	0.17	032	0.07	213	0.213	060	0.102
4545a	Thandeik	-0630	1.70	067	0.81	105	0.36	000	0.06	056	0.08	204	0.047	036	0.075
4546	China Bakir (Old Light)	-0630	2.30	085	1.50	130	0.67	028	0.17	355	0.10	251	0.026	-	-
