quelle,fingerprint,station,datei,lat,lon,vorschlag_lat,vorschlag_lon,abstand_m,streuung_m,herkunft,hinweis,beleg
kanal_b,8afc7f6cba38797da4868aca658923ad,"Vila do Conde, Pará, Brazil",harmonics/utide/harmonics_utide_tidetables.txt,-1.5383,-48.7533,41.3400,-8.7483,6519660,,source,,"gleicher Name und Kurve (10 %) wie Vila do Conde, Portugal [harmonics_utide_tidetables.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,04a16a035d86b3d0b446aef4ce14f58f,"Vila do Conde, Portugal",harmonics/utide/harmonics_utide_tidetables.txt,41.34,-8.7483,-1.5383,-48.7533,6519660,,source,,"gleicher Name und Kurve (10 %) wie Vila do Conde, Pará, Brazil [harmonics_utide_tidetables.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,9b867f00f5e024102c4b51b50e3dd41d,"La Libertad, Ecuador",harmonics/ticon/harmonics_ticon4_worldwide.txt,-2.2179,-80.906,13.4851,-89.3190,1980571,,manual,,"gleicher Name und Kurve (9 %) wie La Libertad, El Salvador [harmonics_utide_observations.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,124f42f19586e2cd16f66459a6fd71f6,"La Libertad, El Salvador",harmonics/utide/harmonics_utide_observations.txt,13.4851,-89.319,-2.2179,-80.9060,1980571,,source,,"gleicher Name und Kurve (9 %) wie La Libertad, Ecuador [harmonics_ticon4_worldwide.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,6ecb3fc957654f75ffd15051cc1b8fb0,"Isla Guadalupe, Baja California, Mexico",harmonics/noaa/harmonics_noaa_censam.txt,28.8833,-116.3,28.8820,-118.2912,193869,,source,,"gleicher Name und Kurve (4 %) wie Isla Guadalupe, Baja California, Mexico [harmonics_utide_observations.txt]"
kanal_b,d80466b0bb7b55b516e61c159b39ceb3,"Isla Guadalupe, Baja California, Mexico",harmonics/utide/harmonics_utide_observations.txt,28.882,-118.2912,28.8833,-116.3000,193869,,manual,,"gleicher Name und Kurve (4 %) wie Isla Guadalupe, Baja California, Mexico [harmonics_noaa_censam.txt]"
kanal_b,11f9176213f89432ecc8ad7a2d10fd4b,"Lance Cove, Newfoundland, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,47.0833,-52.0333,46.8006,-54.0977,159434,,manual,,"gleicher Name und Kurve (0 %) wie Lance Cove, Newfoundland Canada [harmonics_utide_tidetables.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,3e0b59ce14ed4fc10e60f4816a1772d1,"Lance Cove, Newfoundland Canada",harmonics/utide/harmonics_utide_tidetables.txt,46.80064,-54.097654,47.0833,-52.0333,159434,,source,,"gleicher Name und Kurve (0 %) wie Lance Cove, Newfoundland, Canada [harmonics-2004-06-14_mod.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,f84fb486359ee2a9c3a9d9d9f98fd8d8,"Palmetto Bluff, St. Johns River, Florida (5)",harmonics/classic/harmonics-2004-06-14_mod.txt,29.7633,-81.5617,30.7633,-81.5617,111195,,source,,"gleicher Name und Kurve (4 %) wie Palmetto Bluff, St. Johns River, Florida (4) [harmonics-2004-06-14_mod.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,3193506702b58d6f53636e9627c8da76,"Palmetto Bluff, St. Johns River, Florida (4)",harmonics/classic/harmonics-2004-06-14_mod.txt,30.7633,-81.5617,29.7633,-81.5617,111195,,source,,"gleicher Name und Kurve (4 %) wie Palmetto Bluff, St. Johns River, Florida (5) [harmonics-2004-06-14_mod.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,797cb61419899549cddd26670fcd9b5f,"Purfur Cove, Nunavut, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,69.0833,-84.2167,69.8364,-84.2540,83750,,manual,,"gleicher Name und Kurve (0 %) wie Purfur Cove, Nunavut, Canada [harmonics_utide_tidetables.txt]"
kanal_b,747d93aec8a82095375add8ff2580f4b,"Purfur Cove, Nunavut, Canada",harmonics/utide/harmonics_utide_tidetables.txt,69.836361,-84.254,69.0833,-84.2167,83750,,source,,"gleicher Name und Kurve (0 %) wie Purfur Cove, Nunavut, Canada [harmonics-2004-06-14_mod.txt]"
kanal_b,f22b7dc13e812431eba4deb5122e45d7,"Shark Bay, Western Australia, Australia",harmonics/utide/harmonics_utide_tidetables.txt,-25.2667,113.4667,-25.9667,113.3833,78287,,source,,"gleicher Name und Kurve (5 %) wie Shark Bay (Inr Bn), Western Australia, Australia [harmonics_utide_tidetables.txt]"
kanal_b,63ded4081045cd54a848c6a6d60aefa8,"Shark Bay (Inr Bn), Western Australia, Australia",harmonics/utide/harmonics_utide_tidetables.txt,-25.9667,113.3833,-25.2667,113.4667,78287,,source,,"gleicher Name und Kurve (5 %) wie Shark Bay, Western Australia, Australia [harmonics_utide_tidetables.txt]"
kanal_b,b4bf25489aa6fb114828023fee1e28df,"L'Île-d'Anticosti, Québec, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,49.951667,-64.15,49.3950,-63.5900,73734,,manual,,"gleicher Name und Kurve (6 %) wie L'Île-d'Anticosti, Québec, Canada [harmonics-2004-06-14_mod.txt]"
kanal_b,48147eac3e68464eedb95c1c3e6e2b09,"L'Île-d'Anticosti, Québec, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,49.395,-63.59,49.9517,-64.1500,73734,,manual,,"gleicher Name und Kurve (6 %) wie L'Île-d'Anticosti, Québec, Canada [harmonics-2004-06-14_mod.txt]"
kanal_b,b09aef25cfb2e5c1a3392c039c3a5073,"Davis Strait, Nunavut (2), Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,66.2667,-58.3833,66.2667,-56.7667,72349,,manual,,"gleicher Name und Kurve (8 %) wie Davis Strait, Nunavut (3), Canada [harmonics-2004-06-14_mod.txt]"
kanal_b,ce9617954216d4361452efe71f79110c,"Davis Strait, Nunavut (3), Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,66.2667,-56.7667,66.2667,-58.3833,72349,,manual,,"gleicher Name und Kurve (8 %) wie Davis Strait, Nunavut (2), Canada [harmonics-2004-06-14_mod.txt]"
kanal_b,9361febb22ff461e93ce271e107dfe14,"Jacksonville, Acosta Bridge, Florida (4)",harmonics/classic/harmonics-2004-06-14_mod.txt,30.325,-81.665,30.7967,-81.5150,54391,,source,,"gleicher Name und Kurve (9 %) wie Jacksonville, Acosta Bridge, Florida (5) [harmonics-2004-06-14_mod.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,476107027383500ccf490bd386b0f0af,"Jacksonville, Acosta Bridge, Florida (5)",harmonics/classic/harmonics-2004-06-14_mod.txt,30.7967,-81.515,30.3250,-81.6650,54391,,source,,"gleicher Name und Kurve (9 %) wie Jacksonville, Acosta Bridge, Florida (4) [harmonics-2004-06-14_mod.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,21cb16a6b3d21bceb2190416ec314538,"Sullivan Bay, British Columbia, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,50.8833,-126.0833,50.8860,-126.8260,52104,,manual,,"gleicher Name und Kurve (1 %) wie Sullivan Bay, British Columbia, Canada [harmonics_utide_tidetables.txt]"
kanal_b,f7bd379d3b6f73cba817930d63118a2e,"Sullivan Bay, British Columbia, Canada",harmonics/utide/harmonics_utide_tidetables.txt,50.886,-126.826,50.8833,-126.0833,52104,,source,,"gleicher Name und Kurve (1 %) wie Sullivan Bay, British Columbia, Canada [harmonics-2004-06-14_mod.txt]"
kanal_b,a086afdf2993eebe6002aa50a620a7a8,"Skerry Bay, British Columbia, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,49.05,-124.2333,49.5000,-124.2370,50038,,manual,,"gleicher Name und Kurve (1 %) wie Skerry Bay, British Columbia, Canada [harmonics_utide_tidetables.txt]"
kanal_b,750e7b87acf8c4ef3120d21a924d14de,"Skerry Bay, British Columbia, Canada",harmonics/utide/harmonics_utide_tidetables.txt,49.5,-124.237,49.0500,-124.2333,50038,,source,,"gleicher Name und Kurve (1 %) wie Skerry Bay, British Columbia, Canada [harmonics-2004-06-14_mod.txt]"
kanal_b,d24ae19cc942c97d2c227d811f45dc64,"Night Island, Queensland, Australia",harmonics/classic/harmonics-2004-06-14_mod.txt,-13.1833,143.5667,-13.1833,143.9167,37889,,manual,,"gleicher Name und Kurve (6 %) wie Night Island, Queensland, Australia [harmonics_utide_tidetables.txt]"
kanal_b,fe958f7ae6f42a4f7884c606caa2b4b1,"Night Island, Queensland, Australia",harmonics/utide/harmonics_utide_tidetables.txt,-13.183333,143.916667,-13.1833,143.5667,37889,,source,,"gleicher Name und Kurve (6 %) wie Night Island, Queensland, Australia [harmonics-2004-06-14_mod.txt]"
kanal_b,70a92ad4528a219a6757d9d0681a43d5,"Anewa Bay, Bougainville, Solomon Islands",harmonics/classic/harmonics-2004-06-14_mod.txt,-6.1838,155.5436,-6.1830,155.8830,37520,,manual,,"gleicher Name und Kurve (1 %) wie Anewa Bay, Papua New Guinea [harmonics_utide_observations.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,bbf42fffc36aa0bc98039432f6230983,"Anewa Bay, Papua New Guinea",harmonics/utide/harmonics_utide_observations.txt,-6.183,155.883,-6.1838,155.5436,37520,,source,,"gleicher Name und Kurve (1 %) wie Anewa Bay, Bougainville, Solomon Islands [harmonics-2004-06-14_mod.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,45e28382d9c60e6e21cad83df668bb6d,"Anewa Bay, Bougainville, Solomon Islands",harmonics/ticon/harmonics_ticon4_worldwide.txt,-6.1838,155.5436,-6.1830,155.8830,37520,,manual,,"gleicher Name und Kurve (0 %) wie Anewa Bay, Papua New Guinea [harmonics_utide_observations.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,bbf42fffc36aa0bc98039432f6230983,"Anewa Bay, Papua New Guinea",harmonics/utide/harmonics_utide_observations.txt,-6.183,155.883,-6.1838,155.5436,37520,,source,,"gleicher Name und Kurve (0 %) wie Anewa Bay, Bougainville, Solomon Islands [harmonics_ticon4_worldwide.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,7621a49928d2b07f86a3025166756d31,"William Head, Washington",harmonics/classic/harmonics-2004-06-14_mod.txt,48.0333,-123.5333,48.3410,-123.5369,34216,,source,,"gleicher Name und Kurve (0 %) wie William Head, British Columbia, Canada [harmonics_utide_tidetables.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,8d789dc18d972f1f97c026d566b7fe43,"William Head, British Columbia, Canada",harmonics/utide/harmonics_utide_tidetables.txt,48.341,-123.5369,48.0333,-123.5333,34216,,source,,"gleicher Name und Kurve (0 %) wie William Head, Washington [harmonics-2004-06-14_mod.txt] -- verschiedene Laender, moeglicherweise nur Namensgleichheit"
kanal_b,a8fbb6b87eb2aa7cb17e7be77a3cf289,"White Island, Western Australia, Australia",harmonics/classic/harmonics-2004-06-14_mod.txt,-15.0667,124.6667,-15.0667,124.3500,34005,,manual,,"gleicher Name und Kurve (5 %) wie White Island, Western Australia, Australia [harmonics_utide_tidetables.txt]"
kanal_b,267d2890b7213f1eb48dd3b422118a72,"White Island, Western Australia, Australia",harmonics/utide/harmonics_utide_tidetables.txt,-15.0667,124.35,-15.0667,124.6667,34005,,source,,"gleicher Name und Kurve (5 %) wie White Island, Western Australia, Australia [harmonics-2004-06-14_mod.txt]"
kanal_b,6a1cf09dc08c10d61a0aef0a9fb218c6,"Victoria, Prince Edward Island, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,46.2167,-63.05,46.2126,-63.4895,33818,,manual,,"gleicher Name und Kurve (0 %) wie Victoria, Prince Edward Island, Canada [harmonics_utide_tidetables.txt]"
kanal_b,37749ab57da601d1f2ab03d41330cdfc,"Victoria, Prince Edward Island, Canada",harmonics/utide/harmonics_utide_tidetables.txt,46.2126,-63.4895,46.2167,-63.0500,33818,,source,,"gleicher Name und Kurve (0 %) wie Victoria, Prince Edward Island, Canada [harmonics-2004-06-14_mod.txt]"
kanal_b,3f1fe10484d9f3cdf6c7dea95675ef47,"Quaqtaq (terre), Québec, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,60.8667,-70.0667,61.0471,-69.6699,29387,,manual,,"gleicher Name und Kurve (2 %) wie Quaqtaq, Québec, Canada [harmonics_utide_tidetables.txt]"
kanal_b,45051def1a2da97958916df89c9fccdc,"Quaqtaq, Québec, Canada",harmonics/utide/harmonics_utide_tidetables.txt,61.047083,-69.669944,60.8667,-70.0667,29387,,source,,"gleicher Name und Kurve (2 %) wie Quaqtaq (terre), Québec, Canada [harmonics-2004-06-14_mod.txt]"
katalog,18283ace4ee22fb2e9feedaebadbbee6,"Cape Sibbald, Nunavut, Canada",harmonics/utide/harmonics_utide_tidetables.txt,68.3218,-85.8147,69.3333,-85.7667,112495,0,source,,chs_id 05990 = Cape Sibbald
katalog,5fe1749a5d99d93a287ffc2ff419d378,"Khepupara, Bangladesh",harmonics/utide/harmonics_utide_observations.txt,21.9844,90.2187,21.8333,89.8333,43140,5,source,,psmsl_id 1454 = KHEPUPARA; ssc_id khep = Khepupara; uhslc_id 139 = Khepupara
katalog,70d1490a60190e71fa80188795b17eef,"Sadeng, Java, Indonesia",harmonics/utide/harmonics_utide_observations.txt,-8.5,110.783,-8.1903,110.7985,34481,119,source,,ioc_code sade = Sadeng; ioc_code sadp = Sadeng Port (IDSL); ptwc_code sadp = Sadeng Port (IDSL); uhslc_id 417 = Sadeng
katalog,2bbe62d43b315f183783effe0c9c74eb,"Cox's Bazaar, Bangladesh",harmonics/utide/harmonics_utide_observations.txt,21.4511,91.9695,21.4500,91.8333,14093,3,source,,psmsl_id 1476 = COX'S BAZAAR; ssc_id coxs = Cox's Bazaar; uhslc_id 136 = Cox's Bazaar
katalog,516597e65084d2b19fc1f69c11ab0cfa,"Port Sudan, Sudan",harmonics/classic/harmonics_literature.txt,19.6128,37.2268,19.6333,37.1167,11760,0,source,,psmsl_id 1690 = PORT SUDAN
katalog,fdb488c791aa7cba4c20eb3273a0d72d,"Ubatuba, Sao Paulo, Brazil",harmonics/utide/harmonics_utide_observations.txt,-23.4513,-45.0467,-23.5000,-45.1167,8959,3,source,,psmsl_id 733 = UBATUBA; ssc_id ubat = Ubatuba; uhslc_id 282 = Ubatuba
katalog,a2fa59f3a70f8c1ef25245cf21ec291a,"Manukau Heads, New Zealand",harmonics/ticon/harmonics_ticon4_worldwide.txt,-37.0488,174.6082,-37.0466,174.5117,8568,0,source,,ioc_code mnkt = Manukau; ptwc_code mnkt = Manukau
katalog,22eb662de325164eab00ad7e5340dffe,"Puysegur Point, New Zealand",harmonics/ticon/harmonics_ticon4_worldwide.txt,-46.156,166.609,-46.0848,166.5894,8061,0,manual,,ioc_code puyt = Puysegur Welcome Bay; ptwc_code puyt = Puysegur Welcome Bay
katalog,6cbc3941feb0d3f4b48ffedee005599e,"Port Nelson, Manitoba, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,57.0396,-92.5945,57.0000,-92.5000,7216,0,manual,Katalog nur auf 0.5 Grad gerundet -- groeber als der eigene Wert,chs_id 04980 = Port Nelson
katalog,276a25f55048bf0e521ecf40c5db5fa3,"Port Nelson, Manitoba, Canada",harmonics/utide/harmonics_utide_tidetables.txt,57.0396,-92.5945,57.0000,-92.5000,7216,0,source,Katalog nur auf 0.5 Grad gerundet -- groeber als der eigene Wert,chs_id 04980 = Port Nelson
katalog,119cefe8366542c51ccc20db3043aba7,"Kugluktuk (Coppermine), Nunavut, Canada",harmonics/classic/harmonics-2004-06-14_mod.txt,67.8251,-115.135,67.8794,-115.2179,6971,0,manual,,chs_id 06290 = Kugluktuk
katalog,daedb8b5e330c40916b48f8b23991f16,"Kugluktuk, Nunavut, Canada",harmonics/utide/harmonics_utide_tidetables.txt,67.8251,-115.135,67.8794,-115.2179,6971,0,source,,chs_id 06290 = Kugluktuk
katalog,4680a1d5b7a5bbb2879f7b880f947eab,"Lake Charles, Calcasieu River, Louisiana",harmonics/classic/harmonics-dwf-20251228-free.txt,30.2236,-93.2217,30.2016,-93.2806,6165,0,source,,ioc_code lcla = Lake Charles; ptwc_code lcla = Lake Charles
