datei,name,fehler_prozent,begruendung
harmonics/noaa/harmonics_noaa_cptt.txt,"Entrance, Samut Prakan, Thailand",9.9,"Faktor 9.9 schlechter als Phra Chunlachomklao Fort, Samut Prakan, Thailand (0.0397 m) an der RTN-Tafel Phra Chunlachomklao Fort; 2329 m entfernt, Kurve 17.7 % abweichend"
harmonics/noaa/harmonics_noaa_cptt.txt,"Sattahip, Chon Buri, Thailand",9.6,"Faktor 9.4 schlechter als Sattahip, Chon Buri, Thailand (0.0308 m) an der RTN-Tafel Ao Sattahip; 5514 m entfernt, Kurve 16.6 % abweichend"
harmonics/noaa/harmonics_noaa_cptt.txt,"Bangkok, Bangkok, Thailand",10.0,"Faktor 8.6 schlechter als Royal Thai Navy Headquarters, Bangkok, Thailand (0.0484 m) an der RTN-Tafel Royal Thai Navy Headquarters; 1528 m entfernt, Kurve 22.0 % abweichend"
harmonics/att/harmonics_att_np203_scs.txt,"Bangkok Bar, Samut Prakan, Thailand",5.8,"Faktor 7.1 schlechter als Bangkok Bar, Samut Prakan, Thailand (0.0334 m) an der RTN-Tafel Bangkok Bar; 1802 m entfernt, Kurve 2.7 % abweichend (ATT, brauchbare Alternative vorhanden)"
harmonics/att/harmonics_att_np203_scs.txt,"Ko Prap, Surat Thani, Thailand",9.7,"Faktor 6.8 schlechter als Ko Prap, Surat Thani, Thailand (0.0338 m) an der RTN-Tafel Ko Prap; 0 m entfernt, Kurve 9.1 % abweichend (ATT, brauchbare Alternative vorhanden)"
harmonics/att/harmonics_att_np203_scs.txt,"Bangkok Harbour, Bangkok, Thailand",7.0,"Faktor 6.0 schlechter als Bangkok Port, Bangkok, Thailand (0.0433 m) an der RTN-Tafel Bangkok Port; 4 m entfernt, Kurve 14.1 % abweichend (ATT, brauchbare Alternative vorhanden)"
harmonics/att/harmonics_att_np203_scs.txt,"Ko Si Chang, Chon Buri, Thailand",4.3,"Faktor 5.2 schlechter als Ko Si Chang, Chon Buri, Thailand (0.0338 m) an der RTN-Tafel Ko Si Chang; 1459 m entfernt, Kurve 4.4 % abweichend (ATT, brauchbare Alternative vorhanden)"
harmonics/att/harmonics_att_np203_scs.txt,"Ao Sattahip, Chon Buri, Thailand",5.4,"Faktor 5.1 schlechter als Sattahip, Chon Buri, Thailand (0.0308 m) an der RTN-Tafel Ao Sattahip; 1894 m entfernt, Kurve 1.8 % abweichend (ATT, brauchbare Alternative vorhanden)"
harmonics/att/harmonics_att_np203_scs.txt,"Laem Sing, Chanthaburi, Thailand",8.1,"Faktor 5.1 schlechter als Laem Sing, Chanthaburi, Thailand (0.0306 m) an der RTN-Tafel Laem Sing; 1768 m entfernt, Kurve 4.6 % abweichend (ATT, brauchbare Alternative vorhanden)"
harmonics/att/harmonics_att_np203_scs.txt,"Ko Mattaphon, Chumphon, Thailand",8.5,"Faktor 5.0 schlechter als Ko Mattaphon, Chumphon, Thailand (0.0290 m) an der RTN-Tafel Ko Mattaphon; 0 m entfernt, Kurve 6.2 % abweichend (ATT, brauchbare Alternative vorhanden)"
harmonics/classic/harmonics-1997-05-25_mod.txt,"Ko Si Chang, Chon Buri, Thailand",3.9,"Faktor 4.6 schlechter als Ko Si Chang, Chon Buri, Thailand (0.0338 m) an der RTN-Tafel Ko Si Chang; 0 m entfernt, Kurve 4.3 % abweichend"
harmonics/classic/harmonics-1997-05-25_mod.txt,"Pak Nam Tha Chin, Samut Sakhon, Thailand",4.8,"Faktor 4.2 schlechter als Pak Nam Tha Chin, Samut Sakhon, Thailand (0.0468 m) an der RTN-Tafel Pak Nam Tha Chin; 0 m entfernt, Kurve 4.0 % abweichend"
harmonics/classic/harmonics-1997-05-25_mod.txt,"Bangkok Bar, Samut Prakan, Thailand",3.3,"Faktor 4.1 schlechter als Bangkok Bar, Samut Prakan, Thailand (0.0334 m) an der RTN-Tafel Bangkok Bar; 4 m entfernt, Kurve 2.6 % abweichend"
harmonics/att/harmonics_att_np203_scs.txt,"Bangkok, Bangkok, Thailand",6.3,"Faktor 3.6 schlechter als Royal Thai Navy Headquarters, Bangkok, Thailand (0.0484 m) an der RTN-Tafel Royal Thai Navy Headquarters; 1286 m entfernt, Kurve 5.8 % abweichend (ATT, brauchbare Alternative vorhanden)"
harmonics/att/harmonics_att_np203_scs.txt,"Ko Raet (Ko Lak), Prachuap Khiri Khan, Thailand",6.6,"Faktor 3.3 schlechter als Ko Lak, Prachuap Khiri Khan, Thailand (0.0377 m) an der RTN-Tafel Ko Lak; 525 m entfernt, Kurve 1.0 % abweichend (ATT, brauchbare Alternative vorhanden)"
harmonics/att/harmonics_att_np203_scs.txt,"Narathiwat (Pak Nam Bang Nara), Narathiwat, Thailand",9.6,"Faktor 3.1 schlechter als Narathiwat (Pak Nam Bang Nara), Narathiwat, Thailand (0.0314 m) an der RTN-Tafel Pak Nam Bang Nara; 0 m entfernt, Kurve 7.0 % abweichend (ATT, brauchbare Alternative vorhanden)"
