station,provinz,lat,lon,satz,datei,abstand_m,rms_m,max_m,r
Bangkok Bar,Samut Prakan,13.45028,100.59528,"Bangkok Bar, Samut Prakan, Thailand",harmonics_utide_tidetables.txt,1292,0.0334,0.097,0.9992
Bangkok Port,Bangkok Metropolitan,13.70167,100.58000,"Bangkok Port, Bangkok, Thailand",harmonics_utide_tidetables.txt,1452,0.0433,0.164,0.9984
Pak Nam Bang Pakong,Chachoengsao,13.48500,101.00306,"Pak Nam Bang Pakong, Chachoengsao, Thailand",harmonics_utide_tidetables.txt,379,0.0420,0.126,0.9986
Bang Saphan,Prachuap Khiri Khan,11.20611,99.58222,"Bang Saphan, Prachuap Khiri Khan, Thailand",harmonics_utide_tidetables.txt,3,0.0303,0.069,0.9983
Royal Thai Navy Headquarters,Bangkok Metropolitan,13.74333,100.49028,"Royal Thai Navy Headquarters, Bangkok, Thailand",harmonics_utide_tidetables.txt,4,0.0484,0.146,0.9968
Hua Hin,Prachuap Khiri Khan,12.57583,99.96083,"Hua Hin, Prachuap Khiri Khan, Thailand",harmonics_utide_tidetables.txt,18,0.0320,0.083,0.9990
Pak Nam Krabi,Krabi,8.04583,98.90583,"Pak Nam Krabi, Krabi, Thailand",harmonics_utide_tidetables.txt,8,0.0376,0.106,0.9986
Ko Lak,Prachuap Khiri Khan,11.79639,99.81333,"Ko Lak, Prachuap Khiri Khan, Thailand",harmonics_utide_observations.txt,438,0.0377,0.101,0.9978
Ko Lak,Prachuap Khiri Khan,11.79639,99.81333,"Ko Lak, Prachuap Khiri Khan, Thailand",harmonics_ticon4_worldwide.txt,428,0.0501,0.134,0.9964
Ko Prap,Surat Thani,9.26500,99.43444,"Ko Prap, Surat Thani, Thailand",harmonics_utide_tidetables.txt,13,0.0338,0.088,0.9981
Khura Buri,Phangnga,9.04361,98.32056,"Bang Wan (Khura Buri), Phang Nga, Thailand",harmonics_utide_tidetables.txt,5,0.0424,0.117,0.9982
Pak Nam Trang,Trang,7.31083,99.40194,"Hat Yao Pier (Ko Libong), Trang, Thailand",harmonics_utide_tidetables.txt,6,0.0331,0.080,0.9987
Laem Chabang,Chon Buri,13.05611,100.88722,"Laem Chabang, Chon Buri, Thailand",harmonics_utide_tidetables.txt,475,0.0329,0.083,0.9992
Laem Ngop,Trat,12.16694,102.39028,"Laem Ngop, Trat, Thailand",harmonics_utide_tidetables.txt,31,0.0312,0.078,0.9981
Laem Sing,Chanthaburi,12.47528,102.05861,"Laem Sing, Chanthaburi, Thailand",harmonics_utide_tidetables.txt,771,0.0306,0.075,0.9983
Pak Nam Mae Klong,Samut Songkhram,13.37750,99.99278,"Pak Nam Mae Klong, Samut Songkhram, Thailand",harmonics_utide_tidetables.txt,501,0.0379,0.123,0.9988
Ko Mattaphon,Chumphon,10.44944,99.25333,"Ko Mattaphon, Chumphon, Thailand",harmonics_utide_tidetables.txt,6,0.0290,0.075,0.9983
Map Ta Phut,Rayong,12.67278,101.13889,"Map Ta Phut, Rayong, Thailand",harmonics_utide_tidetables.txt,3,0.0323,0.093,0.9986
Pak Nam Bang Nara,Narathiwat,6.42611,101.82667,"Narathiwat (Pak Nam Bang Nara), Narathiwat, Thailand",harmonics_utide_tidetables.txt,585,0.0314,0.085,0.9917
Phra Chunlachomklao Fort,Samut Prakan,13.55333,100.57694,"Phra Chunlachomklao Fort, Samut Prakan, Thailand",harmonics_utide_tidetables.txt,6,0.0397,0.132,0.9989
Pak Nam Pattani,Pattani,6.90444,101.24611,"Pak Nam Pattani, Pattani, Thailand",harmonics_utide_tidetables.txt,79,0.0303,0.078,0.9710
Pak Nam Pak Phanang,Nakhon Si Thammarat,8.35528,100.19889,"Pak Nam Pak Phanang, Nakhon Si Thammarat, Thailand",harmonics_utide_tidetables.txt,528,0.0300,0.076,0.9897
Pak Nam Rayong,Rayong,12.65722,101.27611,"Pak Nam Rayong, Rayong, Thailand",harmonics_utide_tidetables.txt,1302,0.0305,0.075,0.9985
Ko Si Chang,Chon Buri,13.16167,100.81056,"Ko Si Chang, Chon Buri, Thailand",harmonics_utide_tidetables.txt,30,0.0338,0.091,0.9991
Ao Sattahip,Chon Buri,12.65306,100.88306,"Sattahip, Chon Buri, Thailand",harmonics_utide_tidetables.txt,1926,0.0308,0.075,0.9989
Songkhla,Songkhla,7.21694,100.58000,"Songkhla, Thailand",harmonics_utide_tidetables.txt,5,0.0292,0.070,0.9777
Ko Samui,Surat Thani,9.49278,99.92194,"Ko Samui, Surat Thani, Thailand",harmonics_utide_tidetables.txt,1241,0.0302,0.069,0.9975
Pak Nam Tha Chin,Samut Sakhon,13.51778,100.27500,"Pak Nam Tha Chin, Samut Sakhon, Thailand",harmonics_utide_tidetables.txt,1928,0.0468,0.175,0.9982
Ao Thap Lamu,Phangnga,8.57556,98.22194,"Ao Thap Lamu, Phang Nga, Thailand",harmonics_utide_tidetables.txt,7,0.0317,0.080,0.9984
Ao Thap Lamu,Phangnga,8.57556,98.22194,"Khlong Thung Maphrao, Phang Nga, Thailand",harmonics_att_np203_scs.txt,3258,0.0756,0.220,0.9913
Ko Taphao Noi,Phuket,7.83389,98.42139,"Ko Taphao Noi (Phuket), Phuket, Thailand",harmonics_utide_observations.txt,25,0.0371,0.107,0.9982
Ko Taphao Noi,Phuket,7.83389,98.42139,"Ko Taphao Noi (Phuket), Phuket, Thailand",harmonics_ticon4_worldwide.txt,25,0.0400,0.129,0.9979
Ko Tarutao,Satun,6.70389,99.64639,"Ko Tarutao, Satun, Thailand",harmonics_utide_tidetables.txt,48,0.0339,0.094,0.9985
