tafel,name,lat,lon,scheitel,neu_rms_cm,neu_dt_min,bestand,bestand_datei,bestand_rms_cm,bestand_dt_min,saetze
Newry_(Victoria_Lock).json,Newry (Victoria Lock),54.15,-6.3166667,1351,70.4,17.6,,,,,0
Mistley.json,Mistley,51.95,1.0833333,1327,64.7,17.6,"Mistley, England, United Kingdom",harmonics_utide_tidetables.txt,114.9,32.4,1
Allington_Lock.json,Allington Lock,51.3,0.5,2779,58.6,13.7,"Allington Lock, England, United Kingdom",harmonics_utide_tidetables.txt,103.1,6.9,1
Newport_(Isle_Of_Wight).json,Newport (Isle Of Wight),50.7,-1.2833,493,56.6,1.2,,,,,0
Turf_Lock.json,Turf Lock,50.6666667,-3.4666667,2987,29.4,20.4,"Turf Lock, England, United Kingdom",harmonics_utide_tidetables.txt,55.4,20.1,1
Stirling.json,Stirling,56.1166667,-3.9333333,2355,24.5,10.2,"Stirling, Scotland, United Kingdom",harmonics_utide_tidetables.txt,63.5,5.7,1
Sharpness_Dock.json,Sharpness Dock,51.7166667,-2.4833333,3001,16.5,12.7,"Sharpness Dock, England, United Kingdom",harmonics_utide_tidetables.txt,48.9,23.1,1
Berkeley.json,Berkeley,51.7,-2.5,2844,15.8,13.1,"Berkeley, England, United Kingdom",harmonics_utide_tidetables.txt,50.0,20.5,1
Wellhouse_Rock.json,Wellhouse Rock,51.7333333,-2.4833333,1778,15.5,8.9,"Wellhouse Rock, England, United Kingdom",harmonics_utide_tidetables.txt,42.6,23.6,2
Fiddlers_Ferry.json,Fiddler's Ferry,53.3666667,-2.6666667,3721,15.4,14.4,"Fiddler's Ferry, England, United Kingdom",harmonics_utide_tidetables.txt,38.5,56.0,1
Preston.json,Preston,53.75,-2.75,3726,13.5,15.8,"Preston, England, United Kingdom",harmonics_utide_tidetables.txt,42.8,33.3,1
White_House.json,White House,51.6666667,-2.55,3349,13.2,11.2,"White House, England, United Kingdom",harmonics_utide_tidetables.txt,142.5,20.0,1
Widnes.json,Widnes,53.35,-2.7333333,3726,12.2,15.0,"Widnes, England, United Kingdom",harmonics_utide_tidetables.txt,38.8,33.1,1
Beachley_(Aust).json,Beachley (Aust),51.6,-2.6333333,1778,11.4,11.6,"Beachley (Aust), England, United Kingdom",harmonics_utide_tidetables.txt,50.7,6.5,2
Inward_Rocks.json,Inward Rocks,51.65,-2.6166667,1774,11.0,10.8,"Inward Rocks, England, United Kingdom",harmonics_utide_tidetables.txt,50.5,8.4,3
Clevedon.json,Clevedon,51.45,-2.8666667,3724,10.9,8.6,"Clevedon, England, United Kingdom",harmonics_utide_tidetables.txt,55.2,4.4,1
Faversham.json,Faversham,51.3166667,0.9,897,10.9,1.5,"Faversham, England, United Kingdom",harmonics_utide_tidetables.txt,16.0,995.8,1
Port_Of_Bristol_(Avonmouth).json,Port Of Bristol (Avonmouth),51.5,-2.7333333,1778,10.8,11.3,"Portbury, England, United Kingdom",harmonics_ticon4_worldwide.txt,31.9,6.2,1
Narlwood_Rocks.json,Narlwood Rocks,51.65,-2.6,3684,10.7,9.5,"Inward Rocks, England, United Kingdom",harmonics_utide_tidetables.txt,50.2,14.7,3
Sea_Mills.json,Sea Mills,51.4833333,-2.65,3725,10.4,10.0,"Sea Mills, England, United Kingdom",harmonics_utide_tidetables.txt,49.6,10.2,1
Shirehampton.json,Shirehampton,51.4833333,-2.6833333,3725,10.4,9.4,"Shirehampton, England, United Kingdom",harmonics_utide_tidetables.txt,50.6,7.4,1
Newport.json,Newport,51.55,-2.9833333,1778,10.2,9.9,"Newport (River Usk), Wales, United Kingdom",harmonics-dwf-20100529-nonfree_mod.txt,25.3,4.3,2
English_And_Welsh_Grounds.json,English And Welsh Grounds,51.4666667,-2.9833333,3725,10.1,7.1,"English And Welsh Grounds, England, United Kingdom",harmonics_utide_tidetables.txt,54.9,3.9,1
Appledore.json,Appledore,51.05,-4.2,1778,10.0,10.1,"Appledore, England, United Kingdom",harmonics_utide_tidetables.txt,33.0,5.1,2
St._Thomass_Head.json,St. Thomas's Head,51.4,-2.9333333,3725,10.0,8.0,"St. Thomas's Head, England, United Kingdom",harmonics_utide_tidetables.txt,56.4,4.2,1
Burnham-On-Sea.json,Burnham-On-Sea,51.2333333,-3.0,1698,9.5,10.1,"Burnham, Parrett River, England, United Kingdom",harmonics_noaa_eutt.txt,70.2,28.4,2
Foynes_Island.json,Foynes Island,52.6166667,-9.1166667,3667,9.4,8.9,"Foynes Island, Ireland",harmonics_utide_tidetables.txt,42.4,8.2,1
Steep_Holm.json,Steep Holm,51.3333333,-3.1,3715,9.2,8.1,"Steep Holm, England, United Kingdom",harmonics_utide_tidetables.txt,55.2,4.2,1
Llanthony.json,Llanthony,51.85,-2.35,251,9.1,0.0,,,,,0
Epney.json,Epney,51.7,-2.4,248,9.0,0.0,,,,,0
Minsterworth.json,Minsterworth,51.8333333,-2.3833333,247,9.0,0.0,,,,,0
Barnstaple.json,Barnstaple,51.0833333,-4.0666667,3615,8.9,10.7,"Barnstaple, England, United Kingdom",harmonics_utide_tidetables.txt,22.1,16.5,1
Wadebridge.json,Wadebridge,50.5166667,-4.8333333,3437,8.8,8.0,"Wadebridge, England, United Kingdom",harmonics_utide_tidetables.txt,22.4,30.8,1
Cardiff.json,Cardiff,51.45,-3.1666667,1778,8.7,10.1,"Cardiff, Wales, United Kingdom",harmonics-1997-05-25_mod.txt,37.7,13.7,2
Cumberland_Basin_Entrance.json,Cumberland Basin Entrance,51.45,-2.6166667,1862,8.7,4.1,"Cumberland Basin Entrance, England, United Kingdom",harmonics_utide_tidetables.txt,37.1,2.9,1
Flat_Holm.json,Flat Holm,51.3833333,-3.1166667,3725,8.7,7.9,"Flat Holm, Wales, United Kingdom",harmonics_utide_tidetables.txt,52.2,4.0,1
Bideford.json,Bideford,51.0166667,-4.2,2400,8.5,5.4,"Bideford, England, United Kingdom",harmonics_utide_tidetables.txt,73.4,32.4,1
Watchet.json,Watchet,51.1833333,-3.3333333,1778,8.4,6.8,"Watchet, England, United Kingdom",harmonics_utide_tidetables.txt,49.3,5.0,2
Fremington.json,Fremington,51.0833333,-4.1166667,3729,8.1,9.1,"Fremington, England, United Kingdom",harmonics_utide_tidetables.txt,27.8,5.5,1
Les_Minquiers.json,Les Minquiers,48.95,-2.1333333,1782,8.1,10.1,,,,,0
Redkirk.json,Redkirk,54.9833333,-3.1,1857,8.1,11.7,"Redkirk (Gretna), Scotland, United Kingdom",harmonics_utide_tidetables.txt,86.5,25.1,1
Minehead.json,Minehead,51.2166667,-3.4666667,3729,8.0,6.4,"Minehead, England, United Kingdom",harmonics_utide_tidetables.txt,46.9,5.9,1
Porlock_Bay.json,Porlock Bay,51.2166667,-3.6333333,1778,8.0,7.2,"Porlock Bay, England, United Kingdom",harmonics_utide_tidetables.txt,46.5,6.2,1
Weston-Super-Mare.json,Weston-Super-Mare,51.35,-2.9833333,1774,8.0,8.3,"Weston-Super-Mare, England, United Kingdom",harmonics_utide_tidetables.txt,56.1,5.8,2
St._Catherine_Bay.json,St. Catherine Bay,49.2166667,-2.0166667,3729,7.9,8.1,"St. Catherine Bay, Jersey, Channel Islands",harmonics_utide_tidetables.txt,39.3,4.8,1
River_Neath_Entrance.json,River Neath Entrance,51.6166667,-3.85,1862,7.8,5.0,"River Neath Entrance, Wales, United Kingdom",harmonics_utide_tidetables.txt,24.1,2.1,1
