tafel,satz,datei,empfehlung,nachbar_alt_pct,nachbar_neu_pct,lat,lon,tafel_alt_cm,tafel_neu_cm,neu_dt_min,zahm,tiefste,hoechste,tafel_tief,tafel_hoch,reihe,echt_neu_cm,echt_alt_cm,entscheidung
White_House.json,"White House, England, United Kingdom",harmonics_utide_tidetables.txt,neu fitten,23.2,19.1,51.6667,-2.5500,142.5,13.2,11.2,ja,-0.78,11.57,0.0,11.64,,,,
Yelland_Marsh.json,"Yelland Marsh, England, United Kingdom",harmonics_utide_tidetables.txt,neu fitten,30.6,18.3,51.0667,-4.1667,103.8,4.5,4.1,ja,-0.98,7.96,0.0,7.97,,,,
Alloa.json,"Alloa, Scotland, United Kingdom",harmonics_utide_tidetables.txt,neu fitten,31.2,17.8,56.1000,-3.8000,96.6,3.7,13.4,ja,-0.6,6.28,0.0,6.28,,,,
Annan_Waterfoot.json,"Annan Waterfoot, Scotland, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),19.2,34.8,54.9667,-3.2667,94.1,7.0,10.5,nein,-8.85,8.31,0.0,8.19,,,,
Redkirk.json,"Redkirk (Gretna), Scotland, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),41.8,107.3,54.9833,-3.1000,86.5,8.1,11.7,nein,-87.8,5.86,0.02,5.04,,,,
Torduff_Point.json,"Torduff Point, Scotland, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),22.6,103.1,54.9667,-3.1500,82.5,7.7,9.8,nein,-89.26,6.67,1.14,6.49,,,,
Burton_Stather.json,"Burton Stather, England, United Kingdom",harmonics_utide_tidetables.txt,neu fitten,25.8,22.0,53.6500,-0.7000,77.1,6.4,7.8,ja,-0.72,6.19,0.0,6.24,,,,
Bridgwater.json,"Bridgwater, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),49.3,74.0,51.1333,-3.0000,71.6,6.6,4.0,nein,-12.58,24.36,0.76,5.78,rloi3067.json,557.4,79.7,
Bideford.json,"Bideford, England, United Kingdom",harmonics_utide_tidetables.txt,neu fitten,47.9,13.3,51.0167,-4.2000,73.4,8.5,5.4,ja,-1.3,6.92,0.0,6.94,,,,
Carmarthen.json,"Carmarthen, Wales, United Kingdom",harmonics_utide_tidetables.txt,lassen (Kurve laeuft aus dem Ruder),60.7,108.9,51.8500,-4.3000,68.4,7.1,4.3,nein,-5.21,96.94,0.0,3.59,,,,
Hammersmith_Bridge.json,"Hammersmith Bridge, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),21.7,31.5,51.4833,-0.2333,65.2,5.7,14.8,ja,-0.4,6.37,0.0,6.16,rloi7392.json,204.6,169.2,
Flixborough_Wharf.json,"Flixborough Wharf, England, United Kingdom",harmonics_utide_tidetables.txt,lassen (Nachbarn widersprechen),18.2,23.3,53.6167,-0.7000,61.9,6.7,8.5,ja,-1.11,6.12,0.0,6.14,,,,
