Quelle;Station;Typ;Lat;Lon;Referenz-Quelle;Referenz-Station;Match-Typ;Distanz_km;Ø_Zeitdiff_min;Ø_Höhendiff_m;N_Events;Status
Classic 1997;Aberystwyth, Wales, United Kingdom;Ref;52.4071;-4.0902;;;;;;;;Keine Referenz gefunden
Classic 1997;Ad Dawhah, Qatar;Ref;25.3;51.5167;;;;;;;;Keine Referenz gefunden
Classic 1997;Ad-Dakhla (Villa Cisneros), Western Sahara;Ref;23.6904;-15.9336;;;;;;;;Keine Referenz gefunden
Classic 1997;Agadir, Morocco;Ref;30.4167;-9.6167;;;;;;;;Keine Referenz gefunden
Classic 1997;Air Musi, Sumatra, Indonesia;Ref;-2.2;104.95;;;;;;;;Keine Referenz gefunden
Classic 1997;Aitutaki, Aitutaki Atoll, Cook Islands;Ref;-18.85;-159.7833;;;;;;;;Keine Referenz gefunden
Classic 1997;Akassa, Nigeria;Ref;4.3167;6.0667;;;;;;;;Keine Referenz gefunden
Classic 1997;Al Fujayrah, United Arab Emirates;Ref;25.1333;56.35;;;;;;;;Keine Referenz gefunden
Classic 1997;Aleksandrovskiy, Russia;Ref;50.8833;142.1167;;;;;;;;Keine Referenz gefunden
Classic 1997;Amherst, Myanmar;Ref;16.0833;97.5667;;;;;;;;Keine Referenz gefunden
Classic 1997;Amuay, Venezuela;Ref;11.75;-70.2167;;;;;;;;Keine Referenz gefunden
Classic 1997;Andoany (Hell-Ville), Madagascar;Ref;-13.406;48.279;TICON4;Nosy Be, Madagascar;Proximity (2.4km);2.4;184.0;2.297;3;OK
Classic 1997;Angoche (António Enes), Moçambique;Ref;-16.2333;39.9;;;;;;;;Keine Referenz gefunden
Classic 1997;Angra dos Reis, Brazil;Ref;-23.0167;-44.3167;;;;;;;;Keine Referenz gefunden
Classic 1997;Anma Do, South Korea;Ref;35.35;126.0167;;;;;;;;Keine Referenz gefunden
Classic 1997;Antsiranana (Diego-Suarez), Madagascar;Ref;-12.2673;49.2886;;;;;;;;Keine Referenz gefunden
Classic 1997;Aracaju, Brazil;Ref;-10.9167;-37.05;;;;;;;;Keine Referenz gefunden
Classic 1997;Aratu, Brazil;Ref;-12.7833;-38.5;;;;;;;;Keine Referenz gefunden
Classic 1997;Areia Branca, Brazil;Ref;-4.8167;-37.0333;;;;;;;;Keine Referenz gefunden
Classic 1997;Arendal, Norway;Ref;58.4574;8.7674;;;;;;;;Keine Referenz gefunden
Classic 1997;Arkhangel'sk, Russia;Ref;64.5333;40.4833;;;;;;;;Keine Referenz gefunden
Classic 1997;Arsenal de la Carraca, España;Ref;36.4991;-6.178;;;;;;;;Keine Referenz gefunden
Classic 1997;Assab, Eritrea;Ref;13.0039;42.7492;;;;;;;;Keine Referenz gefunden
Classic 1997;Aveiro, Portugal;Ref;40.6333;-8.75;;;;;;;;Keine Referenz gefunden
Classic 1997;Avonmouth (Port of Bristol), England, United Kingdom;Ref;51.5108;-2.7151;UTide UK;Avonmouth, England, United Kingdom;Proximity (0.0km);0.0;-3.9;0.454;8;OK
Classic 1997;Ayamonte, España;Ref;37.2167;-7.4167;;;;;;;;Keine Referenz gefunden
Classic 1997;Bagan Datoh, Malaysia;Ref;4.0;100.75;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía Aguirre, Argentina;Ref;-54.9167;-65.9667;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía Buen Suceso, Argentina;Ref;-54.8167;-65.2167;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía Crossley, Argentina;Ref;-54.8;-64.7;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía de Ballenas, Baja California Sur, México;Ref;26.7084;-113.5742;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía Magdalena, Baja California Sur, México;Ref;24.6351;-112.1392;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía Orange (Isla Bullock), Chile;Ref;-55.5305;-68.0388;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía San Blas, Argentina;Ref;-40.5514;-62.233;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía San Juanico, Baja California Sur, México;Ref;26.2511;-112.4769;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía San Julián (Punta Peña), Argentina;Ref;-49.25;-67.6667;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía San Sebastián, Argentina;Ref;-53.2966;-68.4573;;;;;;;;Keine Referenz gefunden
Classic 1997;Bahía Thetis, Argentina;Ref;-54.6333;-65.25;;;;;;;;Keine Referenz gefunden
Classic 1997;Balikpapan, Borneo, Indonesia;Ref;-1.2667;116.8;;;;;;;;Keine Referenz gefunden
Classic 1997;Banda Harbour (Naira), Indonesia;Ref;-4.5333;129.7167;;;;;;;;Keine Referenz gefunden
Classic 1997;Bandar Abbas, Iran;Ref;27.1833;56.2833;;;;;;;;Keine Referenz gefunden
Classic 1997;Bandar Victoria (Labuan), Malaysia;Ref;5.2724;115.2449;;;;;;;;Keine Referenz gefunden
Classic 1997;Bandar-e Lengeh, Iran;Ref;26.55;54.8833;;;;;;;;Keine Referenz gefunden
Classic 1997;Bandaraya Melaka, Malaysia;Ref;2.1833;102.25;;;;;;;;Keine Referenz gefunden
Classic 1997;Bangkok Bar (Samut Prakan), Thailand;Ref;13.4502;100.5952;;;;;;;;Keine Referenz gefunden
Classic 1997;Banjul, Gambia;Ref;13.4444;-16.5716;;;;;;;;Keine Referenz gefunden
Classic 1997;Barra do Riacho, Brazil;Ref;-19.8333;-40.05;;;;;;;;Keine Referenz gefunden
Classic 1997;Barra Norte, Brazil;Ref;0.9167;-50.0667;;;;;;;;Keine Referenz gefunden
Classic 1997;Barrow-in-Furness (Ramsden Dock), England, United Kingdom;Ref;54.1007;-3.2152;;;;;;;;Keine Referenz gefunden
Classic 1997;Barry, Wales, United Kingdom;Ref;51.3911;-3.2588;;;;;;;;Keine Referenz gefunden
Classic 1997;Basrah, Iraq;Ref;30.5167;47.85;;;;;;;;Keine Referenz gefunden
Classic 1997;Bassein River, Myanmar;Ref;15.8667;94.2833;;;;;;;;Keine Referenz gefunden
Classic 1997;Bassein, Myanmar;Ref;16.7833;94.7833;;;;;;;;Keine Referenz gefunden
Classic 1997;Bata, Equatorial Guinea;Ref;1.8727;9.7705;;;;;;;;Keine Referenz gefunden
Classic 1997;Beachley (Aust), River Severn, England, United Kingdom;Ref;51.6;-2.6333;;;;;;;;Keine Referenz gefunden
Classic 1997;Beira, Moçambique;Ref;-19.8261;34.8327;;;;;;;;Keine Referenz gefunden
Classic 1997;Belawan, Sumatra, Indonesia;Ref;3.8333;98.7167;;;;;;;;Keine Referenz gefunden
Classic 1997;Belfast (Lagan Weir), Northern Ireland, United Kingdom;Ref;54.6014;-5.9215;;;;;;;;Keine Referenz gefunden
Classic 1997;Berbera, Somalia;Ref;10.4408;45.0028;;;;;;;;Keine Referenz gefunden
Classic 1997;Beypore, India;Ref;11.1667;75.8;;;;;;;;Keine Referenz gefunden
Classic 1997;Bhavnagar, India;Ref;21.8;72.15;;;;;;;;Keine Referenz gefunden
Classic 1997;Bissau, Guinea-Bissau;Ref;11.858;-15.5774;;;;;;;;Keine Referenz gefunden
Classic 1997;Bolama, Guinea-Bissau;Ref;11.5788;-15.471;;;;;;;;Keine Referenz gefunden
Classic 1997;Bolinao, Philippines;Ref;16.4;119.9;;;;;;;;Keine Referenz gefunden
Classic 1997;Bonny, Nigeria;Ref;4.45;7.1667;;;;;;;;Keine Referenz gefunden
Classic 1997;Bubaque, Guinea-Bissau;Ref;11.2996;-15.8265;;;;;;;;Keine Referenz gefunden
Classic 1997;Buenos Aires, Argentina (1);Ref;-34.6;-58.3667;;;;;;;;Keine Referenz gefunden
Classic 1997;Buenos Aires, Argentina (2);Ref;-34.5667;-58.3833;TICON4;Buenos Aires (Club de Pescadores), Argentina;Proximity (1.6km);1.6;-196.0;0.814;3;OK
