datum,np203_no,name_alt,name_neu,osm,osm_km,buchhafen,buchhafen_km
20260906,,Irian Jaya (NP203 551) Current,"Sungai Muturi, New Guinea, Indonesia Current",,,"Muturi Terminal, Indonesia",3.9
20260906,,Irian Jaya (NP203 550) Current,"Selat Sele (Seget), Indonesia Current",Tanjung Kanyolo,4.61,"Sailolof, Indonesia",25.7
20260906,,Lombok Strait Current,"Nusa Penida / Tanjung Pandanan (Lombok Strait), Indonesia Current",Pulau Batuaba,13.57,"Tanjung Pandanan, Indonesia",14.6
20260906,,Madura Strait Current,"Gresik / Junganyar (Madura Strait), Indonesia Current",Madura Strait,10.79,"Gading, Indonesia",29.7
20260906,,Sunda Strait Current,"Sangiang (Sunda Strait), Indonesia Current",Pulau Ular,4.72,"Genteng (Westbaai), Indonesia",168.1
20260906,,Sulawesi (NP203 532a) Current,"Selat Capalulu (Pulau Taliabu / Mangoli), Indonesia Current",Kepulauan Sula,8.29,"Dofa, Indonesia",7.6
20260906,,Sulawesi (NP203 532) Current,"Pulau Taliabu (northeast), Indonesia Current",,,"Dofa, Indonesia",48.2
20260906,,Off Borneo (NP203 514a) Current,"Pulau Kuraman (northeast), Malaysia Current",Kuraman Island,2.55,"Muara, Brunei",23.7
20260906,,Off Borneo (NP203 514) Current,"Pulau Kuraman (north), Malaysia Current",Kuraman Island,2.97,"Muara, Brunei",25.4
20260906,,Off Borneo (NP203 511) Current,"Teluk Sandakan, Malaysia Current",Sandakan Bay,1.26,"Sandakan, Malaysia",0.4
20260906,,Basilan Strait Current,"Zamboanga (Basilan Strait), Philippines Current",Coast Guard Sub-station Rio Hondo,2.23,"Zamboanga, Philippines",0.0
20260906,,Philippine Islands (NP203 504a) Current,"Uban Point (San Juanico Strait), Leyte, Philippines Current",San Juanico Strait,1.81,"Santa Elena River, Philippines",1.9
20260906,,Philippine Islands (NP203 504) Current,"Tacloban / Bintac Point (San Juanico Strait), Philippines Current",San Juanico Strait,10.37,"Tacloban, Philippines",1.9
20260906,,San Bernardino Strait Current,"San Bernardino Strait (Calintaan, Capul Lighthouse), Philippines Current",Bato Island,7.55,"Biri Island, Philippines",31.9
20260906,,Philippine Islands (NP203 497) Current,"Shell Island (Cebu Strait), Philippines Current",Cebu Strait,13.47,"Nin Bay, Philippines",227.0
20260906,,Philippine Islands (NP203 496) Current,"Iloilo Strait (Iloilo City), Philippines Current",Nabitasan Lake Island,4.04,"Moalbual, Philippines",122.2
20260906,,E Malaysia coast Current,"Tanjung Gelang (Kuantan Port), Malaysia Current",Tanjung Gelang,2.28,"Chendering, Malaysia",149.2
20260906,,Gaspar Strait Current,"Pulau Besar (Gaspar Strait), Indonesia Current",Pulau Besar,14.81,"Pulau Besar, Indonesia",14.8
20260906,,Bangka Strait (NP203 485a) Current,"Southeast of Muntok (Bangka Strait), Indonesia Current",Brom-Brom Reef,9.55,"Tanjung Kelian, Indonesia",21.0
20260906,,Bangka Strait (NP203 485) Current,"Pulau Cebia (Bangka Strait), Indonesia Current",,,"Pulau Cebia, Indonesia",24.1
20260906,,Berhala Strait (NP203 476) Current,"Northeast of Kuala Tungkal (Berhala Strait), Indonesia Current",,,"Kuala Lajau, Indonesia",34.1
20260906,,Berhala Strait (NP203 475a) Current,"Pulau Berhala (Berhala Strait), Indonesia Current",Berhala Strait,5.77,"Pulau Berhala, Indonesia",3.7
20260906,,Karimata approaches Current,"Bulungkor (Pulau Lingga), Indonesia Current",,,"Tanjung Butun, Indonesia",63.0
20260906,,Riau Archipelago (NP203 474a) Current,"Pulau Ngalih / Pulau Kelong (Riau), Indonesia Current",Selat Maralimau,4.41,"Pelabuhan Kijang, Indonesia",5.6
20260906,,Riau Archipelago (NP203 474) Current,"East of Pantai Cakang, Pulau Garang-baru (Riau), Indonesia Current",Pulau Korek Busung,10.99,"Tanjungpinang, Indonesia",33.4
20260906,,Riau Archipelago (NP203 473d) Current,"Tanjung Talu / Ngenang (Riau), Indonesia Current",Tanjung Talu,3.76,"Tanjung Ayam, Malaysia",37.1
20260906,,Singapore Strait E (NP203 473c) Current,"Falloden Hall Shoal (Singapore Strait), Malaysia Current",Lima Channel,6.22,"Horsburgh Lighthouse, Malaysia",7.4
20260906,,Singapore Strait (NP203 473b) Current,"Batu Berhanti Lighthouse (Singapore Strait), Indonesia Current",Cooper Channel,4.56,"Tanjung Pengelih, Malaysia",29.9
20260906,,Singapore Strait (NP203 473a) Current,"Northwest of Pulau Batam (Singapore Strait), Indonesia Current",Cooper Channel,11.79,"Tanjung Pengelih, Malaysia",22.2
20260906,,Singapore Strait E (NP203 473) Current,"Pengerang Anchorage (Singapore Strait), Malaysia Current",Tanjung Kapal,5.86,"Tanjung Ayam, Malaysia",6.3
20260906,,Singapore Strait (NP203 472f) Current,"Southeast of Marina South (Cooper Channel), Singapore Current",Cooper Channel,7.88,"Sungai Changi, Malaysia",19.3
20260906,,Singapore Strait (NP203 472e) Current,"Pulau Buran / Sentosa (Cooper Channel), Singapore Current",Cooper Channel,2.17,"Sungai Changi, Malaysia",22.9
20260906,,Singapore Strait (NP203 472d) Current,"Palawan / Sentosa (Singapore Strait), Singapore Current",Keppel Harbour,1.36,"Sembawang Shipyard, Singapore",24.1
20260906,,Singapore Strait (NP203 472b) Current,"Semakau & Sebarok / Pulau Subar (Singapore Strait), Indonesia Current",Singapore Strait,5.09,"Sungai Changi, Malaysia",33.1
20260906,,Singapore Strait (NP203 472a) Current,"Terumbu Selegi / Sentosa (Singapore Strait), Singapore Current",Singapore Strait,2.75,"Sembawang Shipyard, Singapore",26.0
20260906,,Singapore Strait (NP203 472) Current,"Takong Kecil Lighthouse (Singapore Strait), Indonesia Current",Phillip Strait,1.13,"Sembawang Shipyard, Singapore",42.9
20260906,,Singapore Strait (NP203 471a) Current,"Pulau Takong Besar (Singapore Strait), Indonesia Current",Phillip Strait,3.70,"Raffles Lighthouse, Singapore",6.2
20260906,,Singapore Strait (NP203 470) Current,"Posal Piya (Singapore Strait), Indonesia Current",Marko,12.82,"Kukup, Malaysia",18.5
20260906,,The Gulf (NP203 424b) Current,"Mesaieed offshore (Persian Gulf), Qatar Current",,,"Sumaysimah, Qatar",80.5
20260906,,The Gulf (NP203 422) Current,"Sir Bani Yas / Ghashshah (Persian Gulf), United Arab Emirates Current",Sir Bani Yas,8.82,"Ghasha Light Buoy, United Arab Emirates",8.8
20260906,,"Strait of Hormuz, Oman Current","Strait of Hormuz (Jazirat Musandam), Oman Current",,,"Saqr Port (Mina Saqr), United Arab Emirates",77.6
20260906,,"Off Muscat, Oman Current","Khawr Riyam / Al Jazirah, Oman Current",Khawr Riyam,1.76,"Suhar (Sohar), Oman",205.6
20260906,,"Red Sea, Bab-el-Mandeb Current","Mayyun / Perim (Bab el Mandeb Strait), Yemen Current",Bab-el-Mandeb Strait,8.19,"Mayyun / Perim (Bab el Mandeb Strait), Yemen",7.7
