np203_no,name_alt,lat,lon,kandidat,art,km,schrift,buchhafen,buchhafen_nr,buchhafen_km,name_neu
415,"Red Sea, Bab-el-Mandeb Current",12.6450,43.3333,Bab-el-Mandeb Strait,strait,8.19,,"Mayyun / Perim (Bab el Mandeb Strait), Yemen",4153,7.7,"Mayyun / Perim (Bab el Mandeb Strait), Yemen Current"
415,"Red Sea, Bab-el-Mandeb Current",12.6450,43.3333,Dact-el-Mayun,strait,9.85,,"Mayyun / Perim (Bab el Mandeb Strait), Yemen",4153,7.7,
415,"Red Sea, Bab-el-Mandeb Current",12.6450,43.3333,Bab Iskander strait,strait,13.73,,"Mayyun / Perim (Bab el Mandeb Strait), Yemen",4153,7.7,
416,"Red Sea, West off Mokha Current",13.3967,42.9333,,,,,"Balhaf, Yemen",4160,569.9,
417,"Zuqar / Abu Ali Islands, Yemen Current",14.0533,42.8283,Abu Ail Islands,archipelago,3.38,,"Ash Shuwaymiyah, Oman",4170a,1409.7,
417,"Zuqar / Abu Ali Islands, Yemen Current",14.0533,42.8283,Jazirat Khawin,island,4.52,,"Ash Shuwaymiyah, Oman",4170a,1409.7,
417,"Zuqar / Abu Ali Islands, Yemen Current",14.0533,42.8283,Abu `Ali Island,coastline,2.97,,"Ash Shuwaymiyah, Oman",4170a,1409.7,
418,"Ras Hilf (Masirah Island), Oman Current",20.6983,58.8650,Juzayrah,island,14.94,,"Sur, Oman",4182,219.8,
419,"Off Muscat, Oman Current",23.6317,58.5900,Khawr Kalbuh,bay,1.19,,"Suhar (Sohar), Oman",4190,205.6,
419,"Off Muscat, Oman Current",23.6317,58.5900,Khor Muscat,bay,1.31,,"Suhar (Sohar), Oman",4190,205.6,
419,"Off Muscat, Oman Current",23.6317,58.5900,Khawr Riyam,bay,1.76,,"Suhar (Sohar), Oman",4190,205.6,"Khawr Riyam / Al Jazirah, Oman Current"
420,"Strait of Hormuz, Oman Current",26.3700,56.6950,,,,,"Saqr Port (Mina Saqr), United Arab Emirates",4200,77.6,"Strait of Hormuz (Jazirat Musandam), Oman Current"
420a,"Khawr Quway, Oman Current",26.3617,56.3633,Bab Shuraytah,strait,3.42,,"Saqr Port (Mina Saqr), United Arab Emirates",4200,52.7,
420a,"Khawr Quway, Oman Current",26.3617,56.3633,Strait of Hormuz,strait,12.84,,"Saqr Port (Mina Saqr), United Arab Emirates",4200,52.7,
420a,"Khawr Quway, Oman Current",26.3617,56.3633,Khawr Qaltah,bay,2.81,,"Saqr Port (Mina Saqr), United Arab Emirates",4200,52.7,
421,Al Ghallan / Al Tok Island Current,24.8633,53.7050,Zakum Tower 38 (1971),platform,6.81,,"Zaqqum Oilfield (Platform Zws), United Arab Emirates",4215,19.1,
421,Al Ghallan / Al Tok Island Current,24.8633,53.7050,Flare 2,platform,8.19,,"Zaqqum Oilfield (Platform Zws), United Arab Emirates",4215,19.1,
421,Al Ghallan / Al Tok Island Current,24.8633,53.7050,ADNOC Offshore Central Island,coastline,5.30,,"Zaqqum Oilfield (Platform Zws), United Arab Emirates",4215,19.1,
421a,"Sir Abu Nu'ayr N, United Arab Emirates Current",25.3000,54.2333,Sir Bu Nair Island,coastline,7.70,,"Sir Abu Nu'ayr, United Arab Emirates",4211,9.0,
421b,"Sir Abu Nu'ayr E, United Arab Emirates Current",25.2167,54.2833,Sir Bu Nair Island,coastline,6.64,,"Sir Abu Nu'ayr, United Arab Emirates",4211,4.8,
422,The Gulf (NP203 422) Current,24.3883,52.6383,Sir Bani Yas,island,8.82,,"Ghasha Light Buoy, United Arab Emirates",4223a,8.8,"Sir Bani Yas / Ghashshah (Persian Gulf), United Arab Emirates Current"
