name,meridian,tz,stunden,umgedreht,grund,fes_vorher,fes_nachher,zwilling,zwilling_vorher,zwilling_nachher,reihe,reihe_vorher_min,beleg,urteil
"Acapulco (Puerto), Guerrero, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",,M2+7 S2+1 K1+5 O1-3,"Acapulco, Guerrero, Mexico [harmonics_utide_observations.txt]",-50,-1,Mexico_UHSLC/316_Acapulco.csv,-720,FES+Zwilling,richten
"Acapulco (Icacos), Guerrero, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",,M2+3 S2+4 K1+5 O1-1,,,,Mexico_UHSLC/316_Acapulco.csv,-40,FES,richten
"Alvarado, Veracruz, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",,M2+24 K1+36 O1+46,,,,,,FES,richten
"Avilés, Spain",+01:00,Europe/Madrid,1.0,0,einheitlich -47 min gegen FES (Region),M2-51 S2-50 K1-43 O1-43,M2+9 S2+10 K1+17 O1+17,"Avilés, Spain [harmonics_utide_tidetables.txt]",-56,4,,,FES+Zwilling,richten
"Bahía de los Ángeles, Baja California, Mexico",-06:00,America/Tijuana,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-14 S2-0 K1-358 O1-415,M2-1 S2-0 K1-0 O1-0,"Bahia de los Angeles, Baja California, Mexico [harmonics_utide_observations.txt]",-38,0,Mexico_UHSLC/310_Bahia_de_los_Angeles.csv,-30,FES+Zwilling,richten
"Bakar, Croatia",+01:00,Europe/Zagreb,-1.0,0,einheitlich +57 min gegen FES (Region),M2+57 S2+47 K1+66 O1+57,M2-3 S2-13 K1+6 O1-3,,,,,,FES,offen
"Balise A (Embouchure de la Seine), France",+01:00,Europe/Paris,1.0,0,einheitlich -62 min gegen FES (Region),M2-62 S2-60 K1-56 O1-69,M2-2 S2+0 K1+4 O1-9,,,,,,FES,richten
"Bénodet (L'Odet), France",+01:00,Europe/Paris,1.0,0,einheitlich -57 min gegen FES (Region),M2-57 S2-57 K1-60 O1-52,M2+3 S2+3 K1+0 O1+8,"Bénodet (L'Odet), France [harmonics_utide_tidetables.txt]",-59,1,France_SHOM_2026/BENODET.csv,-60,FES+Zwilling+Reihe,richten
"Cabo San Lucas, Baja California Sur, Mexico",+00:00,America/Mazatlan,0.0,1,Kurve umgedreht (alle Partialtiden 180 Grad),M2+370 S2-363 K1-725 O1-780,M2-2 S2-3 K1-7 O1-5,"Cabo San Lucas, Baja California Sur, Mexico [harmonics_utide_observations.txt]",398,-2,Mexico_UHSLC/34_Cabo_San_Lucas.csv,390,FES+Zwilling,richten
"Isla de Cedros, Baja California, Mexico",-06:00,America/Tijuana,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-11 S2-0 K1-355 O1-409,M2+2 S2-0 K1+3 O1+6,"Isla de Cedros, Baja California, Mexico [harmonics_utide_observations.txt]",-43,0,Mexico_UHSLC/305_Isla_de_Cedros.csv,-40,FES+Zwilling,richten
"Ciudad Del Carmen (Sector Naval), Campeche, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-11 K1-294 O1-339,M2+2 K1+64 O1+75,"Ciudad Del Carmen (Sector Naval), Campeche, Mexico [harmonics_utide_observations.txt]",-142,-7,Mexico_UHSLC/779_Ciudad_del_Carmen.csv,720,Zwilling,richten
"Ciudad del Carmen (Faro Atalaya), Campeche, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-11 K1-294 O1-339,M2+2 K1+64 O1+75,"Ciudad Del Carmen (Sector Naval), Campeche, Mexico [harmonics_utide_observations.txt]",-142,-7,Mexico_UHSLC/779_Ciudad_del_Carmen.csv,720,Zwilling,richten
"Coatzacoalcos, Veracruz, Mexico",-06:00,America/Mexico_City,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",,M2+8 K1+14 O1+24,,,,,,FES,richten
"Den Helder, Netherlands",+01:00,Europe/Amsterdam,1.0,0,einheitlich -48 min gegen FES (Region),M2-47 S2-47 K1-45 O1-53,M2+13 S2+13 K1+15 O1+7,"Den Helder, Marsdiep, Netherlands [harmonics_utide_observations.txt]",-60,0,,,FES+Zwilling,richten
"Ensenada, Baja California, Mexico",-06:00,America/Tijuana,-6.0,1,"Mexiko: Kurve umgedreht, Juli-Eingriff -06:00 nur an M2 geprueft",M2-18 S2-9 K1-364 O1-419,M2-6 S2-9 K1-6 O1-4,"Ensenada, Baja California, Mexico [harmonics_utide_observations.txt]",-56,-7,Mexico_UHSLC/317_Ensenada.csv,-50,FES+Zwilling,richten
"Ferring, Denmark",+01:00,Europe/Copenhagen,1.0,0,einheitlich -47 min gegen FES (Region),M2-48 S2-48 O1-46,M2+12 S2+12 O1+14,,,,,,FES,richten
