klasse,name,datei,versatz_min,zwilling,zwilling_datei,zwilling_km,zwilling_gegen_fes_min,ticon_gegen_fes,je_tide,messung_min
A,"K13 Alpha Platform, Netherlands",harmonics_ticon4_worldwide.txt,-26,"K13A platform, Netherlands",harmonics-2004-06-14_mod.txt,0.15,5,M2-24 S2-26 K1-16 O1-28,M2-25 S2-26 K1-24 O1-36,
A,"Mellumplate (Jade), Germany",harmonics_ticon4_worldwide.txt,38,"Mellumplate (Jade), Germany",harmonics_utide_observations.txt,0.0,-5,M2+35 S2+31 K1+33 O1+21,M2+38 S2+38 K1+31 O1+35,
A,"Dagebüll, Germany",harmonics_ticon4_worldwide.txt,40,"Dagebüll, Germany",harmonics_utide_observations.txt,0.0,-12,M2+31 S2+44 K1+11 O1+22,M2+40 S2+42 K1+32 O1+38,
B,"Thessaloniki, Greece",harmonics_ticon4_worldwide.txt,-594,"Thessaloniki, Greece",harmonics_att_np208_secondary.txt,0.0,,M2+241 S2+231,M2+148 S2+120,
B,"Willemstad (Hollandsch Diep), Netherlands",harmonics_ticon4_worldwide.txt,-120,"Willemstad, Hollandsch Diep, Netherlands",harmonics_utide_observations.txt,1.02,,M2+50,M2-120,-120.0
B,"Vuren (Waal), Netherlands",harmonics_ticon4_worldwide.txt,-114,"Dalem, Netherlands",harmonics_utide_observations.txt,0.01,,M2+30 S2+79,M2-114 S2-113,-110.0
B,"Lagos Bar, Nigeria",harmonics_ticon4_worldwide.txt,-92,"Lagos Bar, Nigeria",harmonics_att_np208_secondary.txt,0.0,109,M2+8 S2+16 K1+15,M2-92 S2-94 K1-97,
B,"Bayonne (Pont Blanc), France",harmonics_ticon4_worldwide.txt,-62,"Bayonne (Pont Blanc), France",harmonics_utide_observations.txt,0.0,62,M2-29 S2-24 K1+17 O1+14,M2-60 S2-62 K1-72 O1-71,-55.0
B,"Mawson, Antarctica",harmonics_ticon4_worldwide.txt,-60,"Mawson, Antarctica",harmonics_att_np203_secondary.txt,0.0,54,M2-9 S2-10 K1-8 O1+2,M2-64 S2-60 K1-61 O1-56,
B,"Owenga, Chatham, Island, New Zealand",harmonics_ticon4_worldwide.txt,-56,"Owenga, Chatham, Island, New Zealand",harmonics_utide_tidetables.txt,0.0,,M2-51,M2-56,
B,"Lagos (Apapa), Nigeria",harmonics_ticon4_worldwide.txt,-45,"Lagos (Apapa), Nigeria",harmonics_att_np208.txt,0.0,,,,
B,"Buenos Aires (Muelle de Pescadores), Buenos Aires, Argentina",harmonics_ticon4_worldwide.txt,-40,"Buenos Aires (Muelle de Pescadores), Buenos Aires, Argentina",harmonics_utide_tidetables.txt,0.01,112,M2-18 S2-57 K1+507 O1+198,M2-38 S2-66 K1-49 O1-7,14.0
B,"La Spezia, Italy",harmonics_ticon4_worldwide.txt,-37,"La Spezia, Italy",harmonics_att_np208.txt,0.0,-23,M2-58 S2-55 K1-69,M2-35 S2-46 K1-29,
B,"São Tomé (Baía de Ana Chaves), São Tomé and Príncipe",harmonics_ticon4_worldwide.txt,-37,"São Tomé (Baía de Ana Chaves), São Tomé and Príncipe",harmonics_att_np208_secondary.txt,0.0,35,M2-1 S2+1 K1-1,M2-36 S2-61 K1-32,
B,"Port-Saint-François, Québec, Canada",harmonics_ticon4_worldwide.txt,-34,"Port-Saint-François, Québec, Canada",harmonics_utide_tidetables.txt,0.0,,,,-20.0
B,"Eider-Sperrwerk (Binnenpegel), Germany",harmonics_ticon4_worldwide.txt,-26,"Eider-Sperrwerk (Binnenpegel), Germany",harmonics_utide_observations.txt,0.0,40,M2+14 S2+20 K1-31 O1+0,M2-24 S2-22 K1-61 O1-72,-10.0
B,"Elmshorn (Krückau Hafen), Germany",harmonics_ticon4_worldwide.txt,34,"Elmshorn (Krückau Hafen), Germany",harmonics_utide_observations.txt,0.0,196,M2+178 S2+160 K1+287 O1+501,M2+34 S2+36 K1+39 O1+40,40.0
B,"Itzehoe (Stör Hafen), Germany",harmonics_ticon4_worldwide.txt,37,"Itzehoe (Stör Hafen), Germany",harmonics_utide_observations.txt,0.0,167,M2+193 S2+184 K1+213 O1+361,M2+36 S2+36 K1+36 O1+38,40.0
B,"Krückau-Sperrwerk (Binnenpegel), Germany",harmonics_ticon4_worldwide.txt,37,"Krückau-Sperrwerk (Binnenpegel), Germany",harmonics_utide_observations.txt,0.02,113,M2+136 S2+120 K1+170 O1+401,M2+37 S2+38 K1+43 O1+40,40.0
B,"Pinnau-Sperrwerk (Binnenpegel), Germany",harmonics_ticon4_worldwide.txt,37,"Pinnau-Sperrwerk (Binnenpegel), Germany",harmonics_utide_observations.txt,0.01,125,M2+144 S2+129 K1+187 O1+415,M2+37 S2+37 K1+43 O1+40,40.0
