tafel,satz,datei,km,tafel_test_cm,tafel_dt_min,reihe,reihe_km,echt_cm,echt_versatz_min,eigen,nachbar_pct,empfehlung
Penzance (Newlyn),NEU tidetimes-Fit,(neu),0.0,21.1,4.9,NEW2309.txt,0.61,17.3,0,,5.3,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
Penzance (Newlyn),"Newlyn (Penzance), England, United Kingdom",harmonics_noaa_eutt.txt,0.61,24.9,14.0,NEW2309.txt,0.61,24.7,-10,,9.8,
Penzance (Newlyn),"Newlyn (Penzance), England, United Kingdom",harmonics_utide_observations.txt,0.61,12.1,2.0,NEW2309.txt,0.61,6.5,0,ja,,
Penzance (Newlyn),"Newlyn (Penzance), England, United Kingdom",harmonics_utide_observations.txt,0.6,12.1,2.0,NEW2309.txt,0.61,6.5,0,ja,,
Plymouth (Devonport),NEU tidetimes-Fit,(neu),0.0,23.7,3.8,DEV2309.txt,0.23,20.8,10,,,nicht aufnehmen (Bestand aus Messung an diesem Pegel)
Plymouth (Devonport),"Devonport, England, United Kingdom",harmonics_utide_observations.txt,0.23,12.8,3.8,DEV2309.txt,0.23,13.0,0,ja,,
Teignmouth (Approaches),NEU tidetimes-Fit,(neu),0.0,19.2,4.8,,,,,,4.6,nicht aufnehmen (unentschieden)
Teignmouth (Approaches),"Teignmouth, England, United Kingdom",harmonics_noaa_eutt.txt,0.92,26.8,27.6,,,,,,,
Teignmouth (Approaches),"Teignmouth, England, United Kingdom",harmonics_ticon4_worldwide.txt,0.92,16.3,9.2,,,,,,,
Teignmouth (Approaches),"Teignmouth, England, United Kingdom",harmonics_utide_observations.txt,0.92,12.9,8.8,,,,,,3.2,
Teignmouth (New Quay),NEU tidetimes-Fit,(neu),0.0,17.4,3.7,,,,,,5.9,nicht aufnehmen (Nachbarn)
Teignmouth (New Quay),"Teignmouth, England, United Kingdom",harmonics_noaa_eutt.txt,0.88,27.0,34.2,,,,,,,
Teignmouth (New Quay),"Teignmouth, England, United Kingdom",harmonics_ticon4_worldwide.txt,0.88,13.7,14.2,,,,,,,
Teignmouth (New Quay),"Teignmouth, England, United Kingdom",harmonics_utide_observations.txt,0.88,11.3,13.7,,,,,,3.2,
Starcross,NEU tidetimes-Fit,(neu),0.0,15.3,3.4,rloi3252.json,2.59,21.9,0,,10.8,nicht aufnehmen (Pegel)
Starcross,"Exmouth Dock, England, United Kingdom",harmonics_literature.txt,2.59,11.5,9.9,rloi3252.json,2.59,11.2,0,,,
Starcross,"Exmouth, England, United Kingdom",harmonics_utide_observations.txt,2.59,11.5,10.5,rloi3252.json,2.59,10.7,0,,8.0,
Portland,NEU tidetimes-Fit,(neu),0.0,11.5,11.9,WEY2309.txt,4.76,19.0,-40,,17.9,nicht aufnehmen (Pegel)
Portland,"Portland, England, United Kingdom",harmonics_noaa_eutt.txt,0.65,22.3,52.2,WEY2309.txt,4.76,22.6,-75,,27.0,
Portland,"Chesil Cove, England, United Kingdom",harmonics_utide_tidetables.txt,2.36,43.1,28.2,WEY2309.txt,4.76,43.3,-30,,,
Swanage,NEU tidetimes-Fit,(neu),0.0,7.7,11.8,,,,,,24.9,nicht aufnehmen (unentschieden)
Swanage,"Swanage, England, United Kingdom",harmonics_ticon4_worldwide.txt,0.82,7.6,17.4,,,,,,,
Swanage,"Swanage, England, United Kingdom",harmonics_utide_observations.txt,0.82,6.8,8.4,,,,,,24.0,
Bournemouth,NEU tidetimes-Fit,(neu),0.0,8.5,10.0,BOU2309.txt,0.64,19.6,-5,,20.3,nicht aufnehmen (Pegel)
Bournemouth,"Bournemouth, England, United Kingdom",harmonics_ticon4_worldwide.txt,0.63,7.1,13.8,BOU2309.txt,0.64,6.5,0,,19.5,
Lymington,NEU tidetimes-Fit,(neu),0.0,16.1,16.6,,,,,,,kein Bestand im Umkreis
Sandown,NEU tidetimes-Fit,(neu),0.0,15.5,5.2,,,,,,9.3,nicht aufnehmen (Nachbarn)
Sandown,"Sandown (Isle of Wight), England, United Kingdom",harmonics_ticon4_worldwide.txt,0.26,7.3,17.3,,,,,,,
Sandown,"Sandown (Isle of Wight), England, United Kingdom",harmonics_utide_observations.txt,0.26,5.2,21.1,,,,,,6.3,
Southampton,NEU tidetimes-Fit,(neu),0.0,13.3,23.7,,,,,,8.7,Nachbarn fuer neu
Southampton,"Southampton (Dock Head), England, United Kingdom",harmonics_ticon4_worldwide.txt,0.49,12.9,25.0,,,,,,14.1,
