slug,name,dizi,punkte,lat,lon,an_land,r2,rms_cm,eigen_min,m2,k1,o1,fes,status,bestand
dao-chang-tay,"Dao Tran, Vietnam",1,8784,21.25,107.95,False,0.9956,7.5,0,0.087,0.869,1.024,M2 +85min 0.31x K1 -21min 1.01x O1 -22min 1.11x,kandidat,"_att_np203_scs.txt|Tsieng Mun, Vietnam [A 36.9 km ADMIRALTY Tide Tables Vol] Kurve 11.1% HW +38 NW +95 K1 +5 O1 +10 ; _att_np203_scs.txt|Dao Co To, Vietnam [A 37.0 km ADMIRALTY Tide Tables Vol] Kurve 11.5% HW +47 NW +111 K1 +49 O1 -3 ; _utide_tidetables.txt|Bailongwei, Guangxi, China [A 39.5 km NMDIS hourly tide predict] Kurve 5.2% HW +37 NW +79 K1 -5 O1 -14 ; _utide_tidetables.txt|Zhenzhugang, Guangxi, China [A 39.8 km NMDIS hourly tide predict] Kurve 5.2% HW +8 NW +90 K1 +2 O1 -8"
van-hoa,"Van Hoa, Vietnam",2,0,,,,,,,,,,,zu wenig Daten,
cua-ong,"Cua Ong, Vietnam",3,8784,21.0333,107.3667,True,0.9956,7.0,0,0.121,0.821,0.965,M2 +121min 0.90x S2 +175min 0.21x K1 +26min 1.41x O1 +19min 1.34x,kandidat,"-1997-05-25_mod.txt|Cam Pha (Bien Dong Viet Nam), Vietnam [A 1.4 km ] Kurve 8.1% HW +61 NW +94 K1 +79 O1 +17 ; _att_np203_scs.txt|Cam Pha (Bien Dong Viet Nam), Vietnam [A 1.4 km ADMIRALTY Tide Tables Vol] Kurve 14.3% HW +99 NW +106 K1 +71 O1 +17 ; _noaa_cptt.txt|Cam Pha (Bien Dong Viet Nam), Vietnam [- 1.4 km NOAA Tide Tables Pacific ] Kurve 11.4% HW +154 NW +35 K1 +60 O1 +53 ; _att_np203_scs.txt|Dao Cai Bau, Vietnam [A 16.7 km ADMIRALTY Tide Tables Vol] Kurve 12.0% HW +95 NW +126 K1 +35 O1 +39 ; _att_np203_scs.txt|Tsieng Mun, Vietnam [A 28.2 km ADMIRALTY Tide Tables Vol] Kurve 12.0% HW +108 NW +117 K1 +43 O1 +47 ; -1997-05-25_mod.txt|Hong Gai (Ha Long), Vietnam [A 32.3 km ] Kurve 4.2% HW +56 NW -58 K1 +15 O1 -30"
vinh-cat-ba,"Vinh Cat Ba, Vietnam",5,8784,20.7167,107.05,True,0.9969,5.5,0,0.043,0.777,0.911,M2 -122min 1.09x S2 -4min 0.46x K1 +35min 1.08x O1 +26min 1.14x,kandidat,"_att_np203_scs.txt|Passe des Hydres, Vietnam [A 10.3 km ADMIRALTY Tide Tables Vol] Kurve 13.2% HW +55 NW +140 K1 +69 O1 +36 ; _utide_observations.txt|Hon Dau, Vietnam [A 25.1 km Derived from UHSLC hourly] Kurve 3.2% HW -20 NW -32 K1 +13 O1 +9 ; -1997-05-25_mod.txt|Do Son, Vietnam [A 25.6 km ] Kurve 3.8% HW +15 NW -15 K1 +17 O1 +10 ; -1997-05-25_mod.txt|Hong Gai (Ha Long), Vietnam [A 26.4 km ] Kurve 3.3% HW -2 NW -0 K1 +29 O1 -16 ; _att_np203_scs.txt|Hong Gai (Ha Long), Vietnam [A 26.4 km ADMIRALTY Tide Tables Vol] Kurve 7.0% HW +25 NW +39 K1 +29 O1 -16 ; _utide_tidetables.txt|Hong Gai (Ha Long), Vietnam [A 26.4 km VHO Navy hourly tide pred] Kurve 2.2% HW -5 NW +15 K1 +9 O1 +13"
hai-phong,"Hai Phong, Vietnam",6,8784,20.8667,106.6833,True,0.9968,5.6,0,0.038,0.772,0.904,M2 +106min 0.73x S2 +73min 0.27x K1 +87min 1.41x O1 +84min 1.36x,kandidat,"-1997-05-25_mod.txt|Haiphong (Song Cam), Vietnam [A 1.3 km ] Kurve 4.8% HW +8 NW -14 K1 +7 O1 +8 ; _att_np203_scs.txt|Haiphong (Song Cam), Vietnam [A 1.3 km ADMIRALTY Tide Tables Vol] Kurve 10.9% HW +48 NW +18 K1 +7 O1 +12 ; _att_np203_scs.txt|Do Son, Vietnam [A 19.6 km ADMIRALTY Tide Tables Vol] Kurve 15.7% HW +112 NW +123 K1 +87 O1 +81 ; -1997-05-25_mod.txt|Do Son, Vietnam [A 25.3 km ] Kurve 7.7% HW +79 NW +52 K1 +79 O1 +72 ; _utide_observations.txt|Hon Dau, Vietnam [A 25.9 km Derived from UHSLC hourly] Kurve 7.4% HW +62 NW +36 K1 +75 O1 +72"
bach-long-vy,"Bach Long Vy, Vietnam",8,8784,20.1333,107.7167,False,0.9971,4.8,0,0.038,0.7,0.82,M2 -148min 0.39x S2 -73min 0.41x K1 +15min 1.03x O1 +10min 1.08x,kandidat,
cua-ba-lat,"Cua Ba Lat, Vietnam",9,8784,20.35,106.6333,False,0.9971,5.0,0,0.09,0.722,0.848,M2 +52min 0.99x S2 +25min 0.47x K1 +25min 1.09x O1 +17min 1.14x,kandidat,
van-ly,"Van Ly, Vietnam",10,8784,20.1167,106.3,True,0.9964,5.4,0,0.13,0.697,0.817,M2 +54min 0.74x S2 +24min 0.44x K1 +7min 1.15x O1 -4min 1.19x,kandidat,"_att_np203_scs.txt|Hon Ne, Vietnam [A 37.7 km ADMIRALTY Tide Tables Vol] Kurve 8.1% HW +60 NW +56 K1 -10 O1 +35"
lach-truong,"Lach Truong, Vietnam",11,8784,19.8833,105.9333,True,0.9967,5.2,0,0.11,0.698,0.817,M2 +45min 0.46x S2 +21min 0.32x K1 -10min 1.21x O1 -22min 1.25x,kandidat,"_att_np203_scs.txt|Hon Ne, Vietnam [A 8.8 km ADMIRALTY Tide Tables Vol] Kurve 7.6% HW +54 NW +32 K1 -22 O1 +22"
hon-me,"Hon Me, Vietnam",12,8784,19.4333,105.8833,False,0.995,5.7,0,0.148,0.626,0.735,M2 +58min 0.55x S2 +34min 0.36x K1 -2min 1.15x O1 -13min 1.18x,kandidat,
lach-quen,"Lach Quen, Vietnam",13,8784,19.1,105.7,True,0.979,8.4,0,0.207,0.401,0.506,M2 +158min 0.69x S2 +135min 0.56x K1 +122min 0.79x O1 +113min 0.86x,kandidat,"-1997-05-25_mod.txt|Hon Ngu (Cua Lo), Vietnam [A 34.4 km ] Kurve 10.8% HW +112 NW +163 K1 +140 O1 +105 ; _att_np203_scs.txt|Hon Ngu (Cua Lo), Vietnam [A 34.4 km ADMIRALTY Tide Tables Vol] Kurve 14.0% HW +118 NW +158 K1 +144 O1 +58 ; _att_np203_scs.txt|Cua Hoi, Vietnam [A 37.8 km ADMIRALTY Tide Tables Vol] Kurve 10.3% HW +77 NW +116 K1 -23 O1 +84 ; _utide_tidetables.txt|Cua Hoi, Vietnam [A 37.8 km VHO Navy hourly tide pred] Kurve 9.4% HW +82 NW +145 K1 +81 O1 +84"
cua-nhat-le,"Cua Nhat Le, Vietnam",16,8784,17.5,106.6,True,0.9757,5.3,0,0.146,0.206,0.281,M2 +46min 0.62x S2 +45min 0.68x K1 -10min 0.98x O1 -11min 0.97x,kandidat,"_utide_tidetables.txt|Cua Gianh (Thanh Gianh), Vietnam [A 25.8 km VHO Navy hourly tide pred] Kurve 4.8% HW +349 NW +8 K1 -36 O1 -22"
cua-tung,"Cua Tung, Vietnam",17,8784,17.0167,107.1,True,0.9757,4.7,0,0.129,0.181,0.249,M2 +45min 0.62x S2 +69min 0.64x K1 -58min 2.29x O1 -28min 1.52x,kandidat,"_utide_tidetables.txt|Cua Viet, Vietnam [A 15.7 km VHO Navy hourly tide pred] Kurve 17.9% HW +220 NW -9 K1 -49 O1 -142"
