datei,name,lat,lon,confidence,art,vermerk,entscheidung,nachbar,nachbar_km,nachbar_rms_cm,eigen_rms_cm,kurve_prozent,nachbar,nachbar_km,nachbar_rms_cm,eigen_rms_cm,kurve_prozent
harmonics_mascaret_peniche.txt,"La Peniche du Mascaret, Dordogne, France (bore arrival)",44.9363,-0.3436,5,ACHTUNG,ACHTUNG: Pseudo-Station! HW-Zeit = Wellendurchgang am Ankunftspunkt,,,,,,,,,,,
harmonics_att_np208.txt,"Shëngjin, Albania",41.8110,19.5860,4,ACHTUNG,"note: NP208 Part III S.298, Zone -0100. Konstanten aus 15 Tagen Beobachtung (s). Luecke (3-km-Regel).",,,,,,,,,,,
harmonics_att_np203_scs_secondary.txt,"Kuala Perlis, Malaysia",6.4008,100.1320,3,"ACHTUNG,approximate (Buch)","note: ACHTUNG -- das Buch markiert die Zeitdifferenzen dieser Station mit ""t"" (approximate). Die Phase haengt allein daran.",,,,,,,,,,,
harmonics_att_np203_scs_secondary.txt,"Port Masinloc, Philippines",15.5167,119.9167,3,"ACHTUNG,approximate (Buch)","note: ACHTUNG -- das Buch markiert die Zeitdifferenzen dieser Station mit ""t"" (approximate). Die Phase haengt allein daran.",,,,,,,,,,,
harmonics_att_np203_scs_secondary.txt,"Tanjung Pelepas, Malaysia",1.3500,103.5500,3,"ACHTUNG,approximate (Buch)","note: ACHTUNG -- das Buch markiert die Zeitdifferenzen dieser Station mit ""t"" (approximate). Die Phase haengt allein daran.",,,,,33.1,,,,,33.1,
harmonics_fes2022.txt,"Aguadulce, Panama",8.2015,-80.4836,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Boca Chica, Panama",8.2188,-82.2193,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Com (Lautem), Timor-Leste",-8.3400,127.0700,5,Modell statt Messung,"note: MODEL-DERIVED (not observations), FES2022b at port location",,,,,,,,,,,
harmonics_fes2022.txt,"Dili, Timor-Leste",-8.5450,125.5780,5,Modell statt Messung,"note: MODEL-DERIVED (not observations), FES2022b at port location",,,,,,,,,,,
harmonics_fes2022.txt,"Dumai, Sumatra, Indonesia",1.6892,101.4441,4,Modell statt Messung,"note: MODEL-DERIVED (not observations), BIG assimiliert lokalen Pegel",,,,,,,,,,,
harmonics_fes2022.txt,"Isla Coiba, Panama",7.4600,-81.7100,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Isla Contadora, Panama",8.6296,-79.0413,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"La Palma, Panama",8.4103,-78.1396,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Maintirano, Madagascar",-18.0624,44.0159,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Morondava, Madagascar",-20.2891,44.2736,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Moroni (Ngazidja / Grande Comore), Comoros",-11.7000,43.2500,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Pante Macassar (Oecusse), Timor-Leste",-9.1750,124.3750,5,Modell statt Messung,"note: MODEL-DERIVED (not observations), FES2022b at port location",,,,,,,,,,,
harmonics_fes2022.txt,"Pekalongan, Java, Indonesia",-6.8585,109.6928,5,Modell statt Messung,"note: MODEL-DERIVED (not observations), FES2022b at port location",,,,,,,,,,,
harmonics_fes2022.txt,"Puerto Mensabé, Panama",7.7563,-80.1680,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Puerto Mutis, Panama",7.9260,-81.0555,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Puerto Pedregal, Panama",8.3623,-82.4375,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Puerto Potosí, Nicaragua",13.0100,-87.5000,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Punta Burica, Panama",8.0400,-82.8800,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Safaga (Bur Safajah), Egypt",26.7420,33.9450,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Kein Pegel und kein ATT-Sekundaerhafen,,,,,,,,,,,
harmonics_fes2022.txt,"Singkawang, Borneo, Indonesia",0.9000,108.9500,5,Modell statt Messung,"note: MODEL-DERIVED (not observations), FES2022b at port location",,,,,,,,,,,
harmonics_fes2022.txt,"Soma Bay (Ra's Abu Suma), Egypt",26.8420,33.9880,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Kein Pegel und kein ATT-Sekundaerhafen,,,,,,,,,,,
harmonics_fes2022.txt,"Suai, Timor-Leste",-9.4000,125.2500,5,Modell statt Messung,"note: MODEL-DERIVED (not observations), FES2022b at port location",,,,,,,,,,,
harmonics_fes2022.txt,"Tanga, Tanzania",-5.0571,39.1292,5,Modell statt Messung,note: MODEL-DERIVED (not observations). Macrotidal open-coast gap with no,,,,,,,,,,,
harmonics_fes2022.txt,"Tegal, Java, Indonesia",-6.8400,109.1300,5,Modell statt Messung,"note: MODEL-DERIVED (not observations), FES2022b at port location",,,,,,,,,,,
harmonics_utide_tidetables.txt,"Balneário Barra do Sul, Santa Catarina, Brazil",-26.4546,-48.5971,6,approximate (Buch),note: local UTC-3 (no DST). Coordinates approximate (town/port level).,,,,,,,,,,,
harmonics_utide_tidetables.txt,"Balneário Camboriú, Santa Catarina, Brazil",-26.9886,-48.6289,6,approximate (Buch),note: local UTC-3 (no DST). Coordinates approximate (town/port level).,,,,,,,,,,,
harmonics_utide_tidetables.txt,"Balneário Rincão, Santa Catarina, Brazil",-28.8270,-49.2139,6,approximate (Buch),note: local UTC-3 (no DST). Coordinates approximate (town/port level).,,,,,,,,,,,
harmonics_utide_tidetables.txt,"Barra Velha, Santa Catarina, Brazil",-26.6337,-48.6791,6,approximate (Buch),note: local UTC-3 (no DST). Coordinates approximate (town/port level).,,,,,,,,,,,
harmonics_att_np202.txt,"Guayamare Point, Trinidad and Tobago",10.7766,-60.9448,3,approximate (Buch),note: NE Trinidad; data approx; phases ATT zone +0400; N2/K2 inferred,,,,,,,,,,,
harmonics_utide_tidetables.txt,"Ilha da Paz (São Francisco do Sul), Santa Catarina, Brazil",-26.1782,-48.4834,6,approximate (Buch),note: local UTC-3 (no DST). Coordinates approximate (town/port level).,,,,,,,,,,,
harmonics_utide_tidetables.txt,"Itapoá, Santa Catarina, Brazil",-26.1115,-48.6010,6,approximate (Buch),note: local UTC-3 (no DST). Coordinates approximate (town/port level).,,,,,,,,,,,
harmonics_utide_tidetables.txt,"Joinville (Baía da Babitonga), Santa Catarina, Brazil",-26.2946,-48.7810,6,approximate (Buch),note: local UTC-3 (no DST). Coordinates approximate (town/port level).,,,,,,,,,,,
harmonics_utide_tidetables.txt,"Laguna (Porto), Santa Catarina, Brazil",-28.4963,-48.7628,6,approximate (Buch),note: local UTC-3 (no DST). Coordinates approximate (town/port level).,,,,,,,,,,,
harmonics_utide_tidetables.txt,"Passo de Torres, Santa Catarina, Brazil",-29.3262,-49.7146,6,approximate (Buch),note: local UTC-3 (no DST). Coordinates approximate (town/port level).,,,,,,,,,,,
harmonics_utide_tidetables.txt,"Moyapur, West Bengal, India",22.4333,88.1333,6,fragwuerdig,note: Uebernommen wurde die Buchposition. Restunsicherheit einige Kilometer.,,,,,,,,,,,
