Station Name;Reference Station;Longitude;Latitude;Timezone;Hmin (High Tide Time Add);Hmpy (High Tide Level Multiply);Hoff (High Tide Level Add);Lmin (Low Tide Time Add);Lmpy (Low Tide Level Multiply);Loff (Low Tide Level Add);HW1_Zeit;HW1_Stand;HW2_Zeit;HW2_Stand;NW1_Zeit;NW1_Stand;NW2_Zeit;NW2_Stand
Admiralty Bay, South Shetlands;Pictou, Nova Scotia;-58,4;-62,05;0:0;529;1;0;545;1;0;14:25;1,42;02:22;1,66;20:11;0,94;;
Ahipara Bay, New Zealand;Port Taranaki, New Zealand;173,1167;-35,1667;0:0;15;1,03;0;15;1,03;0;06:24;2,76;18:51;2,83;12:39;1,16;;
Akaroa, New Zealand;Lyttelton, New Zealand;172,9167;-43,8;0:0;45;1,11;0;40;1,11;0;01:39;2,40;14:04;2,39;07:46;0,75;20:15;0,69
Akaroa, New Zealand(2);Lyttelton, New Zealand;172,9167;-43,8;0:0;45;1,11;0;40;1,11;0;01:39;2,40;14:04;2,39;07:46;0,75;20:15;0,69
Alberton, Prince Edward Island (2);Pictou, Nova Scotia;-64,05;46,8167;0:0;-267;1;-0,2;-250;1;0;01:09;1,22;13:06;1,46;06:56;0,94;;
Amherst Harbour, Magdalen Islands, Gulf of St. Lawrence, Québec;Pictou, Nova Scotia;-61,8333;47,2333;0:0;-65;0,52;0;-67;0,56;0;04:31;0,74;16:28;0,86;09:59;0,53;;
Amherst Point, Cumberland Basin, Nova Scotia;Saint John, New Brunswick;-64,2833;45,8333;0:0;33;1,69;0;45;1,54;0;08:06;12,13;20:34;11,75;02:03;2,66;14:36;2,57
Angmagssalik (Kulusuk), Greenland;Harrington Harbour, Québec;-37,15;65,6;0:0;-480;1,71;0;-470;1,71;0;23:05;2,68;11:09;2,41;16:37;1,23;05:34;1,42
Aningaq, Rifkol, Greenland;Harrington Harbour, Québec;-53,8333;67,9167;0:0;-162;1;0,1;-162;1;0;04:23;1,67;16:27;1,51;21:45;0,72;10:42;0,83
Anita Bay, New Zealand;Westport, New Zealand;167,8;-44,5833;0:0;30;0,68;0;30;0,68;0;07:44;1,74;20:12;1,80;01:30;0,67;13:57;0,71
Annapolis Royal, Annapolis River, Nova Scotia;Saint John, New Brunswick;-65,5;44,75;0:0;6;1;0,2;10;1;0;07:39;7,38;20:07;7,15;01:28;1,73;14:01;1,67
Antigonish Harbour, Nova Scotia (2);Pictou, Nova Scotia;-61,8833;45,6667;0:0;9;1;-0,1;17;1;0;05:45;1,32;17:42;1,56;11:23;0,94;;
Aotea Harbour, New Zealand;Port Taranaki, New Zealand;174,8333;-38;0:0;4;1,06;0;4;1,06;0;06:13;2,84;18:40;2,92;12:28;1,20;;
Arichat, Nova Scotia (2);Halifax, Nova Scotia;-61,0333;45,5167;0:0;25;1;0;14;1;0;04:03;1,61;16:41;1,44;10:43;0,46;22:44;0,57
Ariege Bay, Newfoundland;Halifax, Nova Scotia;-56;51,1667;0:0;-64;1;-0,2;-64;1;-0,1;02:34;1,41;15:12;1,24;09:25;0,36;21:26;0,47
Ashe Inlet, Big Island, Nunavut (2);Saint John, New Brunswick;-70,5833;62,55;0:0;-166;1;0,4;-163;1;0,2;04:47;7,58;17:15;7,35;22:35;1,93;11:08;1,87
Assistance Bay, Barrow Strait, Nunavut;Harrington Harbour, Québec;-94,25;74,6167;0:0;176;1;0;177;1;0;10:01;1,57;22:05;1,41;03:24;0,72;16:21;0,83
Astrolabe Road, New Zealand;Nelson, New Zealand;173,05;-40,9667;0:0;20;1,31;0;20;1,31;0;06:14;4,39;18:53;4,48;12:33;1,93;;
Astrolabe Road, New Zealand(2);Nelson, New Zealand;173,05;-40,9667;0:0;20;1,31;0;20;1,31;0;06:14;4,39;18:53;4,48;12:33;1,93;;
Auckland Island (Carnley Harbour), New Zealand;Bluff, New Zealand;165,0833;-50,8667;0:0;36;0,47;0;43;0,47;0;11:32;1,15;23:58;1,17;05:19;0,49;17:49;0,51
Auckland Island (Carnley Harbour), New Zealand(2);Bluff, New Zealand;165,0833;-50,8667;0:0;36;0,47;0;43;0,47;0;11:32;1,15;23:58;1,17;05:19;0,49;17:49;0,51
Auld Cove, Nova Scotia (2);Pictou, Nova Scotia;-61,4333;45,65;0:0;27;0,62;0,1;33;0,62;0,1;06:03;0,98;18:00;1,13;11:39;0,68;;
Back Bay, Letite Harbour, New Brunswick (2);Saint John, New Brunswick;-66,8667;45,05;0:0;0;1;-0,3;3;1;0;07:33;6,88;20:01;6,65;01:21;1,73;13:54;1,67
Barrington Passage, Nova Scotia (2);Halifax, Nova Scotia;-65,6;43,5333;0:0;51;1;0,1;30;1;0;04:29;1,71;17:07;1,54;10:59;0,46;23:00;0,57
Bathurst, New Brunswick (2);Pictou, Nova Scotia;-65,65;47,6167;0:0;364;1;0;410;1;-0,1;11:40;1,42;23:37;1,66;17:56;0,84;;
Battle Harbour, Labrador (2);Halifax, Nova Scotia;-55,6;52,2667;0:0;-93;1;-0,2;-120;1;0;02:05;1,41;14:43;1,24;08:29;0,46;20:30;0,57
